Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Minnesota Timberwolves*,82,19805,3198,7114,0.45,937,2645,0.354,2261,4469,0.506,1402,1794,0.781,843,2555,3398,2008,616,371,1166,1630,8735
2,New York Knicks*,82,19730,3304,7026,0.47,1028,2813,0.365,2276,4213,0.54,1237,1620,0.764,839,2492,3331,2098,552,431,1082,1565,8873
3,Miami Heat*,82,19755,3297,7056,0.467,1064,3018,0.353,2233,4038,0.553,1230,1577,0.78,757,2750,3507,2173,543,388,1126,1550,8888
4,Orlando Magic*,82,19780,3264,6884,0.474,945,2636,0.358,2319,4248,0.546,1419,1819,0.78,731,2537,3268,1958,666,379,1234,1710,8892
5,Boston Celtics*,82,19830,3403,7515,0.453,1059,3008,0.352,2344,4507,0.52,1092,1422,0.768,907,2645,3552,2042,510,304,986,1416,8957
6,Denver Nuggets*,82,19705,3332,7210,0.462,919,2587,0.355,2413,4623,0.522,1404,1819,0.772,894,2573,3467,2108,578,394,1014,1467,8987
7,Cleveland Cavaliers*,82,19805,3323,7176,0.463,1029,2773,0.371,2294,4403,0.521,1363,1724,0.791,823,2676,3499,2071,632,411,1115,1536,9038
8,New Orleans Pelicans*,82,19705,3317,7155,0.464,1109,3176,0.349,2208,3979,0.555,1331,1699,0.783,826,2644,3470,2196,536,424,1168,1507,9074
9,Philadelphia 76ers*,82,19780,3322,7098,0.468,979,2765,0.354,2343,4333,0.541,1524,1926,0.791,903,2742,3645,2143,506,503,1201,1519,9147
10,Los Angeles Clippers*,82,19705,3413,7288,0.468,1054,2902,0.363,2359,4386,0.538,1332,1718,0.775,909,2551,3460,2165,597,384,1069,1537,9212
11,Oklahoma City Thunder*,82,19805,3328,7322,0.455,1101,3052,0.361,2227,4270,0.522,1482,1878,0.789,968,2695,3663,2207,582,419,1287,1548,9239
12,Memphis Grizzlies,82,19780,3381,7128,0.474,1098,2905,0.378,2283,4223,0.541,1391,1785,0.779,874,2867,3741,2179,668,536,1239,1539,9251
13,Phoenix Suns*,82,19780,3444,7428,0.464,1074,2949,0.364,2370,4479,0.529,1319,1705,0.774,898,2490,3388,2155,685,372,1043,1612,9281
14,Houston Rockets,82,19855,3344,7226,0.463,1012,2904,0.348,2332,4322,0.54,1583,2065,0.767,878,2803,3681,1997,597,482,1132,1609,9283
15,Brooklyn Nets,82,19805,3410,7255,0.47,1066,2865,0.372,2344,4390,0.534,1401,1736,0.807,843,2788,3631,2088,563,409,1035,1496,9287
16,Chicago Bulls,82,19980,3370,7131,0.473,1196,3235,0.37,2174,3896,0.558,1388,1789,0.776,829,2729,3558,2287,555,404,1147,1538,9324
17,Sacramento Kings,82,19855,3414,7114,0.48,1074,2775,0.387,2340,4339,0.539,1513,1892,0.8,747,2740,3487,2208,606,370,1139,1504,9415
18,Golden State Warriors,82,19830,3453,7415,0.466,1088,3030,0.359,2365,4385,0.539,1449,1840,0.788,892,2627,3519,2187,633,407,1067,1471,9443
19,Portland Trail Blazers,82,19880,3485,7104,0.491,957,2730,0.351,2528,4374,0.578,1535,1938,0.792,868,2726,3594,2225,729,528,1173,1467,9462
20,Dallas Mavericks*,82,19705,3522,7413,0.475,1075,2921,0.368,2447,4492,0.545,1364,1772,0.77,896,2800,3696,2258,603,331,1127,1667,9483
21,Milwaukee Bucks*,82,19805,3543,7537,0.47,1032,2897,0.356,2511,4640,0.541,1423,1764,0.807,843,2765,3608,2169,580,347,986,1576,9541
22,Charlotte Hornets,82,19730,3555,7191,0.494,1118,2965,0.377,2437,4226,0.577,1352,1699,0.796,867,2853,3720,2356,582,396,1117,1432,9580
23,Los Angeles Lakers*,82,19855,3643,7687,0.474,1170,3109,0.376,2473,4578,0.54,1174,1476,0.795,893,2719,3612,2316,673,390,1100,1619,9630
24,San Antonio Spurs,82,19830,3684,7570,0.487,1040,2791,0.373,2644,4779,0.553,1316,1679,0.784,860,2857,3717,2296,733,380,1098,1470,9724
25,Toronto Raptors,82,19805,3669,7476,0.491,1120,2979,0.376,2549,4497,0.567,1283,1627,0.789,919,2785,3704,2346,595,474,1137,1487,9741
26,Detroit Pistons,82,19755,3578,7301,0.49,991,2682,0.37,2587,4619,0.56,1610,2013,0.8,791,2745,3536,2216,727,490,1019,1457,9757
27,Indiana Pacers*,82,19705,3653,7361,0.496,877,2404,0.365,2776,4957,0.56,1677,2130,0.787,901,2654,3555,2020,543,440,1142,1501,9860
28,Atlanta Hawks,82,19855,3659,7394,0.495,1147,2987,0.384,2512,4407,0.57,1417,1790,0.792,870,2758,3628,2314,638,461,1158,1594,9882
29,Utah Jazz,82,19805,3654,7509,0.487,1213,3070,0.395,2441,4439,0.55,1364,1768,0.771,900,2564,3464,2442,704,528,1009,1577,9885
30,Washington Wizards,82,19730,3777,7618,0.496,1007,2782,0.362,2770,4836,0.573,1528,1966,0.777,993,3020,4013,2382,655,496,1152,1473,10089
,League Average,82,19792,3458,7290,0.474,1053,2879,0.366,2405,4412,0.545,1397,1781,0.784,865,2705,3570,2187,613,422,1116,1536,9365
