final_PTS,TS%,FTr,USG%,BPM,avg_PTS,ORtg,eFG%_2,Pace,Opponent_FG%,Range_0-3,Range_3-10
15,0.592,0.302,32.5,5.8,28.7,118.2,0.543,95.2,0.474,0.277,0.178
17,0.592,0.302,32.5,5.8,28.7,118.2,0.543,95.2,0.49,0.228,0.264
21,0.592,0.302,32.5,5.8,28.7,118.2,0.543,95.2,0.474,0.23,0.212
27,0.592,0.302,32.5,5.8,28.7,118.2,0.543,95.2,0.473,0.266,0.153
13,0.592,0.302,32.5,5.8,28.7,118.2,0.543,95.2,0.47,0.222,0.196
16,0.592,0.302,32.5,5.8,28.7,118.2,0.543,95.2,0.463,0.261,0.188
20,0.592,0.302,32.5,5.8,28.7,118.2,0.543,95.2,0.495,0.29,0.165
23,0.592,0.302,32.5,5.8,28.7,118.2,0.543,95.2,0.468,0.268,0.198
22,0.592,0.302,32.5,5.8,28.7,118.2,0.543,95.2,0.453,0.202,0.228
23,0.592,0.302,32.5,5.8,28.7,118.2,0.543,95.2,0.45,0.226,0.214
14,0.592,0.302,32.5,5.8,28.7,118.2,0.543,95.2,0.47,0.248,0.204
26,0.592,0.302,32.5,5.8,28.7,118.2,0.543,95.2,0.49,0.228,0.264
17,0.592,0.302,32.5,5.8,28.7,118.2,0.543,95.2,0.455,0.243,0.195
25,0.592,0.302,32.5,5.8,28.7,118.2,0.543,95.2,0.487,0.204,0.251
21,0.592,0.302,32.5,5.8,28.7,118.2,0.543,95.2,0.462,0.257,0.219
13,0.592,0.302,32.5,5.8,28.7,118.2,0.543,95.2,0.466,0.159,0.281
27,0.592,0.302,32.5,5.8,28.7,118.2,0.543,95.2,0.464,0.252,0.194
34,0.592,0.302,32.5,5.8,28.7,118.2,0.543,95.2,0.455,0.243,0.195
32,0.592,0.302,32.5,5.8,28.7,118.2,0.543,95.2,0.491,0.257,0.201
30,0.592,0.302,32.5,5.8,28.7,118.2,0.543,95.2,0.474,0.277,0.178
16,0.592,0.302,32.5,5.8,28.7,118.2,0.543,95.2,0.49,0.228,0.264
17,0.592,0.302,32.5,5.8,28.7,118.2,0.543,95.2,0.47,0.222,0.196
13,0.592,0.302,32.5,5.8,28.7,118.2,0.543,95.2,0.475,0.234,0.213
23,0.592,0.302,32.5,5.8,28.7,118.2,0.543,95.2,0.463,0.261,0.188
8,0.592,0.302,32.5,5.8,28.7,118.2,0.543,95.2,0.495,0.29,0.165
