Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22,Column23,Column24,Column25,Column26,Column27,Column28,Column29,Column30,Column31,Column32
Rk,Player,Age,Team,Pos,G,GS,MP,FG%,Dist.,2P,0-3,3-10,10-16,16-3P,3P,2P,0-3,3-10,10-16,16-3P,3P,2P,3P,%FGA,#,%3PA,3P%,Att.,Md.,Awards,-9999
1,Mikal Bridges,25,PHO,SF,82,82,2854,.534,13.3,.636,.227,.205,.159,.045,.364,.628,.795,.619,.507,.256,.369,.764,.983,.066,54,.561,.400,0,0,DPOY-2,bridgmi01
2,Miles Bridges,23,CHO,PF,80,80,2837,.491,12.4,.617,.357,.212,.020,.029,.383,.590,.723,.412,.458,.343,.331,.597,.825,.107,118,.275,.344,6,0,,bridgmi02
3,DeMar DeRozan,32,CHI,PF,76,76,2743,.504,13.0,.907,.164,.158,.297,.288,.093,.520,.671,.494,.511,.457,.352,.217,.900,.026,33,.387,.327,4,0,MVP-10ASNBA2,derozde01
4,Jayson Tatum,23,BOS,SF,76,76,2731,.453,15.2,.584,.220,.176,.088,.100,.416,.524,.741,.413,.328,.410,.353,.429,.565,.052,76,.121,.380,2,0,MVP-6ASNBA1,tatumja01
5,Saddiq Bey,22,DET,SF,82,82,2704,.396,17.4,.463,.166,.157,.072,.068,.537,.454,.619,.348,.329,.429,.346,.431,.891,.021,23,.252,.403,9,0,,beysa01
6,Tyrese Haliburton,21,2TM,PG,77,77,2695,.473,16.7,.572,.130,.183,.158,.101,.428,.517,.712,.410,.521,.457,.414,.279,.584,.028,25,.139,.444,9,0,,halibty01
6,Tyrese Haliburton,21,SAC,SG,51,51,1757,.457,16.8,.570,.118,.183,.164,.106,.430,.491,.739,.355,.458,.500,.413,.238,.587,.020,12,.147,.486,3,0,,halibty01
6,Tyrese Haliburton,21,IND,PG,26,26,938,.502,16.6,.576,.152,.183,.149,.093,.424,.565,.673,.508,.646,.367,.416,.343,.579,.040,13,.124,.353,6,0,,halibty01
7,Russell Westbrook,33,LAL,PG,78,78,2678,.444,10.8,.785,.333,.232,.106,.114,.215,.485,.623,.388,.374,.379,.298,.232,.646,.021,17,.181,.438,0,0,,westbru01
8,Trae Young,23,ATL,PG,76,76,2652,.460,16.5,.605,.159,.204,.116,.126,.395,.512,.620,.451,.469,.513,.382,.142,.223,.000,0,.048,.552,1,0,ASNBA3,youngtr01
9,Tyrese Maxey,21,PHI,PG,75,74,2650,.485,12.9,.689,.258,.237,.121,.073,.311,.512,.654,.466,.317,.479,.427,.450,.712,.017,14,.181,.589,2,0,,maxeyty01
10,Dorian Finney-Smith,28,DAL,PF,80,80,2644,.471,17.0,.371,.233,.098,.025,.016,.629,.599,.752,.324,.471,.273,.395,.766,.983,.082,49,.414,.461,2,0,,finnedo01
11,Scottie Barnes,20,TOR,PF,74,74,2617,.492,10.9,.793,.264,.325,.116,.088,.207,.543,.711,.502,.398,.378,.301,.429,.845,.075,62,.280,.370,4,1,ROY-1,barnesc01
12,Harrison Barnes,29,SAC,PF,77,77,2580,.469,13.5,.568,.237,.283,.041,.007,.432,.525,.682,.403,.471,.500,.394,.566,.951,.034,25,.308,.486,0,0,,barneha02
13,Pascal Siakam,27,TOR,PF,68,68,2578,.494,11.2,.819,.216,.340,.132,.132,.181,.527,.716,.498,.447,.371,.344,.292,.947,.026,31,.183,.475,1,0,NBA3,siakapa01
14,Julius Randle,27,NYK,PF,72,72,2544,.411,13.8,.687,.254,.152,.137,.144,.313,.458,.627,.368,.374,.335,.308,.362,.800,.040,43,.115,.289,0,0,,randlju01
15,Tobias Harris,29,PHI,PF,73,73,2543,.482,11.7,.731,.250,.282,.156,.043,.269,.525,.699,.444,.428,.386,.367,.444,.891,.045,43,.262,.361,1,0,,harrito02
16,Jalen Brunson,25,DAL,SG,79,61,2524,.502,13.1,.750,.147,.288,.189,.126,.250,.545,.703,.524,.518,.449,.373,.262,.809,.005,5,.298,.507,0,0,,brunsja01
17,Buddy Hield,29,2TM,SG,81,32,2499,.406,19.3,.348,.132,.083,.069,.064,.652,.482,.593,.385,.421,.443,.366,.440,.847,.006,7,.154,.391,2,1,,hieldbu01
17,Buddy Hield,29,SAC,SG,55,6,1574,.382,20.8,.286,.114,.063,.052,.056,.714,.419,.582,.205,.306,.436,.368,.482,.841,.006,4,.131,.431,2,1,,hieldbu01
17,Buddy Hield,29,IND,SG,26,26,925,.447,17.7,.454,.163,.116,.099,.077,.546,.549,.606,.553,.525,.452,.362,.406,.863,.007,3,.204,.333,0,0,,hieldbu01
18,Nikola Jokić,26,DEN,C,74,74,2476,.583,10.2,.780,.268,.384,.082,.046,.220,.652,.776,.606,.565,.467,.337,.580,.918,.025,31,.038,.273,3,0,MVP-1ASNBA1,jokicni01
19,Karl-Anthony Towns,26,MIN,C,74,74,2476,.529,11.5,.699,.333,.255,.049,.062,.301,.580,.688,.537,.350,.360,.410,.537,.887,.091,99,.087,.344,0,0,ASNBA3,townska01
20,Anthony Edwards,20,MIN,SG,72,72,2466,.441,15.2,.516,.282,.129,.055,.051,.484,.519,.658,.356,.338,.359,.357,.365,.553,.055,58,.086,.327,2,0,,edwaran01
21,Fred VanVleet,27,TOR,PG,65,65,2462,.403,19.9,.415,.086,.122,.091,.116,.585,.440,.649,.313,.410,.441,.377,.225,.595,.000,0,.126,.432,6,0,AS,vanvlfr01
22,Terry Rozier,27,CHO,SG,73,73,2458,.444,16.4,.492,.181,.165,.082,.064,.508,.516,.649,.396,.521,.440,.374,.439,.838,.011,10,.364,.403,3,0,,roziete01
23,Gary Trent Jr.,23,TOR,SG,70,69,2448,.414,18.5,.498,.087,.131,.113,.167,.502,.445,.579,.415,.480,.376,.383,.411,.766,.015,14,.196,.374,1,0,,trentga02
24,Darius Garland,22,CLE,PG,68,68,2430,.462,15.5,.613,.195,.183,.137,.097,.387,.512,.607,.451,.497,.456,.383,.261,.489,.001,0,.126,.368,2,1,AS,garlada01
25,Franz Wagner,20,ORL,SF,79,79,2429,.468,10.4,.722,.295,.367,.043,.016,.278,.511,.625,.455,.310,.250,.354,.531,.833,.063,59,.225,.459,0,0,ROY-5,wagnefr01
26,LaMelo Ball,20,CHO,PG,75,75,2422,.429,15.9,.549,.204,.176,.104,.065,.451,.462,.582,.398,.389,.370,.389,.264,.750,.023,24,.152,.407,2,0,AS,ballla01
27,James Harden,32,2TM,PG,65,65,2419,.410,14.9,.548,.231,.232,.061,.024,.452,.476,.598,.370,.426,.458,.330,.189,.257,.006,6,.049,.273,0,0,AS,hardeja01
27,James Harden,32,BRK,PG,44,44,1627,.414,14.2,.565,.239,.242,.061,.023,.435,.476,.574,.386,.419,.563,.332,.158,.235,.008,6,.052,.188,0,0,,hardeja01
27,James Harden,32,PHI,PG,21,21,792,.402,15.6,.507,.210,.206,.063,.028,.493,.476,.667,.322,.444,.250,.326,.275,.304,.000,0,.043,.500,0,0,,hardeja01
28,Nikola Vučević,31,CHI,C,73,73,2418,.473,13.0,.713,.223,.253,.137,.101,.287,.537,.708,.490,.449,.397,.314,.713,1.000,.032,34,.060,.300,2,0,,vucevni01
29,RJ Barrett,21,NYK,SF,70,70,2417,.408,12.0,.662,.309,.243,.068,.042,.338,.442,.596,.307,.309,.300,.342,.398,.913,.040,40,.248,.310,1,0,,barrerj01
30,Royce O'Neale,28,UTA,SF,77,77,2406,.457,18.7,.311,.194,.106,.011,.000,.689,.609,.686,.532,.000,,.389,.679,.983,.025,10,.307,.383,1,0,,onealro01
31,Keldon Johnson,22,SAS,SF,75,74,2392,.466,13.4,.605,.218,.295,.064,.029,.395,.510,.645,.450,.369,.414,.398,.644,.969,.028,25,.228,.484,1,0,,johnske04
32,Aaron Gordon,26,DEN,PF,75,75,2376,.520,11.5,.688,.381,.169,.084,.054,.312,.605,.796,.369,.329,.422,.335,.628,.851,.173,130,.419,.349,4,0,,gordoaa01
