final_PTS,TS%,FTr,USG%,PER,avg_PTS,FGA,MP,ORtg,eFG%_2,Pace,Opponent_FG%,Range_0-3_Made,Range_3-10_Made,Range_10-16_Made,Range_16-3P_Made,3P_Made
18,0.587,0.105,21.1,18.9,16.7,13.6,32.4,,,,0.475,0.736,0.421,0.46,0.381,0.368
26,0.587,0.105,21.1,18.9,16.7,13.6,32.4,,,,0.491,0.732,0.489,0.458,0.406,0.351
13,0.587,0.105,21.1,18.9,16.7,13.6,32.4,,,,0.468,0.707,0.449,0.436,0.407,0.363
16,0.587,0.105,21.1,18.9,16.7,13.6,32.4,,,,0.466,0.716,0.507,0.42,0.404,0.359
4,0.587,0.105,21.1,18.9,16.7,13.6,32.4,,,,0.464,0.714,0.454,0.422,0.397,0.349
24,0.587,0.105,21.1,18.9,16.7,13.6,32.4,,,,0.491,0.732,0.489,0.458,0.406,0.351
7,0.587,0.105,21.1,18.9,16.7,13.6,32.4,,,,0.491,0.732,0.489,0.458,0.406,0.351
14,0.587,0.105,21.1,18.9,16.7,13.6,32.4,,,,0.468,0.712,0.406,0.411,0.404,0.354
9,0.587,0.105,21.1,18.9,16.7,13.6,32.4,,,,0.45,0.673,0.404,0.447,0.371,0.354
14,0.587,0.105,21.1,18.9,16.7,13.6,32.4,,,,0.474,0.701,0.464,0.472,0.394,0.358
16,0.587,0.105,21.1,18.9,16.7,13.6,32.4,,,,0.467,0.705,0.493,0.463,0.407,0.353
14,0.587,0.105,21.1,18.9,16.7,13.6,32.4,,,,0.466,0.716,0.507,0.42,0.404,0.359
17,0.587,0.105,21.1,18.9,16.7,13.6,32.4,,,,0.487,0.712,0.478,0.466,0.392,0.395
13,0.587,0.105,21.1,18.9,16.7,13.6,32.4,,,,0.47,0.66,0.442,0.432,0.42,0.365
14,0.587,0.105,21.1,18.9,16.7,13.6,32.4,,,,0.474,0.724,0.444,0.433,0.431,0.376
28,0.587,0.105,21.1,18.9,16.7,13.6,32.4,,,,0.49,0.716,0.477,0.453,0.481,0.37
29,0.587,0.105,21.1,18.9,16.7,13.6,32.4,,,,0.487,0.712,0.478,0.466,0.392,0.395
17,0.587,0.105,21.1,18.9,16.7,13.6,32.4,,,,0.48,0.699,0.485,0.43,0.368,0.387
30,0.587,0.105,21.1,18.9,16.7,13.6,32.4,,,,0.473,0.682,0.45,0.425,0.431,0.37
8,0.587,0.105,21.1,18.9,16.7,13.6,32.4,,,,0.463,0.682,0.478,0.464,0.401,0.348
25,0.587,0.105,21.1,18.9,16.7,13.6,32.4,,,,0.487,0.685,0.467,0.441,0.423,0.373
20,0.587,0.105,21.1,18.9,16.7,13.6,32.4,,,,0.475,0.736,0.421,0.46,0.381,0.368
8,0.587,0.105,21.1,18.9,16.7,13.6,32.4,,,,0.453,0.676,0.438,0.469,0.407,0.352
25,0.587,0.105,21.1,18.9,16.7,13.6,32.4,,,,0.464,0.714,0.454,0.422,0.397,0.349
28,0.587,0.105,21.1,18.9,16.7,13.6,32.4,,,,0.464,0.714,0.454,0.422,0.397,0.349
5,0.587,0.105,21.1,18.9,16.7,13.6,32.4,,,,0.463,0.682,0.478,0.464,0.401,0.348
21,0.587,0.105,21.1,18.9,16.7,13.6,32.4,,,,0.474,0.724,0.444,0.433,0.431,0.376
30,0.587,0.105,21.1,18.9,16.7,13.6,32.4,,,,0.496,0.753,0.452,0.464,0.454,0.362
18,0.587,0.105,21.1,18.9,16.7,13.6,32.4,,,,0.474,0.667,0.418,0.456,0.425,0.378
22,0.587,0.105,21.1,18.9,16.7,13.6,32.4,,,,0.462,0.686,0.416,0.415,0.391,0.355
15,0.587,0.105,21.1,18.9,16.7,13.6,32.4,,,,0.474,0.667,0.418,0.456,0.425,0.378
31,0.587,0.105,21.1,18.9,16.7,13.6,32.4,,,,0.496,0.753,0.452,0.464,0.454,0.362
4,0.587,0.105,21.1,18.9,16.7,13.6,32.4,,,,0.491,0.716,0.471,0.42,0.422,0.376
12,0.587,0.105,21.1,18.9,16.7,13.6,32.4,,,,0.47,0.66,0.442,0.432,0.42,0.365
15,0.587,0.105,21.1,18.9,16.7,13.6,32.4,,,,0.463,0.66,0.426,0.425,0.38,0.371
23,0.587,0.105,21.1,18.9,16.7,13.6,32.4,,,,0.467,0.705,0.493,0.463,0.407,0.353
14,0.587,0.105,21.1,18.9,16.7,13.6,32.4,,,,0.463,0.66,0.426,0.425,0.38,0.371
11,0.587,0.105,21.1,18.9,16.7,13.6,32.4,,,,0.45,0.673,0.404,0.447,0.371,0.354
18,0.587,0.105,21.1,18.9,16.7,13.6,32.4,,,,0.474,0.667,0.418,0.456,0.425,0.378
24,0.587,0.105,21.1,18.9,16.7,13.6,32.4,,,,0.47,0.71,0.398,0.434,0.424,0.372
19,0.587,0.105,21.1,18.9,16.7,13.6,32.4,,,,0.475,0.736,0.421,0.46,0.381,0.368
23,0.587,0.105,21.1,18.9,16.7,13.6,32.4,,,,0.487,0.685,0.467,0.441,0.423,0.373
22,0.587,0.105,21.1,18.9,16.7,13.6,32.4,,,,0.491,0.716,0.471,0.42,0.422,0.376
20,0.587,0.105,21.1,18.9,16.7,13.6,32.4,,,,0.495,0.694,0.46,0.452,0.43,0.384
14,0.587,0.105,21.1,18.9,16.7,13.6,32.4,,,,0.453,0.676,0.438,0.469,0.407,0.352
31,0.587,0.105,21.1,18.9,16.7,13.6,32.4,,,,0.49,0.716,0.477,0.453,0.481,0.37
35,0.587,0.105,21.1,18.9,16.7,13.6,32.4,,,,0.47,0.71,0.398,0.434,0.424,0.372
23,0.587,0.105,21.1,18.9,16.7,13.6,32.4,,,,0.495,0.694,0.46,0.452,0.43,0.384
22,0.587,0.105,21.1,18.9,16.7,13.6,32.4,,,,0.496,0.688,0.482,0.495,0.411,0.365
29,0.587,0.105,21.1,18.9,16.7,13.6,32.4,,,,0.48,0.699,0.485,0.43,0.368,0.387
18,0.587,0.105,21.1,18.9,16.7,13.6,32.4,,,,0.468,0.707,0.449,0.436,0.407,0.363
14,0.587,0.105,21.1,18.9,16.7,13.6,32.4,,,,0.455,0.652,0.437,0.432,0.389,0.361
22,0.587,0.105,21.1,18.9,16.7,13.6,32.4,,,,0.47,0.712,0.435,0.484,0.391,0.356
16,0.587,0.105,21.1,18.9,16.7,13.6,32.4,,,,0.473,0.682,0.45,0.425,0.431,0.37
7,0.587,0.105,21.1,18.9,16.7,13.6,32.4,,,,0.473,0.682,0.45,0.425,0.431,0.37
9,0.587,0.105,21.1,18.9,16.7,13.6,32.4,,,,0.475,0.736,0.421,0.46,0.381,0.368
12,0.587,0.105,21.1,18.9,16.7,13.6,32.4,,,,0.455,0.652,0.437,0.432,0.389,0.361
22,0.587,0.105,21.1,18.9,16.7,13.6,32.4,,,,0.48,0.699,0.485,0.43,0.368,0.387
27,0.587,0.105,21.1,18.9,16.7,13.6,32.4,,,,0.466,0.716,0.507,0.42,0.404,0.359
16,0.587,0.105,21.1,18.9,16.7,13.6,32.4,,,,0.47,0.712,0.435,0.484,0.391,0.356
16,0.587,0.105,21.1,18.9,16.7,13.6,32.4,,,,0.474,0.701,0.464,0.472,0.394,0.358
14,0.587,0.105,21.1,18.9,16.7,13.6,32.4,,,,0.487,0.712,0.478,0.466,0.392,0.395
10,0.587,0.105,21.1,18.9,16.7,13.6,32.4,,,,0.45,0.673,0.404,0.447,0.371,0.354
8,0.587,0.105,21.1,18.9,16.7,13.6,32.4,,,,0.462,0.686,0.416,0.415,0.391,0.355
19,0.587,0.105,21.1,18.9,16.7,13.6,32.4,,,,0.455,0.652,0.437,0.432,0.389,0.361
19,0.587,0.105,21.1,18.9,16.7,13.6,32.4,,,,0.487,0.685,0.467,0.441,0.423,0.373
16,0.587,0.105,21.1,18.9,16.7,13.6,32.4,,,,0.462,0.686,0.416,0.415,0.391,0.355
