final_PTS,TS%,FTr,USG%,PER,avg_PTS,FGA,MP,ORtg,eFG%_2,Pace,Opponent_FG%,Range_0-3_Made,Range_3-10_Made,Range_10-16_Made,Range_16-3P_Made,3P_Made
24,0.581,0.219,24.6,12.6,15.2,11.9,25.9,109.7,0.558,99.8,0.474,0.701,0.464,0.472,0.394,0.358
24,0.581,0.219,24.6,12.6,20.2,15.2,32.9,109.7,0.558,99.8,0.474,0.701,0.464,0.472,0.394,0.358
24,0.581,0.219,24.6,12.6,10.4,8.8,19.2,109.7,0.558,99.8,0.474,0.701,0.464,0.472,0.394,0.358
24,0.6,0.245,24.7,14.1,15.2,11.9,25.9,109.7,0.558,99.8,0.474,0.701,0.464,0.472,0.394,0.358
24,0.6,0.245,24.7,14.1,20.2,15.2,32.9,109.7,0.558,99.8,0.474,0.701,0.464,0.472,0.394,0.358
24,0.6,0.245,24.7,14.1,10.4,8.8,19.2,109.7,0.558,99.8,0.474,0.701,0.464,0.472,0.394,0.358
24,0.549,0.176,24.3,10.1,15.2,11.9,25.9,109.7,0.558,99.8,0.474,0.701,0.464,0.472,0.394,0.358
24,0.549,0.176,24.3,10.1,20.2,15.2,32.9,109.7,0.558,99.8,0.474,0.701,0.464,0.472,0.394,0.358
24,0.549,0.176,24.3,10.1,10.4,8.8,19.2,109.7,0.558,99.8,0.474,0.701,0.464,0.472,0.394,0.358
18,0.581,0.219,24.6,12.6,15.2,11.9,25.9,109.7,0.558,99.8,0.47,0.66,0.442,0.432,0.42,0.365
18,0.581,0.219,24.6,12.6,20.2,15.2,32.9,109.7,0.558,99.8,0.47,0.66,0.442,0.432,0.42,0.365
18,0.581,0.219,24.6,12.6,10.4,8.8,19.2,109.7,0.558,99.8,0.47,0.66,0.442,0.432,0.42,0.365
18,0.6,0.245,24.7,14.1,15.2,11.9,25.9,109.7,0.558,99.8,0.47,0.66,0.442,0.432,0.42,0.365
18,0.6,0.245,24.7,14.1,20.2,15.2,32.9,109.7,0.558,99.8,0.47,0.66,0.442,0.432,0.42,0.365
18,0.6,0.245,24.7,14.1,10.4,8.8,19.2,109.7,0.558,99.8,0.47,0.66,0.442,0.432,0.42,0.365
18,0.549,0.176,24.3,10.1,15.2,11.9,25.9,109.7,0.558,99.8,0.47,0.66,0.442,0.432,0.42,0.365
18,0.549,0.176,24.3,10.1,20.2,15.2,32.9,109.7,0.558,99.8,0.47,0.66,0.442,0.432,0.42,0.365
18,0.549,0.176,24.3,10.1,10.4,8.8,19.2,109.7,0.558,99.8,0.47,0.66,0.442,0.432,0.42,0.365
16,0.581,0.219,24.6,12.6,15.2,11.9,25.9,109.7,0.558,99.8,0.496,0.688,0.482,0.495,0.411,0.365
16,0.581,0.219,24.6,12.6,20.2,15.2,32.9,109.7,0.558,99.8,0.496,0.688,0.482,0.495,0.411,0.365
16,0.581,0.219,24.6,12.6,10.4,8.8,19.2,109.7,0.558,99.8,0.496,0.688,0.482,0.495,0.411,0.365
16,0.6,0.245,24.7,14.1,15.2,11.9,25.9,109.7,0.558,99.8,0.496,0.688,0.482,0.495,0.411,0.365
16,0.6,0.245,24.7,14.1,20.2,15.2,32.9,109.7,0.558,99.8,0.496,0.688,0.482,0.495,0.411,0.365
16,0.6,0.245,24.7,14.1,10.4,8.8,19.2,109.7,0.558,99.8,0.496,0.688,0.482,0.495,0.411,0.365
16,0.549,0.176,24.3,10.1,15.2,11.9,25.9,109.7,0.558,99.8,0.496,0.688,0.482,0.495,0.411,0.365
16,0.549,0.176,24.3,10.1,20.2,15.2,32.9,109.7,0.558,99.8,0.496,0.688,0.482,0.495,0.411,0.365
16,0.549,0.176,24.3,10.1,10.4,8.8,19.2,109.7,0.558,99.8,0.496,0.688,0.482,0.495,0.411,0.365
25,0.581,0.219,24.6,12.6,15.2,11.9,25.9,109.7,0.558,99.8,0.496,0.753,0.452,0.464,0.454,0.362
25,0.581,0.219,24.6,12.6,20.2,15.2,32.9,109.7,0.558,99.8,0.496,0.753,0.452,0.464,0.454,0.362
25,0.581,0.219,24.6,12.6,10.4,8.8,19.2,109.7,0.558,99.8,0.496,0.753,0.452,0.464,0.454,0.362
25,0.6,0.245,24.7,14.1,15.2,11.9,25.9,109.7,0.558,99.8,0.496,0.753,0.452,0.464,0.454,0.362
25,0.6,0.245,24.7,14.1,20.2,15.2,32.9,109.7,0.558,99.8,0.496,0.753,0.452,0.464,0.454,0.362
25,0.6,0.245,24.7,14.1,10.4,8.8,19.2,109.7,0.558,99.8,0.496,0.753,0.452,0.464,0.454,0.362
25,0.549,0.176,24.3,10.1,15.2,11.9,25.9,109.7,0.558,99.8,0.496,0.753,0.452,0.464,0.454,0.362
25,0.549,0.176,24.3,10.1,20.2,15.2,32.9,109.7,0.558,99.8,0.496,0.753,0.452,0.464,0.454,0.362
25,0.549,0.176,24.3,10.1,10.4,8.8,19.2,109.7,0.558,99.8,0.496,0.753,0.452,0.464,0.454,0.362
33,0.581,0.219,24.6,12.6,15.2,11.9,25.9,109.7,0.558,99.8,0.495,0.694,0.46,0.452,0.43,0.384
33,0.581,0.219,24.6,12.6,20.2,15.2,32.9,109.7,0.558,99.8,0.495,0.694,0.46,0.452,0.43,0.384
33,0.581,0.219,24.6,12.6,10.4,8.8,19.2,109.7,0.558,99.8,0.495,0.694,0.46,0.452,0.43,0.384
33,0.6,0.245,24.7,14.1,15.2,11.9,25.9,109.7,0.558,99.8,0.495,0.694,0.46,0.452,0.43,0.384
33,0.6,0.245,24.7,14.1,20.2,15.2,32.9,109.7,0.558,99.8,0.495,0.694,0.46,0.452,0.43,0.384
33,0.6,0.245,24.7,14.1,10.4,8.8,19.2,109.7,0.558,99.8,0.495,0.694,0.46,0.452,0.43,0.384
33,0.549,0.176,24.3,10.1,15.2,11.9,25.9,109.7,0.558,99.8,0.495,0.694,0.46,0.452,0.43,0.384
33,0.549,0.176,24.3,10.1,20.2,15.2,32.9,109.7,0.558,99.8,0.495,0.694,0.46,0.452,0.43,0.384
33,0.549,0.176,24.3,10.1,10.4,8.8,19.2,109.7,0.558,99.8,0.495,0.694,0.46,0.452,0.43,0.384
22,0.581,0.219,24.6,12.6,15.2,11.9,25.9,109.7,0.558,99.8,0.495,0.694,0.46,0.452,0.43,0.384
22,0.581,0.219,24.6,12.6,20.2,15.2,32.9,109.7,0.558,99.8,0.495,0.694,0.46,0.452,0.43,0.384
22,0.581,0.219,24.6,12.6,10.4,8.8,19.2,109.7,0.558,99.8,0.495,0.694,0.46,0.452,0.43,0.384
22,0.6,0.245,24.7,14.1,15.2,11.9,25.9,109.7,0.558,99.8,0.495,0.694,0.46,0.452,0.43,0.384
22,0.6,0.245,24.7,14.1,20.2,15.2,32.9,109.7,0.558,99.8,0.495,0.694,0.46,0.452,0.43,0.384
22,0.6,0.245,24.7,14.1,10.4,8.8,19.2,109.7,0.558,99.8,0.495,0.694,0.46,0.452,0.43,0.384
22,0.549,0.176,24.3,10.1,15.2,11.9,25.9,109.7,0.558,99.8,0.495,0.694,0.46,0.452,0.43,0.384
22,0.549,0.176,24.3,10.1,20.2,15.2,32.9,109.7,0.558,99.8,0.495,0.694,0.46,0.452,0.43,0.384
22,0.549,0.176,24.3,10.1,10.4,8.8,19.2,109.7,0.558,99.8,0.495,0.694,0.46,0.452,0.43,0.384
21,0.581,0.219,24.6,12.6,15.2,11.9,25.9,109.7,0.558,99.8,0.466,0.716,0.507,0.42,0.404,0.359
21,0.581,0.219,24.6,12.6,20.2,15.2,32.9,109.7,0.558,99.8,0.466,0.716,0.507,0.42,0.404,0.359
21,0.581,0.219,24.6,12.6,10.4,8.8,19.2,109.7,0.558,99.8,0.466,0.716,0.507,0.42,0.404,0.359
21,0.6,0.245,24.7,14.1,15.2,11.9,25.9,109.7,0.558,99.8,0.466,0.716,0.507,0.42,0.404,0.359
21,0.6,0.245,24.7,14.1,20.2,15.2,32.9,109.7,0.558,99.8,0.466,0.716,0.507,0.42,0.404,0.359
21,0.6,0.245,24.7,14.1,10.4,8.8,19.2,109.7,0.558,99.8,0.466,0.716,0.507,0.42,0.404,0.359
21,0.549,0.176,24.3,10.1,15.2,11.9,25.9,109.7,0.558,99.8,0.466,0.716,0.507,0.42,0.404,0.359
21,0.549,0.176,24.3,10.1,20.2,15.2,32.9,109.7,0.558,99.8,0.466,0.716,0.507,0.42,0.404,0.359
21,0.549,0.176,24.3,10.1,10.4,8.8,19.2,109.7,0.558,99.8,0.466,0.716,0.507,0.42,0.404,0.359
