final_PTS,TS%,FTr,USG%,PER,avg_PTS,FGA,MP,ORtg,eFG%_2,Pace,Opponent_FG%,Range_0-3_Made,Range_3-10_Made,Range_10-16_Made,Range_16-3P_Made,3P_Made
28,0.611,0.35,29.8,21.9,27.1,19.2,36.0,,,,0.475,0.736,0.421,0.46,0.381,0.368
33,0.611,0.35,29.8,21.9,27.1,19.2,36.0,,,,0.491,0.732,0.489,0.458,0.406,0.351
35,0.611,0.35,29.8,21.9,27.1,19.2,36.0,,,,0.468,0.707,0.449,0.436,0.407,0.363
34,0.611,0.35,29.8,21.9,27.1,19.2,36.0,,,,0.466,0.716,0.507,0.42,0.404,0.359
16,0.611,0.35,29.8,21.9,27.1,19.2,36.0,,,,0.464,0.714,0.454,0.422,0.397,0.349
30,0.611,0.35,29.8,21.9,27.1,19.2,36.0,,,,0.463,0.682,0.478,0.464,0.401,0.348
18,0.611,0.35,29.8,21.9,27.1,19.2,36.0,,,,0.45,0.673,0.404,0.447,0.371,0.354
25,0.611,0.35,29.8,21.9,27.1,19.2,36.0,,,,0.491,0.732,0.489,0.458,0.406,0.351
24,0.611,0.35,29.8,21.9,27.1,19.2,36.0,,,,0.491,0.732,0.489,0.458,0.406,0.351
28,0.611,0.35,29.8,21.9,27.1,19.2,36.0,,,,0.468,0.712,0.406,0.411,0.404,0.354
32,0.611,0.35,29.8,21.9,27.1,19.2,36.0,,,,0.45,0.673,0.404,0.447,0.371,0.354
17,0.611,0.35,29.8,21.9,27.1,19.2,36.0,,,,0.474,0.701,0.464,0.472,0.394,0.358
25,0.611,0.35,29.8,21.9,27.1,19.2,36.0,,,,0.467,0.705,0.493,0.463,0.407,0.353
27,0.611,0.35,29.8,21.9,27.1,19.2,36.0,,,,0.466,0.716,0.507,0.42,0.404,0.359
49,0.611,0.35,29.8,21.9,27.1,19.2,36.0,,,,0.487,0.712,0.478,0.466,0.392,0.395
20,0.611,0.35,29.8,21.9,27.1,19.2,36.0,,,,0.47,0.66,0.442,0.432,0.42,0.365
25,0.611,0.35,29.8,21.9,27.1,19.2,36.0,,,,0.474,0.724,0.444,0.433,0.431,0.376
21,0.611,0.35,29.8,21.9,27.1,19.2,36.0,,,,0.49,0.716,0.477,0.453,0.481,0.37
27,0.611,0.35,29.8,21.9,27.1,19.2,36.0,,,,0.487,0.712,0.478,0.466,0.392,0.395
44,0.611,0.35,29.8,21.9,27.1,19.2,36.0,,,,0.48,0.699,0.485,0.43,0.368,0.387
51,0.611,0.35,29.8,21.9,27.1,19.2,36.0,,,,0.473,0.682,0.45,0.425,0.431,0.37
41,0.611,0.35,29.8,21.9,27.1,19.2,36.0,,,,0.463,0.682,0.478,0.464,0.401,0.348
20,0.611,0.35,29.8,21.9,27.1,19.2,36.0,,,,0.487,0.685,0.467,0.441,0.423,0.373
11,0.611,0.35,29.8,21.9,27.1,19.2,36.0,,,,0.475,0.736,0.421,0.46,0.381,0.368
17,0.611,0.35,29.8,21.9,27.1,19.2,36.0,,,,0.453,0.676,0.438,0.469,0.407,0.352
14,0.611,0.35,29.8,21.9,27.1,19.2,36.0,,,,0.464,0.714,0.454,0.422,0.397,0.349
14,0.611,0.35,29.8,21.9,27.1,19.2,36.0,,,,0.468,0.707,0.449,0.436,0.407,0.363
58,0.611,0.35,29.8,21.9,27.1,19.2,36.0,,,,0.464,0.714,0.454,0.422,0.397,0.349
2,0.611,0.35,29.8,21.9,27.1,19.2,36.0,,,,0.462,0.686,0.416,0.415,0.391,0.355
19,0.611,0.35,29.8,21.9,27.1,19.2,36.0,,,,0.47,0.71,0.398,0.434,0.424,0.372
21,0.611,0.35,29.8,21.9,27.1,19.2,36.0,,,,0.496,0.688,0.482,0.495,0.411,0.365
32,0.611,0.35,29.8,21.9,27.1,19.2,36.0,,,,0.48,0.699,0.485,0.43,0.368,0.387
19,0.611,0.35,29.8,21.9,27.1,19.2,36.0,,,,0.468,0.707,0.449,0.436,0.407,0.363
25,0.611,0.35,29.8,21.9,27.1,19.2,36.0,,,,0.455,0.652,0.437,0.432,0.389,0.361
24,0.611,0.35,29.8,21.9,27.1,19.2,36.0,,,,0.47,0.712,0.435,0.484,0.391,0.356
37,0.611,0.35,29.8,21.9,27.1,19.2,36.0,,,,0.473,0.682,0.45,0.425,0.431,0.37
35,0.611,0.35,29.8,21.9,27.1,19.2,36.0,,,,0.473,0.682,0.45,0.425,0.431,0.37
36,0.611,0.35,29.8,21.9,27.1,19.2,36.0,,,,0.475,0.736,0.421,0.46,0.381,0.368
44,0.611,0.35,29.8,21.9,27.1,19.2,36.0,,,,0.455,0.652,0.437,0.432,0.389,0.361
28,0.611,0.35,29.8,21.9,27.1,19.2,36.0,,,,0.48,0.699,0.485,0.43,0.368,0.387
32,0.611,0.35,29.8,21.9,27.1,19.2,36.0,,,,0.466,0.716,0.507,0.42,0.404,0.359
30,0.611,0.35,29.8,21.9,27.1,19.2,36.0,,,,0.47,0.712,0.435,0.484,0.391,0.356
19,0.611,0.35,29.8,21.9,27.1,19.2,36.0,,,,0.474,0.701,0.464,0.472,0.394,0.358
46,0.611,0.35,29.8,21.9,27.1,19.2,36.0,,,,0.455,0.652,0.437,0.432,0.389,0.361
33,0.611,0.35,29.8,21.9,27.1,19.2,36.0,,,,0.474,0.724,0.444,0.433,0.431,0.376
32,0.611,0.35,29.8,21.9,27.1,19.2,36.0,,,,0.48,0.699,0.485,0.43,0.368,0.387
29,0.611,0.35,29.8,21.9,27.1,19.2,36.0,,,,0.468,0.712,0.406,0.411,0.404,0.354
24,0.611,0.35,29.8,21.9,27.1,19.2,36.0,,,,0.487,0.712,0.478,0.466,0.392,0.395
29,0.611,0.35,29.8,21.9,27.1,19.2,36.0,,,,0.45,0.673,0.404,0.447,0.371,0.354
27,0.611,0.35,29.8,21.9,27.1,19.2,36.0,,,,0.462,0.686,0.416,0.415,0.391,0.355
22,0.611,0.35,29.8,21.9,27.1,19.2,36.0,,,,0.455,0.652,0.437,0.432,0.389,0.361
27,0.611,0.35,29.8,21.9,27.1,19.2,36.0,,,,0.487,0.685,0.467,0.441,0.423,0.373
15,0.611,0.35,29.8,21.9,27.1,19.2,36.0,,,,0.462,0.686,0.416,0.415,0.391,0.355
