final_PTS,TS%,FTr,USG%,PER,avg_PTS,FGA,MP,ORtg,eFG%_2,Pace,Opponent_FG%,Range_0-3_Made,Range_3-10_Made,Range_10-16_Made,Range_16-3P_Made,3P_Made
4,0.51,0.164,14.3,8.8,4.2,3.8,14.0,115.9,0.55,100.9,0.491,0.732,0.489,0.458,0.406,0.351
4,0.51,0.164,14.3,8.8,4.2,3.2,11.1,115.9,0.55,100.9,0.491,0.732,0.489,0.458,0.406,0.351
4,0.51,0.164,14.3,8.8,4.2,4.9,19.0,115.9,0.55,100.9,0.491,0.732,0.489,0.458,0.406,0.351
4,0.603,0.186,15.7,11.6,4.2,3.8,14.0,115.9,0.55,100.9,0.491,0.732,0.489,0.458,0.406,0.351
4,0.603,0.186,15.7,11.6,4.2,3.2,11.1,115.9,0.55,100.9,0.491,0.732,0.489,0.458,0.406,0.351
4,0.603,0.186,15.7,11.6,4.2,4.9,19.0,115.9,0.55,100.9,0.491,0.732,0.489,0.458,0.406,0.351
4,0.406,0.139,12.9,5.9,4.2,3.8,14.0,115.9,0.55,100.9,0.491,0.732,0.489,0.458,0.406,0.351
4,0.406,0.139,12.9,5.9,4.2,3.2,11.1,115.9,0.55,100.9,0.491,0.732,0.489,0.458,0.406,0.351
4,0.406,0.139,12.9,5.9,4.2,4.9,19.0,115.9,0.55,100.9,0.491,0.732,0.489,0.458,0.406,0.351
6,0.51,0.164,14.3,8.8,4.2,3.8,14.0,115.9,0.55,100.9,0.462,0.686,0.416,0.415,0.391,0.355
6,0.51,0.164,14.3,8.8,4.2,3.2,11.1,115.9,0.55,100.9,0.462,0.686,0.416,0.415,0.391,0.355
6,0.51,0.164,14.3,8.8,4.2,4.9,19.0,115.9,0.55,100.9,0.462,0.686,0.416,0.415,0.391,0.355
6,0.603,0.186,15.7,11.6,4.2,3.8,14.0,115.9,0.55,100.9,0.462,0.686,0.416,0.415,0.391,0.355
6,0.603,0.186,15.7,11.6,4.2,3.2,11.1,115.9,0.55,100.9,0.462,0.686,0.416,0.415,0.391,0.355
6,0.603,0.186,15.7,11.6,4.2,4.9,19.0,115.9,0.55,100.9,0.462,0.686,0.416,0.415,0.391,0.355
6,0.406,0.139,12.9,5.9,4.2,3.8,14.0,115.9,0.55,100.9,0.462,0.686,0.416,0.415,0.391,0.355
6,0.406,0.139,12.9,5.9,4.2,3.2,11.1,115.9,0.55,100.9,0.462,0.686,0.416,0.415,0.391,0.355
6,0.406,0.139,12.9,5.9,4.2,4.9,19.0,115.9,0.55,100.9,0.462,0.686,0.416,0.415,0.391,0.355
12,0.51,0.164,14.3,8.8,4.2,3.8,14.0,115.9,0.55,100.9,0.45,0.673,0.404,0.447,0.371,0.354
