final_PTS,TS%,FTr,USG%,PER,avg_PTS,FGA,MP,ORtg,eFG%_2,Pace,Opponent_FG%,Range_0-3_Made,Range_3-10_Made,Range_10-16_Made,Range_16-3P_Made,3P_Made
8,0.639,0.315,19.3,19.0,5.7,3.9,11.6,115.9,0.55,100.9,0.49,0.716,0.477,0.453,0.481,0.37
15,0.639,0.315,19.3,19.0,5.7,3.9,11.6,115.9,0.55,100.9,0.487,0.685,0.467,0.441,0.423,0.373
8,0.639,0.315,19.3,19.0,5.7,3.9,11.6,115.9,0.55,100.9,0.464,0.686,0.421,0.428,0.381,0.364
9,0.639,0.315,19.3,19.0,5.7,3.9,11.6,115.9,0.55,100.9,0.487,0.685,0.467,0.441,0.423,0.373
2,0.639,0.315,19.3,19.0,5.7,3.9,11.6,115.9,0.55,100.9,0.496,0.688,0.482,0.495,0.411,0.365
14,0.639,0.315,19.3,19.0,5.7,3.9,11.6,115.9,0.55,100.9,0.491,0.732,0.489,0.458,0.406,0.351
4,0.639,0.315,19.3,19.0,5.7,3.9,11.6,115.9,0.55,100.9,0.47,0.712,0.435,0.484,0.391,0.356
4,0.639,0.315,19.3,19.0,5.7,3.9,11.6,115.9,0.55,100.9,0.496,0.753,0.452,0.464,0.454,0.362
19,0.639,0.315,19.3,19.0,5.7,3.9,11.6,115.9,0.55,100.9,0.463,0.66,0.426,0.425,0.38,0.371
16,0.639,0.315,19.3,19.0,5.7,3.9,11.6,115.9,0.55,100.9,0.491,0.716,0.471,0.42,0.422,0.376
3,0.639,0.315,19.3,19.0,5.7,3.9,11.6,115.9,0.55,100.9,0.468,0.712,0.406,0.411,0.404,0.354
5,0.639,0.315,19.3,19.0,5.7,3.9,11.6,115.9,0.55,100.9,0.49,0.716,0.477,0.453,0.481,0.37
4,0.639,0.315,19.3,19.0,5.7,3.9,11.6,115.9,0.55,100.9,0.453,0.676,0.438,0.469,0.407,0.352
21,0.639,0.315,19.3,19.0,5.7,3.9,11.6,115.9,0.55,100.9,0.462,0.686,0.416,0.415,0.391,0.355
16,0.639,0.315,19.3,19.0,5.7,3.9,11.6,115.9,0.55,100.9,0.496,0.753,0.452,0.464,0.454,0.362
16,0.639,0.315,19.3,19.0,5.7,3.9,11.6,115.9,0.55,100.9,0.464,0.686,0.421,0.428,0.381,0.364
17,0.639,0.315,19.3,19.0,5.7,3.9,11.6,115.9,0.55,100.9,0.48,0.699,0.485,0.43,0.368,0.387
8,0.639,0.315,19.3,19.0,5.7,3.9,11.6,115.9,0.55,100.9,0.473,0.682,0.45,0.425,0.431,0.37
8,0.639,0.315,19.3,19.0,5.7,3.9,11.6,115.9,0.55,100.9,0.475,0.736,0.421,0.46,0.381,0.368
21,0.639,0.315,19.3,19.0,5.7,3.9,11.6,115.9,0.55,100.9,0.474,0.701,0.464,0.472,0.394,0.358
11,0.639,0.315,19.3,19.0,5.7,3.9,11.6,115.9,0.55,100.9,0.467,0.705,0.493,0.463,0.407,0.353
19,0.639,0.315,19.3,19.0,5.7,3.9,11.6,115.9,0.55,100.9,0.495,0.694,0.46,0.452,0.43,0.384
18,0.639,0.315,19.3,19.0,5.7,3.9,11.6,115.9,0.55,100.9,0.473,0.682,0.45,0.425,0.431,0.37
21,0.639,0.315,19.3,19.0,5.7,3.9,11.6,115.9,0.55,100.9,0.467,0.705,0.493,0.463,0.407,0.353
19,0.639,0.315,19.3,19.0,5.7,3.9,11.6,115.9,0.55,100.9,0.495,0.694,0.46,0.452,0.43,0.384
29,0.639,0.315,19.3,19.0,5.7,3.9,11.6,115.9,0.55,100.9,0.48,0.699,0.485,0.43,0.368,0.387
17,0.639,0.315,19.3,19.0,5.7,3.9,11.6,115.9,0.55,100.9,0.462,0.686,0.416,0.415,0.391,0.355
11,0.639,0.315,19.3,19.0,5.7,3.9,11.6,115.9,0.55,100.9,0.475,0.736,0.421,0.46,0.381,0.368
10,0.639,0.315,19.3,19.0,5.7,3.9,11.6,115.9,0.55,100.9,0.468,0.712,0.406,0.411,0.404,0.354
6,0.639,0.315,19.3,19.0,5.7,3.9,11.6,115.9,0.55,100.9,0.463,0.682,0.478,0.464,0.401,0.348
8,0.639,0.315,19.3,19.0,5.7,3.9,11.6,115.9,0.55,100.9,0.48,0.699,0.485,0.43,0.368,0.387
8,0.639,0.315,19.3,19.0,5.7,3.9,11.6,115.9,0.55,100.9,0.474,0.667,0.418,0.456,0.425,0.378
31,0.639,0.315,19.3,19.0,5.7,3.9,11.6,115.9,0.55,100.9,0.491,0.732,0.489,0.458,0.406,0.351
15,0.639,0.315,19.3,19.0,5.7,3.9,11.6,115.9,0.55,100.9,0.468,0.707,0.449,0.436,0.407,0.363
