final_PTS,TS%,FTr,USG%,PER,avg_PTS,FGA,MP,ORtg,eFG%_2,Pace,Opponent_FG%,Range_0-3_Made,Range_3-10_Made,Range_10-16_Made,Range_16-3P_Made,3P_Made
15,0.543,0.328,16.6,11.7,10.5,8.4,28.3,117.6,0.548,100.1,0.464,0.686,0.421,0.428,0.381,0.364
15,0.543,0.328,16.6,11.7,12.6,10.4,30.7,117.6,0.548,100.1,0.464,0.686,0.421,0.428,0.381,0.364
15,0.543,0.328,16.6,11.7,6.8,5.0,24.2,117.6,0.548,100.1,0.464,0.686,0.421,0.428,0.381,0.364
15,0.53,0.321,18.6,13.5,10.5,8.4,28.3,117.6,0.548,100.1,0.464,0.686,0.421,0.428,0.381,0.364
15,0.53,0.321,18.6,13.5,12.6,10.4,30.7,117.6,0.548,100.1,0.464,0.686,0.421,0.428,0.381,0.364
15,0.53,0.321,18.6,13.5,6.8,5.0,24.2,117.6,0.548,100.1,0.464,0.686,0.421,0.428,0.381,0.364
15,0.586,0.355,12.2,8.0,10.5,8.4,28.3,117.6,0.548,100.1,0.464,0.686,0.421,0.428,0.381,0.364
15,0.586,0.355,12.2,8.0,12.6,10.4,30.7,117.6,0.548,100.1,0.464,0.686,0.421,0.428,0.381,0.364
15,0.586,0.355,12.2,8.0,6.8,5.0,24.2,117.6,0.548,100.1,0.464,0.686,0.421,0.428,0.381,0.364
15,0.543,0.328,16.6,11.7,10.5,8.4,28.3,117.6,0.548,100.1,0.474,0.667,0.418,0.456,0.425,0.378
15,0.543,0.328,16.6,11.7,12.6,10.4,30.7,117.6,0.548,100.1,0.474,0.667,0.418,0.456,0.425,0.378
15,0.543,0.328,16.6,11.7,6.8,5.0,24.2,117.6,0.548,100.1,0.474,0.667,0.418,0.456,0.425,0.378
15,0.53,0.321,18.6,13.5,10.5,8.4,28.3,117.6,0.548,100.1,0.474,0.667,0.418,0.456,0.425,0.378
15,0.53,0.321,18.6,13.5,12.6,10.4,30.7,117.6,0.548,100.1,0.474,0.667,0.418,0.456,0.425,0.378
15,0.53,0.321,18.6,13.5,6.8,5.0,24.2,117.6,0.548,100.1,0.474,0.667,0.418,0.456,0.425,0.378
15,0.586,0.355,12.2,8.0,10.5,8.4,28.3,117.6,0.548,100.1,0.474,0.667,0.418,0.456,0.425,0.378
15,0.586,0.355,12.2,8.0,12.6,10.4,30.7,117.6,0.548,100.1,0.474,0.667,0.418,0.456,0.425,0.378
15,0.586,0.355,12.2,8.0,6.8,5.0,24.2,117.6,0.548,100.1,0.474,0.667,0.418,0.456,0.425,0.378
24,0.543,0.328,16.6,11.7,10.5,8.4,28.3,117.6,0.548,100.1,0.464,0.714,0.454,0.422,0.397,0.349
24,0.543,0.328,16.6,11.7,12.6,10.4,30.7,117.6,0.548,100.1,0.464,0.714,0.454,0.422,0.397,0.349
24,0.543,0.328,16.6,11.7,6.8,5.0,24.2,117.6,0.548,100.1,0.464,0.714,0.454,0.422,0.397,0.349
24,0.53,0.321,18.6,13.5,10.5,8.4,28.3,117.6,0.548,100.1,0.464,0.714,0.454,0.422,0.397,0.349
24,0.53,0.321,18.6,13.5,12.6,10.4,30.7,117.6,0.548,100.1,0.464,0.714,0.454,0.422,0.397,0.349
