final_PTS,TS%,FTr,USG%,PER,avg_PTS,FGA,MP,ORtg,eFG%_2,Pace,Opponent_FG%,Range_0-3_Made,Range_3-10_Made,Range_10-16_Made,Range_16-3P_Made,3P_Made
10,0.673,0.167,18.5,16.2,6.5,4.5,12.8,,,,0.475,0.736,0.421,0.46,0.381,0.368
2,0.673,0.167,18.5,16.2,6.5,4.5,12.8,,,,0.473,0.682,0.45,0.425,0.431,0.37
11,0.673,0.167,18.5,16.2,6.5,4.5,12.8,,,,0.496,0.753,0.452,0.464,0.454,0.362
0,0.673,0.167,18.5,16.2,6.5,4.5,12.8,,,,0.473,0.682,0.45,0.425,0.431,0.37
0,0.673,0.167,18.5,16.2,6.5,4.5,12.8,,,,0.475,0.736,0.421,0.46,0.381,0.368
2,0.673,0.167,18.5,16.2,6.5,4.5,12.8,,,,0.47,0.66,0.442,0.432,0.42,0.365
2,0.673,0.167,18.5,16.2,6.5,4.5,12.8,,,,0.468,0.707,0.449,0.436,0.407,0.363
2,0.673,0.167,18.5,16.2,6.5,4.5,12.8,,,,0.474,0.724,0.444,0.433,0.431,0.376
4,0.673,0.167,18.5,16.2,6.5,4.5,12.8,,,,0.48,0.699,0.485,0.43,0.368,0.387
0,0.673,0.167,18.5,16.2,6.5,4.5,12.8,,,,0.474,0.667,0.418,0.456,0.425,0.378
2,0.673,0.167,18.5,16.2,6.5,4.5,12.8,,,,0.468,0.712,0.406,0.411,0.404,0.354
0,0.673,0.167,18.5,16.2,6.5,4.5,12.8,,,,0.491,0.716,0.471,0.42,0.422,0.376
0,0.673,0.167,18.5,16.2,6.5,4.5,12.8,,,,0.496,0.688,0.482,0.495,0.411,0.365
7,0.673,0.167,18.5,16.2,6.5,4.5,12.8,,,,0.496,0.688,0.482,0.495,0.411,0.365
4,0.673,0.167,18.5,16.2,6.5,4.5,12.8,,,,0.464,0.686,0.421,0.428,0.381,0.364
0,0.673,0.167,18.5,16.2,6.5,4.5,12.8,,,,0.47,0.66,0.442,0.432,0.42,0.365
3,0.673,0.167,18.5,16.2,6.5,4.5,12.8,,,,0.47,0.712,0.435,0.484,0.391,0.356
13,0.673,0.167,18.5,16.2,6.5,4.5,12.8,,,,0.47,0.712,0.435,0.484,0.391,0.356
0,0.673,0.167,18.5,16.2,6.5,4.5,12.8,,,,0.467,0.705,0.493,0.463,0.407,0.353
4,0.673,0.167,18.5,16.2,6.5,4.5,12.8,,,,0.474,0.701,0.464,0.472,0.394,0.358
0,0.673,0.167,18.5,16.2,6.5,4.5,12.8,,,,0.49,0.716,0.477,0.453,0.481,0.37
4,0.673,0.167,18.5,16.2,6.5,4.5,12.8,,,,0.474,0.701,0.464,0.472,0.394,0.358
15,0.673,0.167,18.5,16.2,6.5,4.5,12.8,,,,0.468,0.712,0.406,0.411,0.404,0.354
