final_PTS,TS%,FTr,USG%,PER,avg_PTS,FGA,MP,ORtg,eFG%_2,Pace,Opponent_FG%,Range_0-3_Made,Range_3-10_Made,Range_10-16_Made,Range_16-3P_Made,3P_Made
0,0.718,0.469,12.5,14.0,4.3,2.5,12.5,117.4,0.541,97.9,0.487,0.712,0.478,0.466,0.392,0.395
0,0.718,0.469,12.5,14.0,4.3,2.5,12.5,117.4,0.541,97.9,0.475,0.736,0.421,0.46,0.381,0.368
0,0.718,0.469,12.5,14.0,4.3,2.5,12.5,117.4,0.541,97.9,0.464,0.686,0.421,0.428,0.381,0.364
2,0.718,0.469,12.5,14.0,4.3,2.5,12.5,117.4,0.541,97.9,0.468,0.707,0.449,0.436,0.407,0.363
0,0.718,0.469,12.5,14.0,4.3,2.5,12.5,117.4,0.541,97.9,0.474,0.724,0.444,0.433,0.431,0.376
2,0.718,0.469,12.5,14.0,4.3,2.5,12.5,117.4,0.541,97.9,0.466,0.716,0.507,0.42,0.404,0.359
1,0.718,0.469,12.5,14.0,4.3,2.5,12.5,117.4,0.541,97.9,0.487,0.685,0.467,0.441,0.423,0.373
5,0.718,0.469,12.5,14.0,4.3,2.5,12.5,117.4,0.541,97.9,0.474,0.667,0.418,0.456,0.425,0.378
0,0.718,0.469,12.5,14.0,4.3,2.5,12.5,117.4,0.541,97.9,0.455,0.652,0.437,0.432,0.389,0.361
0,0.718,0.469,12.5,14.0,4.3,2.5,12.5,117.4,0.541,97.9,0.487,0.712,0.478,0.466,0.392,0.395
6,0.718,0.469,12.5,14.0,4.3,2.5,12.5,117.4,0.541,97.9,0.487,0.685,0.467,0.441,0.423,0.373
21,0.718,0.469,12.5,14.0,4.3,2.5,12.5,117.4,0.541,97.9,0.455,0.652,0.437,0.432,0.389,0.361
15,0.718,0.469,12.5,14.0,4.3,2.5,12.5,117.4,0.541,97.9,0.496,0.688,0.482,0.495,0.411,0.365
