final_PTS,TS%,FTr,USG%,PER,avg_PTS,FGA,MP,ORtg,eFG%_2,Pace,Opponent_FG%,Range_0-3_Made,Range_3-10_Made,Range_10-16_Made,Range_16-3P_Made,3P_Made
6,0.597,0.104,16.3,14.4,12.5,10.0,32.8,118.4,0.539,99.9,0.468,0.712,0.406,0.411,0.404,0.354
19,0.597,0.104,16.3,14.4,12.5,10.0,32.8,118.4,0.539,99.9,0.463,0.682,0.478,0.464,0.401,0.348
15,0.597,0.104,16.3,14.4,12.5,10.0,32.8,118.4,0.539,99.9,0.47,0.71,0.398,0.434,0.424,0.372
16,0.597,0.104,16.3,14.4,12.5,10.0,32.8,118.4,0.539,99.9,0.47,0.66,0.442,0.432,0.42,0.365
34,0.597,0.104,16.3,14.4,12.5,10.0,32.8,118.4,0.539,99.9,0.495,0.694,0.46,0.452,0.43,0.384
25,0.597,0.104,16.3,14.4,12.5,10.0,32.8,118.4,0.539,99.9,0.49,0.716,0.477,0.453,0.481,0.37
26,0.597,0.104,16.3,14.4,12.5,10.0,32.8,118.4,0.539,99.9,0.49,0.716,0.477,0.453,0.481,0.37
29,0.597,0.104,16.3,14.4,12.5,10.0,32.8,118.4,0.539,99.9,0.45,0.673,0.404,0.447,0.371,0.354
10,0.597,0.104,16.3,14.4,12.5,10.0,32.8,118.4,0.539,99.9,0.455,0.652,0.437,0.432,0.389,0.361
16,0.597,0.104,16.3,14.4,12.5,10.0,32.8,118.4,0.539,99.9,0.495,0.694,0.46,0.452,0.43,0.384
10,0.597,0.104,16.3,14.4,12.5,10.0,32.8,118.4,0.539,99.9,0.468,0.712,0.406,0.411,0.404,0.354
17,0.597,0.104,16.3,14.4,12.5,10.0,32.8,118.4,0.539,99.9,0.491,0.732,0.489,0.458,0.406,0.351
14,0.597,0.104,16.3,14.4,12.5,10.0,32.8,118.4,0.539,99.9,0.473,0.682,0.45,0.425,0.431,0.37
9,0.597,0.104,16.3,14.4,12.5,10.0,32.8,118.4,0.539,99.9,0.463,0.66,0.426,0.425,0.38,0.371
16,0.597,0.104,16.3,14.4,12.5,10.0,32.8,118.4,0.539,99.9,0.475,0.736,0.421,0.46,0.381,0.368
22,0.597,0.104,16.3,14.4,12.5,10.0,32.8,118.4,0.539,99.9,0.47,0.66,0.442,0.432,0.42,0.365
28,0.597,0.104,16.3,14.4,12.5,10.0,32.8,118.4,0.539,99.9,0.474,0.724,0.444,0.433,0.431,0.376
17,0.597,0.104,16.3,14.4,12.5,10.0,32.8,118.4,0.539,99.9,0.474,0.701,0.464,0.472,0.394,0.358
31,0.597,0.104,16.3,14.4,12.5,10.0,32.8,118.4,0.539,99.9,0.48,0.699,0.485,0.43,0.368,0.387
17,0.597,0.104,16.3,14.4,12.5,10.0,32.8,118.4,0.539,99.9,0.475,0.736,0.421,0.46,0.381,0.368
25,0.597,0.104,16.3,14.4,12.5,10.0,32.8,118.4,0.539,99.9,0.463,0.682,0.478,0.464,0.401,0.348
21,0.597,0.104,16.3,14.4,12.5,10.0,32.8,118.4,0.539,99.9,0.487,0.712,0.478,0.466,0.392,0.395
18,0.597,0.104,16.3,14.4,12.5,10.0,32.8,118.4,0.539,99.9,0.464,0.714,0.454,0.422,0.397,0.349
9,0.597,0.104,16.3,14.4,12.5,10.0,32.8,118.4,0.539,99.9,0.463,0.66,0.426,0.425,0.38,0.371
18,0.597,0.104,16.3,14.4,12.5,10.0,32.8,118.4,0.539,99.9,0.47,0.71,0.398,0.434,0.424,0.372
23,0.597,0.104,16.3,14.4,12.5,10.0,32.8,118.4,0.539,99.9,0.453,0.676,0.438,0.469,0.407,0.352
6,0.597,0.104,16.3,14.4,12.5,10.0,32.8,118.4,0.539,99.9,0.496,0.753,0.452,0.464,0.454,0.362
12,0.597,0.104,16.3,14.4,12.5,10.0,32.8,118.4,0.539,99.9,0.473,0.682,0.45,0.425,0.431,0.37
15,0.597,0.104,16.3,14.4,12.5,10.0,32.8,118.4,0.539,99.9,0.47,0.66,0.442,0.432,0.42,0.365
27,0.597,0.104,16.3,14.4,12.5,10.0,32.8,118.4,0.539,99.9,0.495,0.694,0.46,0.452,0.43,0.384
24,0.597,0.104,16.3,14.4,12.5,10.0,32.8,118.4,0.539,99.9,0.467,0.705,0.493,0.463,0.407,0.353
12,0.597,0.104,16.3,14.4,12.5,10.0,32.8,118.4,0.539,99.9,0.467,0.705,0.493,0.463,0.407,0.353
35,0.597,0.104,16.3,14.4,12.5,10.0,32.8,118.4,0.539,99.9,0.496,0.688,0.482,0.495,0.411,0.365
37,0.597,0.104,16.3,14.4,12.5,10.0,32.8,118.4,0.539,99.9,0.491,0.716,0.471,0.42,0.422,0.376
28,0.597,0.104,16.3,14.4,12.5,10.0,32.8,118.4,0.539,99.9,0.463,0.66,0.426,0.425,0.38,0.371
16,0.597,0.104,16.3,14.4,12.5,10.0,32.8,118.4,0.539,99.9,0.49,0.716,0.477,0.453,0.481,0.37
20,0.597,0.104,16.3,14.4,12.5,10.0,32.8,118.4,0.539,99.9,0.462,0.686,0.416,0.415,0.391,0.355
20,0.597,0.104,16.3,14.4,12.5,10.0,32.8,118.4,0.539,99.9,0.496,0.688,0.482,0.495,0.411,0.365
17,0.597,0.104,16.3,14.4,12.5,10.0,32.8,118.4,0.539,99.9,0.464,0.714,0.454,0.422,0.397,0.349
15,0.597,0.104,16.3,14.4,12.5,10.0,32.8,118.4,0.539,99.9,0.473,0.682,0.45,0.425,0.431,0.37
12,0.597,0.104,16.3,14.4,12.5,10.0,32.8,118.4,0.539,99.9,0.468,0.707,0.449,0.436,0.407,0.363
15,0.597,0.104,16.3,14.4,12.5,10.0,32.8,118.4,0.539,99.9,0.467,0.705,0.493,0.463,0.407,0.353
20,0.597,0.104,16.3,14.4,12.5,10.0,32.8,118.4,0.539,99.9,0.491,0.732,0.489,0.458,0.406,0.351
18,0.597,0.104,16.3,14.4,12.5,10.0,32.8,118.4,0.539,99.9,0.474,0.724,0.444,0.433,0.431,0.376
19,0.597,0.104,16.3,14.4,12.5,10.0,32.8,118.4,0.539,99.9,0.468,0.707,0.449,0.436,0.407,0.363
40,0.597,0.104,16.3,14.4,12.5,10.0,32.8,118.4,0.539,99.9,0.453,0.676,0.438,0.469,0.407,0.352
15,0.597,0.104,16.3,14.4,12.5,10.0,32.8,118.4,0.539,99.9,0.473,0.682,0.45,0.425,0.431,0.37
24,0.597,0.104,16.3,14.4,12.5,10.0,32.8,118.4,0.539,99.9,0.467,0.705,0.493,0.463,0.407,0.353
33,0.597,0.104,16.3,14.4,12.5,10.0,32.8,118.4,0.539,99.9,0.464,0.686,0.421,0.428,0.381,0.364
14,0.597,0.104,16.3,14.4,12.5,10.0,32.8,118.4,0.539,99.9,0.47,0.71,0.398,0.434,0.424,0.372
23,0.597,0.104,16.3,14.4,12.5,10.0,32.8,118.4,0.539,99.9,0.474,0.701,0.464,0.472,0.394,0.358
26,0.597,0.104,16.3,14.4,12.5,10.0,32.8,118.4,0.539,99.9,0.468,0.712,0.406,0.411,0.404,0.354
19,0.597,0.104,16.3,14.4,12.5,10.0,32.8,118.4,0.539,99.9,0.496,0.753,0.452,0.464,0.454,0.362
11,0.597,0.104,16.3,14.4,12.5,10.0,32.8,118.4,0.539,99.9,0.47,0.71,0.398,0.434,0.424,0.372
18,0.597,0.104,16.3,14.4,12.5,10.0,32.8,118.4,0.539,99.9,0.466,0.716,0.507,0.42,0.404,0.359
11,0.597,0.104,16.3,14.4,12.5,10.0,32.8,118.4,0.539,99.9,0.48,0.699,0.485,0.43,0.368,0.387
12,0.597,0.104,16.3,14.4,12.5,10.0,32.8,118.4,0.539,99.9,0.464,0.686,0.421,0.428,0.381,0.364
19,0.597,0.104,16.3,14.4,12.5,10.0,32.8,118.4,0.539,99.9,0.496,0.688,0.482,0.495,0.411,0.365
11,0.597,0.104,16.3,14.4,12.5,10.0,32.8,118.4,0.539,99.9,0.491,0.716,0.471,0.42,0.422,0.376
7,0.597,0.104,16.3,14.4,12.5,10.0,32.8,118.4,0.539,99.9,0.487,0.685,0.467,0.441,0.423,0.373
18,0.597,0.104,16.3,14.4,12.5,10.0,32.8,118.4,0.539,99.9,0.487,0.712,0.478,0.466,0.392,0.395
9,0.597,0.104,16.3,14.4,12.5,10.0,32.8,118.4,0.539,99.9,0.462,0.686,0.416,0.415,0.391,0.355
51,0.597,0.104,16.3,14.4,12.5,10.0,32.8,118.4,0.539,99.9,0.496,0.688,0.482,0.495,0.411,0.365
6,0.597,0.104,16.3,14.4,12.5,10.0,32.8,118.4,0.539,99.9,0.453,0.676,0.438,0.469,0.407,0.352
18,0.597,0.104,16.3,14.4,12.5,10.0,32.8,118.4,0.539,99.9,0.468,0.712,0.406,0.411,0.404,0.354
26,0.597,0.104,16.3,14.4,12.5,10.0,32.8,118.4,0.539,99.9,0.496,0.753,0.452,0.464,0.454,0.362
20,0.597,0.104,16.3,14.4,12.5,10.0,32.8,118.4,0.539,99.9,0.473,0.682,0.45,0.425,0.431,0.37
