final_PTS,TS%,FTr,USG%,PER,avg_PTS,FGA,MP,ORtg,eFG%_2,Pace,Opponent_FG%,Range_0-3_Made,Range_3-10_Made,Range_10-16_Made,Range_16-3P_Made,3P_Made
15,0.608,0.186,28.1,21.9,25.6,19.5,35.0,,,,0.464,0.714,0.454,0.422,0.397,0.349
30,0.608,0.186,28.1,21.9,25.6,19.5,35.0,,,,0.491,0.716,0.471,0.42,0.422,0.376
37,0.608,0.186,28.1,21.9,25.6,19.5,35.0,,,,0.474,0.667,0.418,0.456,0.425,0.378
27,0.608,0.186,28.1,21.9,25.6,19.5,35.0,,,,0.47,0.712,0.435,0.484,0.391,0.356
39,0.608,0.186,28.1,21.9,25.6,19.5,35.0,,,,0.475,0.736,0.421,0.46,0.381,0.368
35,0.608,0.186,28.1,21.9,25.6,19.5,35.0,,,,0.496,0.688,0.482,0.495,0.411,0.365
28,0.608,0.186,28.1,21.9,25.6,19.5,35.0,,,,0.496,0.688,0.482,0.495,0.411,0.365
4,0.608,0.186,28.1,21.9,25.6,19.5,35.0,,,,0.473,0.682,0.45,0.425,0.431,0.37
14,0.608,0.186,28.1,21.9,25.6,19.5,35.0,,,,0.474,0.667,0.418,0.456,0.425,0.378
23,0.608,0.186,28.1,21.9,25.6,19.5,35.0,,,,0.468,0.712,0.406,0.411,0.404,0.354
29,0.608,0.186,28.1,21.9,25.6,19.5,35.0,,,,0.491,0.716,0.471,0.42,0.422,0.376
20,0.608,0.186,28.1,21.9,25.6,19.5,35.0,,,,0.496,0.688,0.482,0.495,0.411,0.365
22,0.608,0.186,28.1,21.9,25.6,19.5,35.0,,,,0.491,0.732,0.489,0.458,0.406,0.351
20,0.608,0.186,28.1,21.9,25.6,19.5,35.0,,,,0.474,0.701,0.464,0.472,0.394,0.358
27,0.608,0.186,28.1,21.9,25.6,19.5,35.0,,,,0.496,0.753,0.452,0.464,0.454,0.362
27,0.608,0.186,28.1,21.9,25.6,19.5,35.0,,,,0.491,0.716,0.471,0.42,0.422,0.376
18,0.608,0.186,28.1,21.9,25.6,19.5,35.0,,,,0.453,0.676,0.438,0.469,0.407,0.352
33,0.608,0.186,28.1,21.9,25.6,19.5,35.0,,,,0.473,0.682,0.45,0.425,0.431,0.37
33,0.608,0.186,28.1,21.9,25.6,19.5,35.0,,,,0.495,0.694,0.46,0.452,0.43,0.384
24,0.608,0.186,28.1,21.9,25.6,19.5,35.0,,,,0.496,0.753,0.452,0.464,0.454,0.362
32,0.608,0.186,28.1,21.9,25.6,19.5,35.0,,,,0.491,0.716,0.471,0.42,0.422,0.376
38,0.608,0.186,28.1,21.9,25.6,19.5,35.0,,,,0.49,0.716,0.477,0.453,0.481,0.37
18,0.608,0.186,28.1,21.9,25.6,19.5,35.0,,,,0.47,0.712,0.435,0.484,0.391,0.356
32,0.608,0.186,28.1,21.9,25.6,19.5,35.0,,,,0.463,0.66,0.426,0.425,0.38,0.371
28,0.608,0.186,28.1,21.9,25.6,19.5,35.0,,,,0.495,0.694,0.46,0.452,0.43,0.384
28,0.608,0.186,28.1,21.9,25.6,19.5,35.0,,,,0.473,0.682,0.45,0.425,0.431,0.37
