final_PTS,TS%,FTr,USG%,PER,avg_PTS,FGA,MP,ORtg,eFG%_2,Pace,Opponent_FG%,Range_0-3_Made,Range_3-10_Made,Range_10-16_Made,Range_16-3P_Made,3P_Made
10,0.61,0.287,16.7,19.2,6.8,4.9,15.8,113.4,0.543,96.9,0.453,0.676,0.438,0.469,0.407,0.352
5,0.61,0.287,16.7,19.2,6.8,4.9,15.8,113.4,0.543,96.9,0.496,0.688,0.482,0.495,0.411,0.365
5,0.61,0.287,16.7,19.2,6.8,4.9,15.8,113.4,0.543,96.9,0.473,0.682,0.45,0.425,0.431,0.37
2,0.61,0.287,16.7,19.2,6.8,4.9,15.8,113.4,0.543,96.9,0.468,0.712,0.406,0.411,0.404,0.354
9,0.61,0.287,16.7,19.2,6.8,4.9,15.8,113.4,0.543,96.9,0.45,0.673,0.404,0.447,0.371,0.354
6,0.61,0.287,16.7,19.2,6.8,4.9,15.8,113.4,0.543,96.9,0.473,0.682,0.45,0.425,0.431,0.37
2,0.61,0.287,16.7,19.2,6.8,4.9,15.8,113.4,0.543,96.9,0.47,0.66,0.442,0.432,0.42,0.365
3,0.61,0.287,16.7,19.2,6.8,4.9,15.8,113.4,0.543,96.9,0.462,0.686,0.416,0.415,0.391,0.355
3,0.61,0.287,16.7,19.2,6.8,4.9,15.8,113.4,0.543,96.9,0.467,0.705,0.493,0.463,0.407,0.353
0,0.61,0.287,16.7,19.2,6.8,4.9,15.8,113.4,0.543,96.9,0.473,0.682,0.45,0.425,0.431,0.37
10,0.61,0.287,16.7,19.2,6.8,4.9,15.8,113.4,0.543,96.9,0.49,0.716,0.477,0.453,0.481,0.37
