final_PTS,TS%,FTr,USG%,PER,avg_PTS,FGA,MP,ORtg,eFG%_2,Pace,Opponent_FG%,Range_0-3_Made,Range_3-10_Made,Range_10-16_Made,Range_16-3P_Made,3P_Made
15,0.582,0.176,19.6,14.5,13.4,10.7,27.6,,,,0.475,0.736,0.421,0.46,0.381,0.368
5,0.582,0.176,19.6,14.5,13.4,10.7,27.6,,,,0.491,0.732,0.489,0.458,0.406,0.351
11,0.582,0.176,19.6,14.5,13.4,10.7,27.6,,,,0.468,0.707,0.449,0.436,0.407,0.363
9,0.582,0.176,19.6,14.5,13.4,10.7,27.6,,,,0.466,0.716,0.507,0.42,0.404,0.359
16,0.582,0.176,19.6,14.5,13.4,10.7,27.6,,,,0.464,0.714,0.454,0.422,0.397,0.349
19,0.582,0.176,19.6,14.5,13.4,10.7,27.6,,,,0.463,0.682,0.478,0.464,0.401,0.348
29,0.582,0.176,19.6,14.5,13.4,10.7,27.6,,,,0.45,0.673,0.404,0.447,0.371,0.354
0,0.582,0.176,19.6,14.5,13.4,10.7,27.6,,,,0.491,0.732,0.489,0.458,0.406,0.351
19,0.582,0.176,19.6,14.5,13.4,10.7,27.6,,,,0.47,0.71,0.398,0.434,0.424,0.372
8,0.582,0.176,19.6,14.5,13.4,10.7,27.6,,,,0.474,0.667,0.418,0.456,0.425,0.378
24,0.582,0.176,19.6,14.5,13.4,10.7,27.6,,,,0.473,0.682,0.45,0.425,0.431,0.37
22,0.582,0.176,19.6,14.5,13.4,10.7,27.6,,,,0.475,0.736,0.421,0.46,0.381,0.368
15,0.582,0.176,19.6,14.5,13.4,10.7,27.6,,,,0.487,0.685,0.467,0.441,0.423,0.373
4,0.582,0.176,19.6,14.5,13.4,10.7,27.6,,,,0.491,0.716,0.471,0.42,0.422,0.376
6,0.582,0.176,19.6,14.5,13.4,10.7,27.6,,,,0.495,0.694,0.46,0.452,0.43,0.384
20,0.582,0.176,19.6,14.5,13.4,10.7,27.6,,,,0.49,0.716,0.477,0.453,0.481,0.37
14,0.582,0.176,19.6,14.5,13.4,10.7,27.6,,,,0.47,0.71,0.398,0.434,0.424,0.372
12,0.582,0.176,19.6,14.5,13.4,10.7,27.6,,,,0.468,0.712,0.406,0.411,0.404,0.354
14,0.582,0.176,19.6,14.5,13.4,10.7,27.6,,,,0.47,0.66,0.442,0.432,0.42,0.365
18,0.582,0.176,19.6,14.5,13.4,10.7,27.6,,,,0.467,0.705,0.493,0.463,0.407,0.353
10,0.582,0.176,19.6,14.5,13.4,10.7,27.6,,,,0.473,0.682,0.45,0.425,0.431,0.37
27,0.582,0.176,19.6,14.5,13.4,10.7,27.6,,,,0.495,0.694,0.46,0.452,0.43,0.384
19,0.582,0.176,19.6,14.5,13.4,10.7,27.6,,,,0.47,0.712,0.435,0.484,0.391,0.356
33,0.582,0.176,19.6,14.5,13.4,10.7,27.6,,,,0.47,0.66,0.442,0.432,0.42,0.365
20,0.582,0.176,19.6,14.5,13.4,10.7,27.6,,,,0.453,0.676,0.438,0.469,0.407,0.352
11,0.582,0.176,19.6,14.5,13.4,10.7,27.6,,,,0.473,0.682,0.45,0.425,0.431,0.37
8,0.582,0.176,19.6,14.5,13.4,10.7,27.6,,,,0.463,0.682,0.478,0.464,0.401,0.348
15,0.582,0.176,19.6,14.5,13.4,10.7,27.6,,,,0.45,0.673,0.404,0.447,0.371,0.354
14,0.582,0.176,19.6,14.5,13.4,10.7,27.6,,,,0.462,0.686,0.416,0.415,0.391,0.355
23,0.582,0.176,19.6,14.5,13.4,10.7,27.6,,,,0.455,0.652,0.437,0.432,0.389,0.361
10,0.582,0.176,19.6,14.5,13.4,10.7,27.6,,,,0.48,0.699,0.485,0.43,0.368,0.387
14,0.582,0.176,19.6,14.5,13.4,10.7,27.6,,,,0.462,0.686,0.416,0.415,0.391,0.355
16,0.582,0.176,19.6,14.5,13.4,10.7,27.6,,,,0.463,0.66,0.426,0.425,0.38,0.371
5,0.582,0.176,19.6,14.5,13.4,10.7,27.6,,,,0.463,0.66,0.426,0.425,0.38,0.371
23,0.582,0.176,19.6,14.5,13.4,10.7,27.6,,,,0.467,0.705,0.493,0.463,0.407,0.353
10,0.582,0.176,19.6,14.5,13.4,10.7,27.6,,,,0.474,0.701,0.464,0.472,0.394,0.358
31,0.582,0.176,19.6,14.5,13.4,10.7,27.6,,,,0.463,0.682,0.478,0.464,0.401,0.348
16,0.582,0.176,19.6,14.5,13.4,10.7,27.6,,,,0.495,0.694,0.46,0.452,0.43,0.384
18,0.582,0.176,19.6,14.5,13.4,10.7,27.6,,,,0.487,0.712,0.478,0.466,0.392,0.395
14,0.582,0.176,19.6,14.5,13.4,10.7,27.6,,,,0.45,0.673,0.404,0.447,0.371,0.354
15,0.582,0.176,19.6,14.5,13.4,10.7,27.6,,,,0.49,0.716,0.477,0.453,0.481,0.37
18,0.582,0.176,19.6,14.5,13.4,10.7,27.6,,,,0.474,0.701,0.464,0.472,0.394,0.358
