final_PTS,TS%,FTr,USG%,PER,avg_PTS,FGA,MP,ORtg,eFG%_2,Pace,Opponent_FG%,Range_0-3_Made,Range_3-10_Made,Range_10-16_Made,Range_16-3P_Made,3P_Made
4,0.441,0.217,18.5,8.6,3.2,3.3,9.5,117.4,0.541,97.9,0.487,0.712,0.478,0.466,0.392,0.395
4,0.441,0.217,18.5,8.6,2.9,3.5,9.6,117.4,0.541,97.9,0.487,0.712,0.478,0.466,0.392,0.395
4,0.441,0.217,18.5,8.6,0.0,0.0,2.0,117.4,0.541,97.9,0.487,0.712,0.478,0.466,0.392,0.395
4,0.441,0.217,18.5,8.6,3.8,3.3,9.9,117.4,0.541,97.9,0.487,0.712,0.478,0.466,0.392,0.395
4,0.387,0.212,19.6,5.7,3.2,3.3,9.5,117.4,0.541,97.9,0.487,0.712,0.478,0.466,0.392,0.395
4,0.387,0.212,19.6,5.7,2.9,3.5,9.6,117.4,0.541,97.9,0.487,0.712,0.478,0.466,0.392,0.395
4,0.387,0.212,19.6,5.7,0.0,0.0,2.0,117.4,0.541,97.9,0.487,0.712,0.478,0.466,0.392,0.395
4,0.387,0.212,19.6,5.7,3.8,3.3,9.9,117.4,0.541,97.9,0.487,0.712,0.478,0.466,0.392,0.395
4,,,0.0,-7.3,3.2,3.3,9.5,117.4,0.541,97.9,0.487,0.712,0.478,0.466,0.392,0.395
4,,,0.0,-7.3,2.9,3.5,9.6,117.4,0.541,97.9,0.487,0.712,0.478,0.466,0.392,0.395
4,,,0.0,-7.3,0.0,0.0,2.0,117.4,0.541,97.9,0.487,0.712,0.478,0.466,0.392,0.395
4,,,0.0,-7.3,3.8,3.3,9.9,117.4,0.541,97.9,0.487,0.712,0.478,0.466,0.392,0.395
4,0.512,0.225,17.6,12.3,3.2,3.3,9.5,117.4,0.541,97.9,0.487,0.712,0.478,0.466,0.392,0.395
4,0.512,0.225,17.6,12.3,2.9,3.5,9.6,117.4,0.541,97.9,0.487,0.712,0.478,0.466,0.392,0.395
4,0.512,0.225,17.6,12.3,0.0,0.0,2.0,117.4,0.541,97.9,0.487,0.712,0.478,0.466,0.392,0.395
4,0.512,0.225,17.6,12.3,3.8,3.3,9.9,117.4,0.541,97.9,0.487,0.712,0.478,0.466,0.392,0.395
7,0.441,0.217,18.5,8.6,3.2,3.3,9.5,117.4,0.541,97.9,0.496,0.688,0.482,0.495,0.411,0.365
7,0.441,0.217,18.5,8.6,2.9,3.5,9.6,117.4,0.541,97.9,0.496,0.688,0.482,0.495,0.411,0.365
7,0.441,0.217,18.5,8.6,0.0,0.0,2.0,117.4,0.541,97.9,0.496,0.688,0.482,0.495,0.411,0.365
7,0.441,0.217,18.5,8.6,3.8,3.3,9.9,117.4,0.541,97.9,0.496,0.688,0.482,0.495,0.411,0.365
7,0.387,0.212,19.6,5.7,3.2,3.3,9.5,117.4,0.541,97.9,0.496,0.688,0.482,0.495,0.411,0.365
7,0.387,0.212,19.6,5.7,2.9,3.5,9.6,117.4,0.541,97.9,0.496,0.688,0.482,0.495,0.411,0.365
7,0.387,0.212,19.6,5.7,0.0,0.0,2.0,117.4,0.541,97.9,0.496,0.688,0.482,0.495,0.411,0.365
7,0.387,0.212,19.6,5.7,3.8,3.3,9.9,117.4,0.541,97.9,0.496,0.688,0.482,0.495,0.411,0.365
7,,,0.0,-7.3,3.2,3.3,9.5,117.4,0.541,97.9,0.496,0.688,0.482,0.495,0.411,0.365
7,,,0.0,-7.3,2.9,3.5,9.6,117.4,0.541,97.9,0.496,0.688,0.482,0.495,0.411,0.365
7,,,0.0,-7.3,0.0,0.0,2.0,117.4,0.541,97.9,0.496,0.688,0.482,0.495,0.411,0.365
7,,,0.0,-7.3,3.8,3.3,9.9,117.4,0.541,97.9,0.496,0.688,0.482,0.495,0.411,0.365
7,0.512,0.225,17.6,12.3,3.2,3.3,9.5,117.4,0.541,97.9,0.496,0.688,0.482,0.495,0.411,0.365
7,0.512,0.225,17.6,12.3,2.9,3.5,9.6,117.4,0.541,97.9,0.496,0.688,0.482,0.495,0.411,0.365
7,0.512,0.225,17.6,12.3,0.0,0.0,2.0,117.4,0.541,97.9,0.496,0.688,0.482,0.495,0.411,0.365
7,0.512,0.225,17.6,12.3,3.8,3.3,9.9,117.4,0.541,97.9,0.496,0.688,0.482,0.495,0.411,0.365
12,0.441,0.217,18.5,8.6,3.2,3.3,9.5,117.4,0.541,97.9,0.475,0.736,0.421,0.46,0.381,0.368
12,0.441,0.217,18.5,8.6,2.9,3.5,9.6,117.4,0.541,97.9,0.475,0.736,0.421,0.46,0.381,0.368
12,0.441,0.217,18.5,8.6,0.0,0.0,2.0,117.4,0.541,97.9,0.475,0.736,0.421,0.46,0.381,0.368
12,0.441,0.217,18.5,8.6,3.8,3.3,9.9,117.4,0.541,97.9,0.475,0.736,0.421,0.46,0.381,0.368
12,0.387,0.212,19.6,5.7,3.2,3.3,9.5,117.4,0.541,97.9,0.475,0.736,0.421,0.46,0.381,0.368
12,0.387,0.212,19.6,5.7,2.9,3.5,9.6,117.4,0.541,97.9,0.475,0.736,0.421,0.46,0.381,0.368
12,0.387,0.212,19.6,5.7,0.0,0.0,2.0,117.4,0.541,97.9,0.475,0.736,0.421,0.46,0.381,0.368
12,0.387,0.212,19.6,5.7,3.8,3.3,9.9,117.4,0.541,97.9,0.475,0.736,0.421,0.46,0.381,0.368
12,,,0.0,-7.3,3.2,3.3,9.5,117.4,0.541,97.9,0.475,0.736,0.421,0.46,0.381,0.368
12,,,0.0,-7.3,2.9,3.5,9.6,117.4,0.541,97.9,0.475,0.736,0.421,0.46,0.381,0.368
12,,,0.0,-7.3,0.0,0.0,2.0,117.4,0.541,97.9,0.475,0.736,0.421,0.46,0.381,0.368
12,,,0.0,-7.3,3.8,3.3,9.9,117.4,0.541,97.9,0.475,0.736,0.421,0.46,0.381,0.368
12,0.512,0.225,17.6,12.3,3.2,3.3,9.5,117.4,0.541,97.9,0.475,0.736,0.421,0.46,0.381,0.368
12,0.512,0.225,17.6,12.3,2.9,3.5,9.6,117.4,0.541,97.9,0.475,0.736,0.421,0.46,0.381,0.368
12,0.512,0.225,17.6,12.3,0.0,0.0,2.0,117.4,0.541,97.9,0.475,0.736,0.421,0.46,0.381,0.368
12,0.512,0.225,17.6,12.3,3.8,3.3,9.9,117.4,0.541,97.9,0.475,0.736,0.421,0.46,0.381,0.368
0,0.441,0.217,18.5,8.6,3.2,3.3,9.5,117.4,0.541,97.9,0.496,0.753,0.452,0.464,0.454,0.362
0,0.441,0.217,18.5,8.6,2.9,3.5,9.6,117.4,0.541,97.9,0.496,0.753,0.452,0.464,0.454,0.362
0,0.441,0.217,18.5,8.6,0.0,0.0,2.0,117.4,0.541,97.9,0.496,0.753,0.452,0.464,0.454,0.362
0,0.441,0.217,18.5,8.6,3.8,3.3,9.9,117.4,0.541,97.9,0.496,0.753,0.452,0.464,0.454,0.362
0,0.387,0.212,19.6,5.7,3.2,3.3,9.5,117.4,0.541,97.9,0.496,0.753,0.452,0.464,0.454,0.362
0,0.387,0.212,19.6,5.7,2.9,3.5,9.6,117.4,0.541,97.9,0.496,0.753,0.452,0.464,0.454,0.362
0,0.387,0.212,19.6,5.7,0.0,0.0,2.0,117.4,0.541,97.9,0.496,0.753,0.452,0.464,0.454,0.362
0,0.387,0.212,19.6,5.7,3.8,3.3,9.9,117.4,0.541,97.9,0.496,0.753,0.452,0.464,0.454,0.362
0,,,0.0,-7.3,3.2,3.3,9.5,117.4,0.541,97.9,0.496,0.753,0.452,0.464,0.454,0.362
0,,,0.0,-7.3,2.9,3.5,9.6,117.4,0.541,97.9,0.496,0.753,0.452,0.464,0.454,0.362
0,,,0.0,-7.3,0.0,0.0,2.0,117.4,0.541,97.9,0.496,0.753,0.452,0.464,0.454,0.362
0,,,0.0,-7.3,3.8,3.3,9.9,117.4,0.541,97.9,0.496,0.753,0.452,0.464,0.454,0.362
0,0.512,0.225,17.6,12.3,3.2,3.3,9.5,117.4,0.541,97.9,0.496,0.753,0.452,0.464,0.454,0.362
0,0.512,0.225,17.6,12.3,2.9,3.5,9.6,117.4,0.541,97.9,0.496,0.753,0.452,0.464,0.454,0.362
0,0.512,0.225,17.6,12.3,0.0,0.0,2.0,117.4,0.541,97.9,0.496,0.753,0.452,0.464,0.454,0.362
0,0.512,0.225,17.6,12.3,3.8,3.3,9.9,117.4,0.541,97.9,0.496,0.753,0.452,0.464,0.454,0.362
2,0.441,0.217,18.5,8.6,3.2,3.3,9.5,117.4,0.541,97.9,0.453,0.676,0.438,0.469,0.407,0.352
2,0.441,0.217,18.5,8.6,2.9,3.5,9.6,117.4,0.541,97.9,0.453,0.676,0.438,0.469,0.407,0.352
2,0.441,0.217,18.5,8.6,0.0,0.0,2.0,117.4,0.541,97.9,0.453,0.676,0.438,0.469,0.407,0.352
2,0.441,0.217,18.5,8.6,3.8,3.3,9.9,117.4,0.541,97.9,0.453,0.676,0.438,0.469,0.407,0.352
2,0.387,0.212,19.6,5.7,3.2,3.3,9.5,117.4,0.541,97.9,0.453,0.676,0.438,0.469,0.407,0.352
2,0.387,0.212,19.6,5.7,2.9,3.5,9.6,117.4,0.541,97.9,0.453,0.676,0.438,0.469,0.407,0.352
2,0.387,0.212,19.6,5.7,0.0,0.0,2.0,117.4,0.541,97.9,0.453,0.676,0.438,0.469,0.407,0.352
2,0.387,0.212,19.6,5.7,3.8,3.3,9.9,117.4,0.541,97.9,0.453,0.676,0.438,0.469,0.407,0.352
2,,,0.0,-7.3,3.2,3.3,9.5,117.4,0.541,97.9,0.453,0.676,0.438,0.469,0.407,0.352
2,,,0.0,-7.3,2.9,3.5,9.6,117.4,0.541,97.9,0.453,0.676,0.438,0.469,0.407,0.352
2,,,0.0,-7.3,0.0,0.0,2.0,117.4,0.541,97.9,0.453,0.676,0.438,0.469,0.407,0.352
2,,,0.0,-7.3,3.8,3.3,9.9,117.4,0.541,97.9,0.453,0.676,0.438,0.469,0.407,0.352
2,0.512,0.225,17.6,12.3,3.2,3.3,9.5,117.4,0.541,97.9,0.453,0.676,0.438,0.469,0.407,0.352
2,0.512,0.225,17.6,12.3,2.9,3.5,9.6,117.4,0.541,97.9,0.453,0.676,0.438,0.469,0.407,0.352
2,0.512,0.225,17.6,12.3,0.0,0.0,2.0,117.4,0.541,97.9,0.453,0.676,0.438,0.469,0.407,0.352
2,0.512,0.225,17.6,12.3,3.8,3.3,9.9,117.4,0.541,97.9,0.453,0.676,0.438,0.469,0.407,0.352
3,0.441,0.217,18.5,8.6,3.2,3.3,9.5,117.4,0.541,97.9,0.467,0.705,0.493,0.463,0.407,0.353
3,0.441,0.217,18.5,8.6,2.9,3.5,9.6,117.4,0.541,97.9,0.467,0.705,0.493,0.463,0.407,0.353
3,0.441,0.217,18.5,8.6,0.0,0.0,2.0,117.4,0.541,97.9,0.467,0.705,0.493,0.463,0.407,0.353
3,0.441,0.217,18.5,8.6,3.8,3.3,9.9,117.4,0.541,97.9,0.467,0.705,0.493,0.463,0.407,0.353
3,0.387,0.212,19.6,5.7,3.2,3.3,9.5,117.4,0.541,97.9,0.467,0.705,0.493,0.463,0.407,0.353
3,0.387,0.212,19.6,5.7,2.9,3.5,9.6,117.4,0.541,97.9,0.467,0.705,0.493,0.463,0.407,0.353
3,0.387,0.212,19.6,5.7,0.0,0.0,2.0,117.4,0.541,97.9,0.467,0.705,0.493,0.463,0.407,0.353
3,0.387,0.212,19.6,5.7,3.8,3.3,9.9,117.4,0.541,97.9,0.467,0.705,0.493,0.463,0.407,0.353
3,,,0.0,-7.3,3.2,3.3,9.5,117.4,0.541,97.9,0.467,0.705,0.493,0.463,0.407,0.353
3,,,0.0,-7.3,2.9,3.5,9.6,117.4,0.541,97.9,0.467,0.705,0.493,0.463,0.407,0.353
3,,,0.0,-7.3,0.0,0.0,2.0,117.4,0.541,97.9,0.467,0.705,0.493,0.463,0.407,0.353
3,,,0.0,-7.3,3.8,3.3,9.9,117.4,0.541,97.9,0.467,0.705,0.493,0.463,0.407,0.353
3,0.512,0.225,17.6,12.3,3.2,3.3,9.5,117.4,0.541,97.9,0.467,0.705,0.493,0.463,0.407,0.353
3,0.512,0.225,17.6,12.3,2.9,3.5,9.6,117.4,0.541,97.9,0.467,0.705,0.493,0.463,0.407,0.353
3,0.512,0.225,17.6,12.3,0.0,0.0,2.0,117.4,0.541,97.9,0.467,0.705,0.493,0.463,0.407,0.353
3,0.512,0.225,17.6,12.3,3.8,3.3,9.9,117.4,0.541,97.9,0.467,0.705,0.493,0.463,0.407,0.353
15,0.441,0.217,18.5,8.6,3.2,3.3,9.5,117.4,0.541,97.9,0.47,0.712,0.435,0.484,0.391,0.356
15,0.441,0.217,18.5,8.6,2.9,3.5,9.6,117.4,0.541,97.9,0.47,0.712,0.435,0.484,0.391,0.356
15,0.441,0.217,18.5,8.6,0.0,0.0,2.0,117.4,0.541,97.9,0.47,0.712,0.435,0.484,0.391,0.356
15,0.441,0.217,18.5,8.6,3.8,3.3,9.9,117.4,0.541,97.9,0.47,0.712,0.435,0.484,0.391,0.356
15,0.387,0.212,19.6,5.7,3.2,3.3,9.5,117.4,0.541,97.9,0.47,0.712,0.435,0.484,0.391,0.356
15,0.387,0.212,19.6,5.7,2.9,3.5,9.6,117.4,0.541,97.9,0.47,0.712,0.435,0.484,0.391,0.356
15,0.387,0.212,19.6,5.7,0.0,0.0,2.0,117.4,0.541,97.9,0.47,0.712,0.435,0.484,0.391,0.356
