final_PTS,TS%,FTr,USG%,PER,avg_PTS,FGA,MP,ORtg,eFG%_2,Pace,Opponent_FG%,Range_0-3_Made,Range_3-10_Made,Range_10-16_Made,Range_16-3P_Made,3P_Made
2,0.385,0.214,19.6,3.2,3.5,4.1,12.5,,,,0.487,0.685,0.467,0.441,0.423,0.373
2,0.385,0.214,19.6,3.2,4.2,5.1,15.4,,,,0.487,0.685,0.467,0.441,0.423,0.373
2,0.385,0.214,19.6,3.2,1.3,1.0,3.3,,,,0.487,0.685,0.467,0.441,0.423,0.373
2,0.379,0.182,19.1,3.9,3.5,4.1,12.5,,,,0.487,0.685,0.467,0.441,0.423,0.373
2,0.379,0.182,19.1,3.9,4.2,5.1,15.4,,,,0.487,0.685,0.467,0.441,0.423,0.373
2,0.379,0.182,19.1,3.9,1.3,1.0,3.3,,,,0.487,0.685,0.467,0.441,0.423,0.373
2,0.47,0.75,27.7,-8.0,3.5,4.1,12.5,,,,0.487,0.685,0.467,0.441,0.423,0.373
2,0.47,0.75,27.7,-8.0,4.2,5.1,15.4,,,,0.487,0.685,0.467,0.441,0.423,0.373
2,0.47,0.75,27.7,-8.0,1.3,1.0,3.3,,,,0.487,0.685,0.467,0.441,0.423,0.373
4,0.385,0.214,19.6,3.2,3.5,4.1,12.5,,,,0.495,0.694,0.46,0.452,0.43,0.384
4,0.385,0.214,19.6,3.2,4.2,5.1,15.4,,,,0.495,0.694,0.46,0.452,0.43,0.384
4,0.385,0.214,19.6,3.2,1.3,1.0,3.3,,,,0.495,0.694,0.46,0.452,0.43,0.384
4,0.379,0.182,19.1,3.9,3.5,4.1,12.5,,,,0.495,0.694,0.46,0.452,0.43,0.384
4,0.379,0.182,19.1,3.9,4.2,5.1,15.4,,,,0.495,0.694,0.46,0.452,0.43,0.384
4,0.379,0.182,19.1,3.9,1.3,1.0,3.3,,,,0.495,0.694,0.46,0.452,0.43,0.384
4,0.47,0.75,27.7,-8.0,3.5,4.1,12.5,,,,0.495,0.694,0.46,0.452,0.43,0.384
4,0.47,0.75,27.7,-8.0,4.2,5.1,15.4,,,,0.495,0.694,0.46,0.452,0.43,0.384
4,0.47,0.75,27.7,-8.0,1.3,1.0,3.3,,,,0.495,0.694,0.46,0.452,0.43,0.384
15,0.385,0.214,19.6,3.2,3.5,4.1,12.5,,,,0.47,0.66,0.442,0.432,0.42,0.365
15,0.385,0.214,19.6,3.2,4.2,5.1,15.4,,,,0.47,0.66,0.442,0.432,0.42,0.365
15,0.385,0.214,19.6,3.2,1.3,1.0,3.3,,,,0.47,0.66,0.442,0.432,0.42,0.365
15,0.379,0.182,19.1,3.9,3.5,4.1,12.5,,,,0.47,0.66,0.442,0.432,0.42,0.365
15,0.379,0.182,19.1,3.9,4.2,5.1,15.4,,,,0.47,0.66,0.442,0.432,0.42,0.365
15,0.379,0.182,19.1,3.9,1.3,1.0,3.3,,,,0.47,0.66,0.442,0.432,0.42,0.365
15,0.47,0.75,27.7,-8.0,3.5,4.1,12.5,,,,0.47,0.66,0.442,0.432,0.42,0.365
15,0.47,0.75,27.7,-8.0,4.2,5.1,15.4,,,,0.47,0.66,0.442,0.432,0.42,0.365
15,0.47,0.75,27.7,-8.0,1.3,1.0,3.3,,,,0.47,0.66,0.442,0.432,0.42,0.365
8,0.385,0.214,19.6,3.2,3.5,4.1,12.5,,,,0.474,0.701,0.464,0.472,0.394,0.358
8,0.385,0.214,19.6,3.2,4.2,5.1,15.4,,,,0.474,0.701,0.464,0.472,0.394,0.358
8,0.385,0.214,19.6,3.2,1.3,1.0,3.3,,,,0.474,0.701,0.464,0.472,0.394,0.358
8,0.379,0.182,19.1,3.9,3.5,4.1,12.5,,,,0.474,0.701,0.464,0.472,0.394,0.358
8,0.379,0.182,19.1,3.9,4.2,5.1,15.4,,,,0.474,0.701,0.464,0.472,0.394,0.358
8,0.379,0.182,19.1,3.9,1.3,1.0,3.3,,,,0.474,0.701,0.464,0.472,0.394,0.358
8,0.47,0.75,27.7,-8.0,3.5,4.1,12.5,,,,0.474,0.701,0.464,0.472,0.394,0.358
8,0.47,0.75,27.7,-8.0,4.2,5.1,15.4,,,,0.474,0.701,0.464,0.472,0.394,0.358
8,0.47,0.75,27.7,-8.0,1.3,1.0,3.3,,,,0.474,0.701,0.464,0.472,0.394,0.358
5,0.385,0.214,19.6,3.2,3.5,4.1,12.5,,,,0.466,0.716,0.507,0.42,0.404,0.359
5,0.385,0.214,19.6,3.2,4.2,5.1,15.4,,,,0.466,0.716,0.507,0.42,0.404,0.359
5,0.385,0.214,19.6,3.2,1.3,1.0,3.3,,,,0.466,0.716,0.507,0.42,0.404,0.359
5,0.379,0.182,19.1,3.9,3.5,4.1,12.5,,,,0.466,0.716,0.507,0.42,0.404,0.359
5,0.379,0.182,19.1,3.9,4.2,5.1,15.4,,,,0.466,0.716,0.507,0.42,0.404,0.359
5,0.379,0.182,19.1,3.9,1.3,1.0,3.3,,,,0.466,0.716,0.507,0.42,0.404,0.359
5,0.47,0.75,27.7,-8.0,3.5,4.1,12.5,,,,0.466,0.716,0.507,0.42,0.404,0.359
5,0.47,0.75,27.7,-8.0,4.2,5.1,15.4,,,,0.466,0.716,0.507,0.42,0.404,0.359
5,0.47,0.75,27.7,-8.0,1.3,1.0,3.3,,,,0.466,0.716,0.507,0.42,0.404,0.359
2,0.385,0.214,19.6,3.2,3.5,4.1,12.5,,,,0.48,0.699,0.485,0.43,0.368,0.387
2,0.385,0.214,19.6,3.2,4.2,5.1,15.4,,,,0.48,0.699,0.485,0.43,0.368,0.387
2,0.385,0.214,19.6,3.2,1.3,1.0,3.3,,,,0.48,0.699,0.485,0.43,0.368,0.387
2,0.379,0.182,19.1,3.9,3.5,4.1,12.5,,,,0.48,0.699,0.485,0.43,0.368,0.387
2,0.379,0.182,19.1,3.9,4.2,5.1,15.4,,,,0.48,0.699,0.485,0.43,0.368,0.387
2,0.379,0.182,19.1,3.9,1.3,1.0,3.3,,,,0.48,0.699,0.485,0.43,0.368,0.387
