final_PTS,TS%,FTr,USG%,PER,avg_PTS,FGA,MP,ORtg,eFG%_2,Pace,Opponent_FG%,Range_0-3_Made,Range_3-10_Made,Range_10-16_Made,Range_16-3P_Made,3P_Made
12,0.559,0.187,18.2,13.7,9.3,7.7,24.1,119.5,0.53,99.8,0.45,0.673,0.404,0.447,0.371,0.354
12,0.559,0.187,18.2,13.7,3.8,3.1,9.2,119.5,0.53,99.8,0.45,0.673,0.404,0.447,0.371,0.354
12,0.559,0.187,18.2,13.7,11.9,9.9,31.0,119.5,0.53,99.8,0.45,0.673,0.404,0.447,0.371,0.354
12,0.606,0.025,18.0,14.2,9.3,7.7,24.1,119.5,0.53,99.8,0.45,0.673,0.404,0.447,0.371,0.354
12,0.606,0.025,18.0,14.2,3.8,3.1,9.2,119.5,0.53,99.8,0.45,0.673,0.404,0.447,0.371,0.354
12,0.606,0.025,18.0,14.2,11.9,9.9,31.0,119.5,0.53,99.8,0.45,0.673,0.404,0.447,0.371,0.354
12,0.552,0.21,18.2,13.7,9.3,7.7,24.1,119.5,0.53,99.8,0.45,0.673,0.404,0.447,0.371,0.354
12,0.552,0.21,18.2,13.7,3.8,3.1,9.2,119.5,0.53,99.8,0.45,0.673,0.404,0.447,0.371,0.354
12,0.552,0.21,18.2,13.7,11.9,9.9,31.0,119.5,0.53,99.8,0.45,0.673,0.404,0.447,0.371,0.354
13,0.559,0.187,18.2,13.7,9.3,7.7,24.1,119.5,0.53,99.8,0.462,0.686,0.416,0.415,0.391,0.355
13,0.559,0.187,18.2,13.7,3.8,3.1,9.2,119.5,0.53,99.8,0.462,0.686,0.416,0.415,0.391,0.355
13,0.559,0.187,18.2,13.7,11.9,9.9,31.0,119.5,0.53,99.8,0.462,0.686,0.416,0.415,0.391,0.355
13,0.606,0.025,18.0,14.2,9.3,7.7,24.1,119.5,0.53,99.8,0.462,0.686,0.416,0.415,0.391,0.355
13,0.606,0.025,18.0,14.2,3.8,3.1,9.2,119.5,0.53,99.8,0.462,0.686,0.416,0.415,0.391,0.355
13,0.606,0.025,18.0,14.2,11.9,9.9,31.0,119.5,0.53,99.8,0.462,0.686,0.416,0.415,0.391,0.355
13,0.552,0.21,18.2,13.7,9.3,7.7,24.1,119.5,0.53,99.8,0.462,0.686,0.416,0.415,0.391,0.355
13,0.552,0.21,18.2,13.7,3.8,3.1,9.2,119.5,0.53,99.8,0.462,0.686,0.416,0.415,0.391,0.355
13,0.552,0.21,18.2,13.7,11.9,9.9,31.0,119.5,0.53,99.8,0.462,0.686,0.416,0.415,0.391,0.355
10,0.559,0.187,18.2,13.7,9.3,7.7,24.1,119.5,0.53,99.8,0.45,0.673,0.404,0.447,0.371,0.354
10,0.559,0.187,18.2,13.7,3.8,3.1,9.2,119.5,0.53,99.8,0.45,0.673,0.404,0.447,0.371,0.354
10,0.559,0.187,18.2,13.7,11.9,9.9,31.0,119.5,0.53,99.8,0.45,0.673,0.404,0.447,0.371,0.354
10,0.606,0.025,18.0,14.2,9.3,7.7,24.1,119.5,0.53,99.8,0.45,0.673,0.404,0.447,0.371,0.354
10,0.606,0.025,18.0,14.2,3.8,3.1,9.2,119.5,0.53,99.8,0.45,0.673,0.404,0.447,0.371,0.354
10,0.606,0.025,18.0,14.2,11.9,9.9,31.0,119.5,0.53,99.8,0.45,0.673,0.404,0.447,0.371,0.354
10,0.552,0.21,18.2,13.7,9.3,7.7,24.1,119.5,0.53,99.8,0.45,0.673,0.404,0.447,0.371,0.354
10,0.552,0.21,18.2,13.7,3.8,3.1,9.2,119.5,0.53,99.8,0.45,0.673,0.404,0.447,0.371,0.354
10,0.552,0.21,18.2,13.7,11.9,9.9,31.0,119.5,0.53,99.8,0.45,0.673,0.404,0.447,0.371,0.354
25,0.559,0.187,18.2,13.7,9.3,7.7,24.1,119.5,0.53,99.8,0.468,0.707,0.449,0.436,0.407,0.363
25,0.559,0.187,18.2,13.7,3.8,3.1,9.2,119.5,0.53,99.8,0.468,0.707,0.449,0.436,0.407,0.363
25,0.559,0.187,18.2,13.7,11.9,9.9,31.0,119.5,0.53,99.8,0.468,0.707,0.449,0.436,0.407,0.363
25,0.606,0.025,18.0,14.2,9.3,7.7,24.1,119.5,0.53,99.8,0.468,0.707,0.449,0.436,0.407,0.363
25,0.606,0.025,18.0,14.2,3.8,3.1,9.2,119.5,0.53,99.8,0.468,0.707,0.449,0.436,0.407,0.363
25,0.606,0.025,18.0,14.2,11.9,9.9,31.0,119.5,0.53,99.8,0.468,0.707,0.449,0.436,0.407,0.363
25,0.552,0.21,18.2,13.7,9.3,7.7,24.1,119.5,0.53,99.8,0.468,0.707,0.449,0.436,0.407,0.363
25,0.552,0.21,18.2,13.7,3.8,3.1,9.2,119.5,0.53,99.8,0.468,0.707,0.449,0.436,0.407,0.363
25,0.552,0.21,18.2,13.7,11.9,9.9,31.0,119.5,0.53,99.8,0.468,0.707,0.449,0.436,0.407,0.363
14,0.559,0.187,18.2,13.7,9.3,7.7,24.1,119.5,0.53,99.8,0.468,0.707,0.449,0.436,0.407,0.363
14,0.559,0.187,18.2,13.7,3.8,3.1,9.2,119.5,0.53,99.8,0.468,0.707,0.449,0.436,0.407,0.363
14,0.559,0.187,18.2,13.7,11.9,9.9,31.0,119.5,0.53,99.8,0.468,0.707,0.449,0.436,0.407,0.363
14,0.606,0.025,18.0,14.2,9.3,7.7,24.1,119.5,0.53,99.8,0.468,0.707,0.449,0.436,0.407,0.363
14,0.606,0.025,18.0,14.2,3.8,3.1,9.2,119.5,0.53,99.8,0.468,0.707,0.449,0.436,0.407,0.363
14,0.606,0.025,18.0,14.2,11.9,9.9,31.0,119.5,0.53,99.8,0.468,0.707,0.449,0.436,0.407,0.363
