final_PTS,TS%,FTr,USG%,PER,avg_PTS,FGA,MP,ORtg,eFG%_2,Pace,Opponent_FG%,Range_0-3_Made,Range_3-10_Made,Range_10-16_Made,Range_16-3P_Made,3P_Made
6,0.563,0.227,13.4,9.9,3.7,3.0,12.4,114.5,0.533,99.0,0.495,0.694,0.46,0.452,0.43,0.384
6,0.563,0.227,13.4,9.9,5.0,5.0,15.5,114.5,0.533,99.0,0.495,0.694,0.46,0.452,0.43,0.384
6,0.563,0.227,13.4,9.9,3.7,2.9,12.3,114.5,0.533,99.0,0.495,0.694,0.46,0.452,0.43,0.384
6,0.46,0.2,18.2,6.9,3.7,3.0,12.4,114.5,0.533,99.0,0.495,0.694,0.46,0.452,0.43,0.384
6,0.46,0.2,18.2,6.9,5.0,5.0,15.5,114.5,0.533,99.0,0.495,0.694,0.46,0.452,0.43,0.384
6,0.46,0.2,18.2,6.9,3.7,2.9,12.3,114.5,0.533,99.0,0.495,0.694,0.46,0.452,0.43,0.384
6,0.569,0.228,13.2,10.0,3.7,3.0,12.4,114.5,0.533,99.0,0.495,0.694,0.46,0.452,0.43,0.384
6,0.569,0.228,13.2,10.0,5.0,5.0,15.5,114.5,0.533,99.0,0.495,0.694,0.46,0.452,0.43,0.384
6,0.569,0.228,13.2,10.0,3.7,2.9,12.3,114.5,0.533,99.0,0.495,0.694,0.46,0.452,0.43,0.384
8,0.563,0.227,13.4,9.9,3.7,3.0,12.4,114.5,0.533,99.0,0.474,0.667,0.418,0.456,0.425,0.378
8,0.563,0.227,13.4,9.9,5.0,5.0,15.5,114.5,0.533,99.0,0.474,0.667,0.418,0.456,0.425,0.378
8,0.563,0.227,13.4,9.9,3.7,2.9,12.3,114.5,0.533,99.0,0.474,0.667,0.418,0.456,0.425,0.378
8,0.46,0.2,18.2,6.9,3.7,3.0,12.4,114.5,0.533,99.0,0.474,0.667,0.418,0.456,0.425,0.378
8,0.46,0.2,18.2,6.9,5.0,5.0,15.5,114.5,0.533,99.0,0.474,0.667,0.418,0.456,0.425,0.378
8,0.46,0.2,18.2,6.9,3.7,2.9,12.3,114.5,0.533,99.0,0.474,0.667,0.418,0.456,0.425,0.378
8,0.569,0.228,13.2,10.0,3.7,3.0,12.4,114.5,0.533,99.0,0.474,0.667,0.418,0.456,0.425,0.378
8,0.569,0.228,13.2,10.0,5.0,5.0,15.5,114.5,0.533,99.0,0.474,0.667,0.418,0.456,0.425,0.378
8,0.569,0.228,13.2,10.0,3.7,2.9,12.3,114.5,0.533,99.0,0.474,0.667,0.418,0.456,0.425,0.378
14,0.563,0.227,13.4,9.9,3.7,3.0,12.4,114.5,0.533,99.0,0.47,0.712,0.435,0.484,0.391,0.356
14,0.563,0.227,13.4,9.9,5.0,5.0,15.5,114.5,0.533,99.0,0.47,0.712,0.435,0.484,0.391,0.356
14,0.563,0.227,13.4,9.9,3.7,2.9,12.3,114.5,0.533,99.0,0.47,0.712,0.435,0.484,0.391,0.356
14,0.46,0.2,18.2,6.9,3.7,3.0,12.4,114.5,0.533,99.0,0.47,0.712,0.435,0.484,0.391,0.356
14,0.46,0.2,18.2,6.9,5.0,5.0,15.5,114.5,0.533,99.0,0.47,0.712,0.435,0.484,0.391,0.356
14,0.46,0.2,18.2,6.9,3.7,2.9,12.3,114.5,0.533,99.0,0.47,0.712,0.435,0.484,0.391,0.356
14,0.569,0.228,13.2,10.0,3.7,3.0,12.4,114.5,0.533,99.0,0.47,0.712,0.435,0.484,0.391,0.356
14,0.569,0.228,13.2,10.0,5.0,5.0,15.5,114.5,0.533,99.0,0.47,0.712,0.435,0.484,0.391,0.356
14,0.569,0.228,13.2,10.0,3.7,2.9,12.3,114.5,0.533,99.0,0.47,0.712,0.435,0.484,0.391,0.356
