final_PTS,TS%,FTr,USG%,PER,avg_PTS,FGA,MP,ORtg,eFG%_2,Pace,Opponent_FG%,Range_0-3_Made,Range_3-10_Made,Range_10-16_Made,Range_16-3P_Made,3P_Made
16,0.467,0.084,15.9,7.2,4.0,4.1,13.0,,,,0.464,0.714,0.454,0.422,0.397,0.349
16,0.467,0.084,15.9,7.2,2.7,2.7,10.6,,,,0.464,0.714,0.454,0.422,0.397,0.349
16,0.467,0.084,15.9,7.2,5.8,6.2,16.4,,,,0.464,0.714,0.454,0.422,0.397,0.349
16,0.5,0.0,12.2,6.6,4.0,4.1,13.0,,,,0.464,0.714,0.454,0.422,0.397,0.349
16,0.5,0.0,12.2,6.6,2.7,2.7,10.6,,,,0.464,0.714,0.454,0.422,0.397,0.349
16,0.5,0.0,12.2,6.6,5.8,6.2,16.4,,,,0.464,0.714,0.454,0.422,0.397,0.349
16,0.448,0.138,19.4,7.9,4.0,4.1,13.0,,,,0.464,0.714,0.454,0.422,0.397,0.349
16,0.448,0.138,19.4,7.9,2.7,2.7,10.6,,,,0.464,0.714,0.454,0.422,0.397,0.349
16,0.448,0.138,19.4,7.9,5.8,6.2,16.4,,,,0.464,0.714,0.454,0.422,0.397,0.349
10,0.467,0.084,15.9,7.2,4.0,4.1,13.0,,,,0.491,0.716,0.471,0.42,0.422,0.376
10,0.467,0.084,15.9,7.2,2.7,2.7,10.6,,,,0.491,0.716,0.471,0.42,0.422,0.376
10,0.467,0.084,15.9,7.2,5.8,6.2,16.4,,,,0.491,0.716,0.471,0.42,0.422,0.376
10,0.5,0.0,12.2,6.6,4.0,4.1,13.0,,,,0.491,0.716,0.471,0.42,0.422,0.376
10,0.5,0.0,12.2,6.6,2.7,2.7,10.6,,,,0.491,0.716,0.471,0.42,0.422,0.376
10,0.5,0.0,12.2,6.6,5.8,6.2,16.4,,,,0.491,0.716,0.471,0.42,0.422,0.376
10,0.448,0.138,19.4,7.9,4.0,4.1,13.0,,,,0.491,0.716,0.471,0.42,0.422,0.376
10,0.448,0.138,19.4,7.9,2.7,2.7,10.6,,,,0.491,0.716,0.471,0.42,0.422,0.376
10,0.448,0.138,19.4,7.9,5.8,6.2,16.4,,,,0.491,0.716,0.471,0.42,0.422,0.376
6,0.467,0.084,15.9,7.2,4.0,4.1,13.0,,,,0.474,0.667,0.418,0.456,0.425,0.378
