final_PTS,TS%,FTr,USG%,PER,avg_PTS,FGA,MP,ORtg,eFG%_2,Pace,Opponent_FG%,Range_0-3_Made,Range_3-10_Made,Range_10-16_Made,Range_16-3P_Made,3P_Made
31,0.595,0.292,31.4,22.1,26.6,19.8,35.3,115.2,0.535,97.2,0.491,0.716,0.471,0.42,0.422,0.376
32,0.595,0.292,31.4,22.1,26.6,19.8,35.3,115.2,0.535,97.2,0.473,0.682,0.45,0.425,0.431,0.37
37,0.595,0.292,31.4,22.1,26.6,19.8,35.3,115.2,0.535,97.2,0.496,0.753,0.452,0.464,0.454,0.362
14,0.595,0.292,31.4,22.1,26.6,19.8,35.3,115.2,0.535,97.2,0.474,0.701,0.464,0.472,0.394,0.358
41,0.595,0.292,31.4,22.1,26.6,19.8,35.3,115.2,0.535,97.2,0.453,0.676,0.438,0.469,0.407,0.352
38,0.595,0.292,31.4,22.1,26.6,19.8,35.3,115.2,0.535,97.2,0.47,0.66,0.442,0.432,0.42,0.365
25,0.595,0.292,31.4,22.1,26.6,19.8,35.3,115.2,0.535,97.2,0.453,0.676,0.438,0.469,0.407,0.352
33,0.595,0.292,31.4,22.1,26.6,19.8,35.3,115.2,0.535,97.2,0.474,0.724,0.444,0.433,0.431,0.376
30,0.595,0.292,31.4,22.1,26.6,19.8,35.3,115.2,0.535,97.2,0.468,0.707,0.449,0.436,0.407,0.363
38,0.595,0.292,31.4,22.1,26.6,19.8,35.3,115.2,0.535,97.2,0.48,0.699,0.485,0.43,0.368,0.387
29,0.595,0.292,31.4,22.1,26.6,19.8,35.3,115.2,0.535,97.2,0.466,0.716,0.507,0.42,0.404,0.359
23,0.595,0.292,31.4,22.1,26.6,19.8,35.3,115.2,0.535,97.2,0.47,0.712,0.435,0.484,0.391,0.356
34,0.595,0.292,31.4,22.1,26.6,19.8,35.3,115.2,0.535,97.2,0.473,0.682,0.45,0.425,0.431,0.37
13,0.595,0.292,31.4,22.1,26.6,19.8,35.3,115.2,0.535,97.2,0.467,0.705,0.493,0.463,0.407,0.353
29,0.595,0.292,31.4,22.1,26.6,19.8,35.3,115.2,0.535,97.2,0.495,0.694,0.46,0.452,0.43,0.384
34,0.595,0.292,31.4,22.1,26.6,19.8,35.3,115.2,0.535,97.2,0.491,0.732,0.489,0.458,0.406,0.351
29,0.595,0.292,31.4,22.1,26.6,19.8,35.3,115.2,0.535,97.2,0.47,0.712,0.435,0.484,0.391,0.356
