final_PTS,TS%,FTr,USG%,PER,avg_PTS,FGA,MP,ORtg,eFG%_2,Pace,Opponent_FG%,Range_0-3_Made,Range_3-10_Made,Range_10-16_Made,Range_16-3P_Made,3P_Made
3,0.467,0.088,16.4,6.6,2.5,2.6,8.3,,,,0.464,0.714,0.454,0.422,0.397,0.349
3,0.467,0.088,16.4,6.6,2.5,2.6,8.3,,,,0.491,0.716,0.471,0.42,0.422,0.376
3,0.467,0.088,16.4,6.6,2.5,2.6,8.3,,,,0.496,0.688,0.482,0.495,0.411,0.365
3,0.467,0.088,16.4,6.6,2.5,2.6,8.3,,,,0.496,0.688,0.482,0.495,0.411,0.365
3,0.467,0.088,16.4,6.6,2.5,2.6,8.3,,,,0.496,0.753,0.452,0.464,0.454,0.362
0,0.467,0.088,16.4,6.6,2.5,2.6,8.3,,,,0.473,0.682,0.45,0.425,0.431,0.37
0,0.467,0.088,16.4,6.6,2.5,2.6,8.3,,,,0.47,0.66,0.442,0.432,0.42,0.365
5,0.467,0.088,16.4,6.6,2.5,2.6,8.3,,,,0.474,0.724,0.444,0.433,0.431,0.376
8,0.467,0.088,16.4,6.6,2.5,2.6,8.3,,,,0.474,0.667,0.418,0.456,0.425,0.378
0,0.467,0.088,16.4,6.6,2.5,2.6,8.3,,,,0.468,0.712,0.406,0.411,0.404,0.354
9,0.467,0.088,16.4,6.6,2.5,2.6,8.3,,,,0.491,0.716,0.471,0.42,0.422,0.376
3,0.467,0.088,16.4,6.6,2.5,2.6,8.3,,,,0.496,0.688,0.482,0.495,0.411,0.365
2,0.467,0.088,16.4,6.6,2.5,2.6,8.3,,,,0.496,0.753,0.452,0.464,0.454,0.362
3,0.467,0.088,16.4,6.6,2.5,2.6,8.3,,,,0.491,0.716,0.471,0.42,0.422,0.376
6,0.467,0.088,16.4,6.6,2.5,2.6,8.3,,,,0.473,0.682,0.45,0.425,0.431,0.37
15,0.467,0.088,16.4,6.6,2.5,2.6,8.3,,,,0.496,0.688,0.482,0.495,0.411,0.365
2,0.467,0.088,16.4,6.6,2.5,2.6,8.3,,,,0.496,0.753,0.452,0.464,0.454,0.362
2,0.467,0.088,16.4,6.6,2.5,2.6,8.3,,,,0.49,0.716,0.477,0.453,0.481,0.37
9,0.467,0.088,16.4,6.6,2.5,2.6,8.3,,,,0.466,0.716,0.507,0.42,0.404,0.359
4,0.467,0.088,16.4,6.6,2.5,2.6,8.3,,,,0.455,0.652,0.437,0.432,0.389,0.361
4,0.467,0.088,16.4,6.6,2.5,2.6,8.3,,,,0.487,0.685,0.467,0.441,0.423,0.373
0,0.467,0.088,16.4,6.6,2.5,2.6,8.3,,,,0.464,0.686,0.421,0.428,0.381,0.364
2,0.467,0.088,16.4,6.6,2.5,2.6,8.3,,,,0.468,0.712,0.406,0.411,0.404,0.354
5,0.467,0.088,16.4,6.6,2.5,2.6,8.3,,,,0.49,0.716,0.477,0.453,0.481,0.37
2,0.467,0.088,16.4,6.6,2.5,2.6,8.3,,,,0.474,0.724,0.444,0.433,0.431,0.376
0,0.467,0.088,16.4,6.6,2.5,2.6,8.3,,,,0.453,0.676,0.438,0.469,0.407,0.352
0,0.467,0.088,16.4,6.6,2.5,2.6,8.3,,,,0.496,0.753,0.452,0.464,0.454,0.362
3,0.467,0.088,16.4,6.6,2.5,2.6,8.3,117.6,0.548,100.1,0.474,0.724,0.444,0.433,0.431,0.376
0,0.467,0.088,16.4,6.6,2.5,2.6,8.3,117.6,0.548,100.1,0.496,0.688,0.482,0.495,0.411,0.365
3,0.467,0.088,16.4,6.6,2.5,2.6,8.3,117.6,0.548,100.1,0.464,0.686,0.421,0.428,0.381,0.364
0,0.467,0.088,16.4,6.6,2.5,2.6,8.3,117.6,0.548,100.1,0.464,0.714,0.454,0.422,0.397,0.349
4,0.467,0.088,16.4,6.6,2.5,2.6,8.3,117.6,0.548,100.1,0.474,0.667,0.418,0.456,0.425,0.378
3,0.467,0.088,16.4,6.6,2.5,2.6,8.3,117.6,0.548,100.1,0.496,0.688,0.482,0.495,0.411,0.365
13,0.467,0.088,16.4,6.6,2.5,2.6,8.3,117.6,0.548,100.1,0.473,0.682,0.45,0.425,0.431,0.37
10,0.467,0.088,16.4,6.6,2.5,2.6,8.3,117.6,0.548,100.1,0.487,0.685,0.467,0.441,0.423,0.373
