final_PTS,TS%,FTr,USG%,PER,avg_PTS,FGA,MP,ORtg,eFG%_2,Pace,Opponent_FG%,Range_0-3_Made,Range_3-10_Made,Range_10-16_Made,Range_16-3P_Made,3P_Made
3,0.575,0.066,16.1,11.7,4.0,3.3,10.1,118.2,0.543,95.2,0.49,0.716,0.477,0.453,0.481,0.37
0,0.575,0.066,16.1,11.7,4.0,3.3,10.1,118.2,0.543,95.2,0.45,0.673,0.404,0.447,0.371,0.354
6,0.575,0.066,16.1,11.7,4.0,3.3,10.1,118.2,0.543,95.2,0.47,0.71,0.398,0.434,0.424,0.372
0,0.575,0.066,16.1,11.7,4.0,3.3,10.1,118.2,0.543,95.2,0.466,0.716,0.507,0.42,0.404,0.359
1,0.575,0.066,16.1,11.7,4.0,3.3,10.1,118.2,0.543,95.2,0.464,0.686,0.421,0.428,0.381,0.364
0,0.575,0.066,16.1,11.7,4.0,3.3,10.1,118.2,0.543,95.2,0.49,0.716,0.477,0.453,0.481,0.37
3,0.575,0.066,16.1,11.7,4.0,3.3,10.1,118.2,0.543,95.2,0.475,0.736,0.421,0.46,0.381,0.368
3,0.575,0.066,16.1,11.7,4.0,3.3,10.1,118.2,0.543,95.2,0.495,0.694,0.46,0.452,0.43,0.384
0,0.575,0.066,16.1,11.7,4.0,3.3,10.1,118.2,0.543,95.2,0.473,0.682,0.45,0.425,0.431,0.37
0,0.575,0.066,16.1,11.7,4.0,3.3,10.1,118.2,0.543,95.2,0.473,0.682,0.45,0.425,0.431,0.37
5,0.575,0.066,16.1,11.7,4.0,3.3,10.1,118.2,0.543,95.2,0.466,0.716,0.507,0.42,0.404,0.359
0,0.575,0.066,16.1,11.7,4.0,3.3,10.1,118.2,0.543,95.2,0.464,0.686,0.421,0.428,0.381,0.364
0,0.575,0.066,16.1,11.7,4.0,3.3,10.1,118.2,0.543,95.2,0.495,0.694,0.46,0.452,0.43,0.384
12,0.575,0.066,16.1,11.7,4.0,3.3,10.1,,,,0.487,0.685,0.467,0.441,0.423,0.373
0,0.575,0.066,16.1,11.7,4.0,3.3,10.1,,,,0.45,0.673,0.404,0.447,0.371,0.354
3,0.575,0.066,16.1,11.7,4.0,3.3,10.1,,,,0.474,0.701,0.464,0.472,0.394,0.358
3,0.575,0.066,16.1,11.7,4.0,3.3,10.1,,,,0.47,0.71,0.398,0.434,0.424,0.372
4,0.575,0.066,16.1,11.7,4.0,3.3,10.1,,,,0.49,0.716,0.477,0.453,0.481,0.37
3,0.575,0.066,16.1,11.7,4.0,3.3,10.1,,,,0.487,0.712,0.478,0.466,0.392,0.395
9,0.575,0.066,16.1,11.7,4.0,3.3,10.1,,,,0.463,0.66,0.426,0.425,0.38,0.371
3,0.575,0.066,16.1,11.7,4.0,3.3,10.1,,,,0.463,0.66,0.426,0.425,0.38,0.371
4,0.575,0.066,16.1,11.7,4.0,3.3,10.1,,,,0.468,0.712,0.406,0.411,0.404,0.354
7,0.575,0.066,16.1,11.7,4.0,3.3,10.1,,,,0.496,0.688,0.482,0.495,0.411,0.365
15,0.575,0.066,16.1,11.7,4.0,3.3,10.1,,,,0.464,0.714,0.454,0.422,0.397,0.349
13,0.575,0.066,16.1,11.7,4.0,3.3,10.1,,,,0.475,0.736,0.421,0.46,0.381,0.368
7,0.575,0.066,16.1,11.7,4.0,3.3,10.1,,,,0.475,0.736,0.421,0.46,0.381,0.368
18,0.575,0.066,16.1,11.7,4.0,3.3,10.1,,,,0.455,0.652,0.437,0.432,0.389,0.361
16,0.575,0.066,16.1,11.7,4.0,3.3,10.1,,,,0.473,0.682,0.45,0.425,0.431,0.37
26,0.575,0.066,16.1,11.7,4.0,3.3,10.1,,,,0.491,0.716,0.471,0.42,0.422,0.376
17,0.575,0.066,16.1,11.7,4.0,3.3,10.1,,,,0.491,0.716,0.471,0.42,0.422,0.376
25,0.575,0.066,16.1,11.7,4.0,3.3,10.1,,,,0.463,0.682,0.478,0.464,0.401,0.348
16,0.575,0.066,16.1,11.7,4.0,3.3,10.1,,,,0.463,0.66,0.426,0.425,0.38,0.371
