final_PTS,TS%,FTr,USG%,PER,avg_PTS,FGA,MP,ORtg,eFG%_2,Pace,Opponent_FG%,Range_0-3_Made,Range_3-10_Made,Range_10-16_Made,Range_16-3P_Made,3P_Made
13,0.674,0.318,13.7,16.9,10.2,6.6,25.5,117.2,0.572,100.1,0.463,0.682,0.478,0.464,0.401,0.348
3,0.674,0.318,13.7,16.9,10.2,6.6,25.5,117.2,0.572,100.1,0.474,0.701,0.464,0.472,0.394,0.358
10,0.674,0.318,13.7,16.9,10.2,6.6,25.5,117.2,0.572,100.1,0.473,0.682,0.45,0.425,0.431,0.37
10,0.674,0.318,13.7,16.9,10.2,6.6,25.5,117.2,0.572,100.1,0.49,0.716,0.477,0.453,0.481,0.37
16,0.674,0.318,13.7,16.9,10.2,6.6,25.5,117.2,0.572,100.1,0.49,0.716,0.477,0.453,0.481,0.37
6,0.674,0.318,13.7,16.9,10.2,6.6,25.5,117.2,0.572,100.1,0.47,0.712,0.435,0.484,0.391,0.356
8,0.674,0.318,13.7,16.9,10.2,6.6,25.5,117.2,0.572,100.1,0.491,0.716,0.471,0.42,0.422,0.376
4,0.674,0.318,13.7,16.9,10.2,6.6,25.5,117.2,0.572,100.1,0.47,0.66,0.442,0.432,0.42,0.365
4,0.674,0.318,13.7,16.9,10.2,6.6,25.5,117.2,0.572,100.1,0.464,0.714,0.454,0.422,0.397,0.349
12,0.674,0.318,13.7,16.9,10.2,6.6,25.5,117.2,0.572,100.1,0.47,0.712,0.435,0.484,0.391,0.356
4,0.674,0.318,13.7,16.9,10.2,6.6,25.5,117.2,0.572,100.1,0.487,0.712,0.478,0.466,0.392,0.395
10,0.674,0.318,13.7,16.9,10.2,6.6,25.5,117.2,0.572,100.1,0.468,0.712,0.406,0.411,0.404,0.354
6,0.674,0.318,13.7,16.9,10.2,6.6,25.5,117.2,0.572,100.1,0.47,0.712,0.435,0.484,0.391,0.356
2,0.674,0.318,13.7,16.9,10.2,6.6,25.5,117.2,0.572,100.1,0.453,0.676,0.438,0.469,0.407,0.352
3,0.674,0.318,13.7,16.9,10.2,6.6,25.5,117.2,0.572,100.1,0.491,0.716,0.471,0.42,0.422,0.376
18,0.674,0.318,13.7,16.9,10.2,6.6,25.5,117.2,0.572,100.1,0.463,0.66,0.426,0.425,0.38,0.371
5,0.674,0.318,13.7,16.9,10.2,6.6,25.5,117.2,0.572,100.1,0.48,0.699,0.485,0.43,0.368,0.387
4,0.674,0.318,13.7,16.9,10.2,6.6,25.5,117.2,0.572,100.1,0.463,0.682,0.478,0.464,0.401,0.348
6,0.674,0.318,13.7,16.9,10.2,6.6,25.5,117.2,0.572,100.1,0.467,0.705,0.493,0.463,0.407,0.353
2,0.674,0.318,13.7,16.9,10.2,6.6,25.5,117.2,0.572,100.1,0.468,0.712,0.406,0.411,0.404,0.354
12,0.674,0.318,13.7,16.9,10.2,6.6,25.5,117.2,0.572,100.1,0.474,0.701,0.464,0.472,0.394,0.358
10,0.674,0.318,13.7,16.9,10.2,6.6,25.5,117.2,0.572,100.1,0.462,0.686,0.416,0.415,0.391,0.355
9,0.674,0.318,13.7,16.9,10.2,6.6,25.5,117.2,0.572,100.1,0.455,0.652,0.437,0.432,0.389,0.361
10,0.674,0.318,13.7,16.9,10.2,6.6,25.5,117.2,0.572,100.1,0.47,0.66,0.442,0.432,0.42,0.365
6,0.674,0.318,13.7,16.9,10.2,6.6,25.5,117.2,0.572,100.1,0.47,0.71,0.398,0.434,0.424,0.372
14,0.674,0.318,13.7,16.9,10.2,6.6,25.5,117.2,0.572,100.1,0.473,0.682,0.45,0.425,0.431,0.37
6,0.674,0.318,13.7,16.9,10.2,6.6,25.5,117.2,0.572,100.1,0.474,0.667,0.418,0.456,0.425,0.378
15,0.674,0.318,13.7,16.9,10.2,6.6,25.5,117.2,0.572,100.1,0.474,0.701,0.464,0.472,0.394,0.358
7,0.674,0.318,13.7,16.9,10.2,6.6,25.5,117.2,0.572,100.1,0.473,0.682,0.45,0.425,0.431,0.37
11,0.674,0.318,13.7,16.9,10.2,6.6,25.5,117.2,0.572,100.1,0.474,0.701,0.464,0.472,0.394,0.358
18,0.674,0.318,13.7,16.9,10.2,6.6,25.5,117.2,0.572,100.1,0.473,0.682,0.45,0.425,0.431,0.37
12,0.674,0.318,13.7,16.9,10.2,6.6,25.5,117.2,0.572,100.1,0.49,0.716,0.477,0.453,0.481,0.37
6,0.674,0.318,13.7,16.9,10.2,6.6,25.5,117.2,0.572,100.1,0.496,0.688,0.482,0.495,0.411,0.365
18,0.674,0.318,13.7,16.9,10.2,6.6,25.5,117.2,0.572,100.1,0.47,0.71,0.398,0.434,0.424,0.372
17,0.674,0.318,13.7,16.9,10.2,6.6,25.5,117.2,0.572,100.1,0.474,0.724,0.444,0.433,0.431,0.376
16,0.674,0.318,13.7,16.9,10.2,6.6,25.5,117.2,0.572,100.1,0.466,0.716,0.507,0.42,0.404,0.359
8,0.674,0.318,13.7,16.9,10.2,6.6,25.5,117.2,0.572,100.1,0.48,0.699,0.485,0.43,0.368,0.387
10,0.674,0.318,13.7,16.9,10.2,6.6,25.5,117.2,0.572,100.1,0.474,0.724,0.444,0.433,0.431,0.376
5,0.674,0.318,13.7,16.9,10.2,6.6,25.5,117.2,0.572,100.1,0.468,0.707,0.449,0.436,0.407,0.363
7,0.674,0.318,13.7,16.9,10.2,6.6,25.5,117.2,0.572,100.1,0.47,0.712,0.435,0.484,0.391,0.356
18,0.674,0.318,13.7,16.9,10.2,6.6,25.5,117.2,0.572,100.1,0.496,0.688,0.482,0.495,0.411,0.365
10,0.674,0.318,13.7,16.9,10.2,6.6,25.5,117.2,0.572,100.1,0.491,0.716,0.471,0.42,0.422,0.376
8,0.674,0.318,13.7,16.9,10.2,6.6,25.5,117.2,0.572,100.1,0.467,0.705,0.493,0.463,0.407,0.353
11,0.674,0.318,13.7,16.9,10.2,6.6,25.5,117.2,0.572,100.1,0.475,0.736,0.421,0.46,0.381,0.368
14,0.674,0.318,13.7,16.9,10.2,6.6,25.5,117.2,0.572,100.1,0.47,0.66,0.442,0.432,0.42,0.365
3,0.674,0.318,13.7,16.9,10.2,6.6,25.5,117.2,0.572,100.1,0.473,0.682,0.45,0.425,0.431,0.37
