final_PTS,TS%,FTr,USG%,PER,avg_PTS,FGA,MP,ORtg,eFG%_2,Pace,Opponent_FG%,Range_0-3_Made,Range_3-10_Made,Range_10-16_Made,Range_16-3P_Made,3P_Made
8,0.661,0.362,17.5,17.4,9.8,6.4,22.6,115.5,0.567,99.5,0.462,0.686,0.416,0.415,0.391,0.355
8,0.661,0.362,17.5,17.4,8.1,5.2,20.4,115.5,0.567,99.5,0.462,0.686,0.416,0.415,0.391,0.355
8,0.661,0.362,17.5,17.4,12.7,8.5,26.4,115.5,0.567,99.5,0.462,0.686,0.416,0.415,0.391,0.355
8,0.677,0.368,15.6,17.3,9.8,6.4,22.6,115.5,0.567,99.5,0.462,0.686,0.416,0.415,0.391,0.355
8,0.677,0.368,15.6,17.3,8.1,5.2,20.4,115.5,0.567,99.5,0.462,0.686,0.416,0.415,0.391,0.355
8,0.677,0.368,15.6,17.3,12.7,8.5,26.4,115.5,0.567,99.5,0.462,0.686,0.416,0.415,0.391,0.355
8,0.644,0.356,20.0,17.4,9.8,6.4,22.6,115.5,0.567,99.5,0.462,0.686,0.416,0.415,0.391,0.355
8,0.644,0.356,20.0,17.4,8.1,5.2,20.4,115.5,0.567,99.5,0.462,0.686,0.416,0.415,0.391,0.355
8,0.644,0.356,20.0,17.4,12.7,8.5,26.4,115.5,0.567,99.5,0.462,0.686,0.416,0.415,0.391,0.355
21,0.661,0.362,17.5,17.4,9.8,6.4,22.6,115.5,0.567,99.5,0.45,0.673,0.404,0.447,0.371,0.354
21,0.661,0.362,17.5,17.4,8.1,5.2,20.4,115.5,0.567,99.5,0.45,0.673,0.404,0.447,0.371,0.354
21,0.661,0.362,17.5,17.4,12.7,8.5,26.4,115.5,0.567,99.5,0.45,0.673,0.404,0.447,0.371,0.354
21,0.677,0.368,15.6,17.3,9.8,6.4,22.6,115.5,0.567,99.5,0.45,0.673,0.404,0.447,0.371,0.354
21,0.677,0.368,15.6,17.3,8.1,5.2,20.4,115.5,0.567,99.5,0.45,0.673,0.404,0.447,0.371,0.354
21,0.677,0.368,15.6,17.3,12.7,8.5,26.4,115.5,0.567,99.5,0.45,0.673,0.404,0.447,0.371,0.354
21,0.644,0.356,20.0,17.4,9.8,6.4,22.6,115.5,0.567,99.5,0.45,0.673,0.404,0.447,0.371,0.354
21,0.644,0.356,20.0,17.4,8.1,5.2,20.4,115.5,0.567,99.5,0.45,0.673,0.404,0.447,0.371,0.354
21,0.644,0.356,20.0,17.4,12.7,8.5,26.4,115.5,0.567,99.5,0.45,0.673,0.404,0.447,0.371,0.354
