final_PTS,TS%,FTr,USG%,PER,avg_PTS,FGA,MP,ORtg,eFG%_2,Pace,Opponent_FG%,Range_0-3_Made,Range_3-10_Made,Range_10-16_Made,Range_16-3P_Made,3P_Made
10,0.548,0.065,13.9,11.1,7.7,6.8,24.7,,,,0.464,0.714,0.454,0.422,0.397,0.349
10,0.548,0.065,13.9,11.1,7.4,6.6,24.5,,,,0.464,0.714,0.454,0.422,0.397,0.349
10,0.548,0.065,13.9,11.1,8.1,7.1,25.1,,,,0.464,0.714,0.454,0.422,0.397,0.349
10,0.544,0.068,13.9,10.4,7.7,6.8,24.7,,,,0.464,0.714,0.454,0.422,0.397,0.349
10,0.544,0.068,13.9,10.4,7.4,6.6,24.5,,,,0.464,0.714,0.454,0.422,0.397,0.349
10,0.544,0.068,13.9,10.4,8.1,7.1,25.1,,,,0.464,0.714,0.454,0.422,0.397,0.349
10,0.555,0.061,13.9,12.3,7.7,6.8,24.7,,,,0.464,0.714,0.454,0.422,0.397,0.349
10,0.555,0.061,13.9,12.3,7.4,6.6,24.5,,,,0.464,0.714,0.454,0.422,0.397,0.349
10,0.555,0.061,13.9,12.3,8.1,7.1,25.1,,,,0.464,0.714,0.454,0.422,0.397,0.349
7,0.548,0.065,13.9,11.1,7.7,6.8,24.7,,,,0.491,0.716,0.471,0.42,0.422,0.376
7,0.548,0.065,13.9,11.1,7.4,6.6,24.5,,,,0.491,0.716,0.471,0.42,0.422,0.376
7,0.548,0.065,13.9,11.1,8.1,7.1,25.1,,,,0.491,0.716,0.471,0.42,0.422,0.376
7,0.544,0.068,13.9,10.4,7.7,6.8,24.7,,,,0.491,0.716,0.471,0.42,0.422,0.376
7,0.544,0.068,13.9,10.4,7.4,6.6,24.5,,,,0.491,0.716,0.471,0.42,0.422,0.376
7,0.544,0.068,13.9,10.4,8.1,7.1,25.1,,,,0.491,0.716,0.471,0.42,0.422,0.376
7,0.555,0.061,13.9,12.3,7.7,6.8,24.7,,,,0.491,0.716,0.471,0.42,0.422,0.376
7,0.555,0.061,13.9,12.3,7.4,6.6,24.5,,,,0.491,0.716,0.471,0.42,0.422,0.376
7,0.555,0.061,13.9,12.3,8.1,7.1,25.1,,,,0.491,0.716,0.471,0.42,0.422,0.376
8,0.548,0.065,13.9,11.1,7.7,6.8,24.7,,,,0.474,0.667,0.418,0.456,0.425,0.378
8,0.548,0.065,13.9,11.1,7.4,6.6,24.5,,,,0.474,0.667,0.418,0.456,0.425,0.378
8,0.548,0.065,13.9,11.1,8.1,7.1,25.1,,,,0.474,0.667,0.418,0.456,0.425,0.378
8,0.544,0.068,13.9,10.4,7.7,6.8,24.7,,,,0.474,0.667,0.418,0.456,0.425,0.378
8,0.544,0.068,13.9,10.4,7.4,6.6,24.5,,,,0.474,0.667,0.418,0.456,0.425,0.378
8,0.544,0.068,13.9,10.4,8.1,7.1,25.1,,,,0.474,0.667,0.418,0.456,0.425,0.378
8,0.555,0.061,13.9,12.3,7.7,6.8,24.7,,,,0.474,0.667,0.418,0.456,0.425,0.378
8,0.555,0.061,13.9,12.3,7.4,6.6,24.5,,,,0.474,0.667,0.418,0.456,0.425,0.378
8,0.555,0.061,13.9,12.3,8.1,7.1,25.1,,,,0.474,0.667,0.418,0.456,0.425,0.378
12,0.548,0.065,13.9,11.1,7.7,6.8,24.7,,,,0.47,0.712,0.435,0.484,0.391,0.356
12,0.548,0.065,13.9,11.1,7.4,6.6,24.5,,,,0.47,0.712,0.435,0.484,0.391,0.356
12,0.548,0.065,13.9,11.1,8.1,7.1,25.1,,,,0.47,0.712,0.435,0.484,0.391,0.356
12,0.544,0.068,13.9,10.4,7.7,6.8,24.7,,,,0.47,0.712,0.435,0.484,0.391,0.356
12,0.544,0.068,13.9,10.4,7.4,6.6,24.5,,,,0.47,0.712,0.435,0.484,0.391,0.356
12,0.544,0.068,13.9,10.4,8.1,7.1,25.1,,,,0.47,0.712,0.435,0.484,0.391,0.356
12,0.555,0.061,13.9,12.3,7.7,6.8,24.7,,,,0.47,0.712,0.435,0.484,0.391,0.356
12,0.555,0.061,13.9,12.3,7.4,6.6,24.5,,,,0.47,0.712,0.435,0.484,0.391,0.356
12,0.555,0.061,13.9,12.3,8.1,7.1,25.1,,,,0.47,0.712,0.435,0.484,0.391,0.356
10,0.548,0.065,13.9,11.1,7.7,6.8,24.7,,,,0.475,0.736,0.421,0.46,0.381,0.368
10,0.548,0.065,13.9,11.1,7.4,6.6,24.5,,,,0.475,0.736,0.421,0.46,0.381,0.368
10,0.548,0.065,13.9,11.1,8.1,7.1,25.1,,,,0.475,0.736,0.421,0.46,0.381,0.368
10,0.544,0.068,13.9,10.4,7.7,6.8,24.7,,,,0.475,0.736,0.421,0.46,0.381,0.368
10,0.544,0.068,13.9,10.4,7.4,6.6,24.5,,,,0.475,0.736,0.421,0.46,0.381,0.368
10,0.544,0.068,13.9,10.4,8.1,7.1,25.1,,,,0.475,0.736,0.421,0.46,0.381,0.368
10,0.555,0.061,13.9,12.3,7.7,6.8,24.7,,,,0.475,0.736,0.421,0.46,0.381,0.368
10,0.555,0.061,13.9,12.3,7.4,6.6,24.5,,,,0.475,0.736,0.421,0.46,0.381,0.368
10,0.555,0.061,13.9,12.3,8.1,7.1,25.1,,,,0.475,0.736,0.421,0.46,0.381,0.368
11,0.548,0.065,13.9,11.1,7.7,6.8,24.7,,,,0.496,0.688,0.482,0.495,0.411,0.365
11,0.548,0.065,13.9,11.1,7.4,6.6,24.5,,,,0.496,0.688,0.482,0.495,0.411,0.365
11,0.548,0.065,13.9,11.1,8.1,7.1,25.1,,,,0.496,0.688,0.482,0.495,0.411,0.365
11,0.544,0.068,13.9,10.4,7.7,6.8,24.7,,,,0.496,0.688,0.482,0.495,0.411,0.365
11,0.544,0.068,13.9,10.4,7.4,6.6,24.5,,,,0.496,0.688,0.482,0.495,0.411,0.365
11,0.544,0.068,13.9,10.4,8.1,7.1,25.1,,,,0.496,0.688,0.482,0.495,0.411,0.365
11,0.555,0.061,13.9,12.3,7.7,6.8,24.7,,,,0.496,0.688,0.482,0.495,0.411,0.365
11,0.555,0.061,13.9,12.3,7.4,6.6,24.5,,,,0.496,0.688,0.482,0.495,0.411,0.365
11,0.555,0.061,13.9,12.3,8.1,7.1,25.1,,,,0.496,0.688,0.482,0.495,0.411,0.365
8,0.548,0.065,13.9,11.1,7.7,6.8,24.7,,,,0.496,0.688,0.482,0.495,0.411,0.365
8,0.548,0.065,13.9,11.1,7.4,6.6,24.5,,,,0.496,0.688,0.482,0.495,0.411,0.365
8,0.548,0.065,13.9,11.1,8.1,7.1,25.1,,,,0.496,0.688,0.482,0.495,0.411,0.365
8,0.544,0.068,13.9,10.4,7.7,6.8,24.7,,,,0.496,0.688,0.482,0.495,0.411,0.365
8,0.544,0.068,13.9,10.4,7.4,6.6,24.5,,,,0.496,0.688,0.482,0.495,0.411,0.365
8,0.544,0.068,13.9,10.4,8.1,7.1,25.1,,,,0.496,0.688,0.482,0.495,0.411,0.365
8,0.555,0.061,13.9,12.3,7.7,6.8,24.7,,,,0.496,0.688,0.482,0.495,0.411,0.365
8,0.555,0.061,13.9,12.3,7.4,6.6,24.5,,,,0.496,0.688,0.482,0.495,0.411,0.365
8,0.555,0.061,13.9,12.3,8.1,7.1,25.1,,,,0.496,0.688,0.482,0.495,0.411,0.365
20,0.548,0.065,13.9,11.1,7.7,6.8,24.7,,,,0.473,0.682,0.45,0.425,0.431,0.37
20,0.548,0.065,13.9,11.1,7.4,6.6,24.5,,,,0.473,0.682,0.45,0.425,0.431,0.37
20,0.548,0.065,13.9,11.1,8.1,7.1,25.1,,,,0.473,0.682,0.45,0.425,0.431,0.37
20,0.544,0.068,13.9,10.4,7.7,6.8,24.7,,,,0.473,0.682,0.45,0.425,0.431,0.37
20,0.544,0.068,13.9,10.4,7.4,6.6,24.5,,,,0.473,0.682,0.45,0.425,0.431,0.37
20,0.544,0.068,13.9,10.4,8.1,7.1,25.1,,,,0.473,0.682,0.45,0.425,0.431,0.37
20,0.555,0.061,13.9,12.3,7.7,6.8,24.7,,,,0.473,0.682,0.45,0.425,0.431,0.37
20,0.555,0.061,13.9,12.3,7.4,6.6,24.5,,,,0.473,0.682,0.45,0.425,0.431,0.37
20,0.555,0.061,13.9,12.3,8.1,7.1,25.1,,,,0.473,0.682,0.45,0.425,0.431,0.37
13,0.548,0.065,13.9,11.1,7.7,6.8,24.7,,,,0.496,0.753,0.452,0.464,0.454,0.362
13,0.548,0.065,13.9,11.1,7.4,6.6,24.5,,,,0.496,0.753,0.452,0.464,0.454,0.362
13,0.548,0.065,13.9,11.1,8.1,7.1,25.1,,,,0.496,0.753,0.452,0.464,0.454,0.362
13,0.544,0.068,13.9,10.4,7.7,6.8,24.7,,,,0.496,0.753,0.452,0.464,0.454,0.362
13,0.544,0.068,13.9,10.4,7.4,6.6,24.5,,,,0.496,0.753,0.452,0.464,0.454,0.362
13,0.544,0.068,13.9,10.4,8.1,7.1,25.1,,,,0.496,0.753,0.452,0.464,0.454,0.362
13,0.555,0.061,13.9,12.3,7.7,6.8,24.7,,,,0.496,0.753,0.452,0.464,0.454,0.362
13,0.555,0.061,13.9,12.3,7.4,6.6,24.5,,,,0.496,0.753,0.452,0.464,0.454,0.362
13,0.555,0.061,13.9,12.3,8.1,7.1,25.1,,,,0.496,0.753,0.452,0.464,0.454,0.362
6,0.548,0.065,13.9,11.1,7.7,6.8,24.7,,,,0.473,0.682,0.45,0.425,0.431,0.37
6,0.548,0.065,13.9,11.1,7.4,6.6,24.5,,,,0.473,0.682,0.45,0.425,0.431,0.37
6,0.548,0.065,13.9,11.1,8.1,7.1,25.1,,,,0.473,0.682,0.45,0.425,0.431,0.37
6,0.544,0.068,13.9,10.4,7.7,6.8,24.7,,,,0.473,0.682,0.45,0.425,0.431,0.37
6,0.544,0.068,13.9,10.4,7.4,6.6,24.5,,,,0.473,0.682,0.45,0.425,0.431,0.37
6,0.544,0.068,13.9,10.4,8.1,7.1,25.1,,,,0.473,0.682,0.45,0.425,0.431,0.37
6,0.555,0.061,13.9,12.3,7.7,6.8,24.7,,,,0.473,0.682,0.45,0.425,0.431,0.37
6,0.555,0.061,13.9,12.3,7.4,6.6,24.5,,,,0.473,0.682,0.45,0.425,0.431,0.37
6,0.555,0.061,13.9,12.3,8.1,7.1,25.1,,,,0.473,0.682,0.45,0.425,0.431,0.37
15,0.548,0.065,13.9,11.1,7.7,6.8,24.7,,,,0.475,0.736,0.421,0.46,0.381,0.368
15,0.548,0.065,13.9,11.1,7.4,6.6,24.5,,,,0.475,0.736,0.421,0.46,0.381,0.368
15,0.548,0.065,13.9,11.1,8.1,7.1,25.1,,,,0.475,0.736,0.421,0.46,0.381,0.368
15,0.544,0.068,13.9,10.4,7.7,6.8,24.7,,,,0.475,0.736,0.421,0.46,0.381,0.368
15,0.544,0.068,13.9,10.4,7.4,6.6,24.5,,,,0.475,0.736,0.421,0.46,0.381,0.368
15,0.544,0.068,13.9,10.4,8.1,7.1,25.1,,,,0.475,0.736,0.421,0.46,0.381,0.368
15,0.555,0.061,13.9,12.3,7.7,6.8,24.7,,,,0.475,0.736,0.421,0.46,0.381,0.368
15,0.555,0.061,13.9,12.3,7.4,6.6,24.5,,,,0.475,0.736,0.421,0.46,0.381,0.368
15,0.555,0.061,13.9,12.3,8.1,7.1,25.1,,,,0.475,0.736,0.421,0.46,0.381,0.368
6,0.548,0.065,13.9,11.1,7.7,6.8,24.7,,,,0.47,0.66,0.442,0.432,0.42,0.365
6,0.548,0.065,13.9,11.1,7.4,6.6,24.5,,,,0.47,0.66,0.442,0.432,0.42,0.365
6,0.548,0.065,13.9,11.1,8.1,7.1,25.1,,,,0.47,0.66,0.442,0.432,0.42,0.365
6,0.544,0.068,13.9,10.4,7.7,6.8,24.7,,,,0.47,0.66,0.442,0.432,0.42,0.365
6,0.544,0.068,13.9,10.4,7.4,6.6,24.5,,,,0.47,0.66,0.442,0.432,0.42,0.365
6,0.544,0.068,13.9,10.4,8.1,7.1,25.1,,,,0.47,0.66,0.442,0.432,0.42,0.365
6,0.555,0.061,13.9,12.3,7.7,6.8,24.7,,,,0.47,0.66,0.442,0.432,0.42,0.365
6,0.555,0.061,13.9,12.3,7.4,6.6,24.5,,,,0.47,0.66,0.442,0.432,0.42,0.365
6,0.555,0.061,13.9,12.3,8.1,7.1,25.1,,,,0.47,0.66,0.442,0.432,0.42,0.365
12,0.548,0.065,13.9,11.1,7.7,6.8,24.7,,,,0.468,0.707,0.449,0.436,0.407,0.363
12,0.548,0.065,13.9,11.1,7.4,6.6,24.5,,,,0.468,0.707,0.449,0.436,0.407,0.363
12,0.548,0.065,13.9,11.1,8.1,7.1,25.1,,,,0.468,0.707,0.449,0.436,0.407,0.363
12,0.544,0.068,13.9,10.4,7.7,6.8,24.7,,,,0.468,0.707,0.449,0.436,0.407,0.363
12,0.544,0.068,13.9,10.4,7.4,6.6,24.5,,,,0.468,0.707,0.449,0.436,0.407,0.363
12,0.544,0.068,13.9,10.4,8.1,7.1,25.1,,,,0.468,0.707,0.449,0.436,0.407,0.363
12,0.555,0.061,13.9,12.3,7.7,6.8,24.7,,,,0.468,0.707,0.449,0.436,0.407,0.363
12,0.555,0.061,13.9,12.3,7.4,6.6,24.5,,,,0.468,0.707,0.449,0.436,0.407,0.363
12,0.555,0.061,13.9,12.3,8.1,7.1,25.1,,,,0.468,0.707,0.449,0.436,0.407,0.363
6,0.548,0.065,13.9,11.1,7.7,6.8,24.7,,,,0.474,0.724,0.444,0.433,0.431,0.376
