final_PTS,TS%,FTr,USG%,PER,avg_PTS,FGA,MP,ORtg,eFG%_2,Pace,Opponent_FG%,Range_0-3_Made,Range_3-10_Made,Range_10-16_Made,Range_16-3P_Made,3P_Made
7,0.566,0.139,19.1,12.8,7.4,6.2,16.7,,,,0.475,0.736,0.421,0.46,0.381,0.368
7,0.566,0.139,19.1,12.8,6.2,4.7,14.9,,,,0.475,0.736,0.421,0.46,0.381,0.368
7,0.566,0.139,19.1,12.8,9.3,8.4,19.4,,,,0.475,0.736,0.421,0.46,0.381,0.368
7,0.603,0.198,16.7,12.6,7.4,6.2,16.7,,,,0.475,0.736,0.421,0.46,0.381,0.368
7,0.603,0.198,16.7,12.6,6.2,4.7,14.9,,,,0.475,0.736,0.421,0.46,0.381,0.368
7,0.603,0.198,16.7,12.6,9.3,8.4,19.4,,,,0.475,0.736,0.421,0.46,0.381,0.368
7,0.533,0.089,21.8,13.0,7.4,6.2,16.7,,,,0.475,0.736,0.421,0.46,0.381,0.368
7,0.533,0.089,21.8,13.0,6.2,4.7,14.9,,,,0.475,0.736,0.421,0.46,0.381,0.368
7,0.533,0.089,21.8,13.0,9.3,8.4,19.4,,,,0.475,0.736,0.421,0.46,0.381,0.368
5,0.566,0.139,19.1,12.8,7.4,6.2,16.7,,,,0.491,0.732,0.489,0.458,0.406,0.351
5,0.566,0.139,19.1,12.8,6.2,4.7,14.9,,,,0.491,0.732,0.489,0.458,0.406,0.351
5,0.566,0.139,19.1,12.8,9.3,8.4,19.4,,,,0.491,0.732,0.489,0.458,0.406,0.351
5,0.603,0.198,16.7,12.6,7.4,6.2,16.7,,,,0.491,0.732,0.489,0.458,0.406,0.351
5,0.603,0.198,16.7,12.6,6.2,4.7,14.9,,,,0.491,0.732,0.489,0.458,0.406,0.351
5,0.603,0.198,16.7,12.6,9.3,8.4,19.4,,,,0.491,0.732,0.489,0.458,0.406,0.351
5,0.533,0.089,21.8,13.0,7.4,6.2,16.7,,,,0.491,0.732,0.489,0.458,0.406,0.351
5,0.533,0.089,21.8,13.0,6.2,4.7,14.9,,,,0.491,0.732,0.489,0.458,0.406,0.351
5,0.533,0.089,21.8,13.0,9.3,8.4,19.4,,,,0.491,0.732,0.489,0.458,0.406,0.351
10,0.566,0.139,19.1,12.8,7.4,6.2,16.7,,,,0.468,0.707,0.449,0.436,0.407,0.363
10,0.566,0.139,19.1,12.8,6.2,4.7,14.9,,,,0.468,0.707,0.449,0.436,0.407,0.363
10,0.566,0.139,19.1,12.8,9.3,8.4,19.4,,,,0.468,0.707,0.449,0.436,0.407,0.363
10,0.603,0.198,16.7,12.6,7.4,6.2,16.7,,,,0.468,0.707,0.449,0.436,0.407,0.363
10,0.603,0.198,16.7,12.6,6.2,4.7,14.9,,,,0.468,0.707,0.449,0.436,0.407,0.363
10,0.603,0.198,16.7,12.6,9.3,8.4,19.4,,,,0.468,0.707,0.449,0.436,0.407,0.363
10,0.533,0.089,21.8,13.0,7.4,6.2,16.7,,,,0.468,0.707,0.449,0.436,0.407,0.363
10,0.533,0.089,21.8,13.0,6.2,4.7,14.9,,,,0.468,0.707,0.449,0.436,0.407,0.363
10,0.533,0.089,21.8,13.0,9.3,8.4,19.4,,,,0.468,0.707,0.449,0.436,0.407,0.363
8,0.566,0.139,19.1,12.8,7.4,6.2,16.7,,,,0.466,0.716,0.507,0.42,0.404,0.359
8,0.566,0.139,19.1,12.8,6.2,4.7,14.9,,,,0.466,0.716,0.507,0.42,0.404,0.359
8,0.566,0.139,19.1,12.8,9.3,8.4,19.4,,,,0.466,0.716,0.507,0.42,0.404,0.359
8,0.603,0.198,16.7,12.6,7.4,6.2,16.7,,,,0.466,0.716,0.507,0.42,0.404,0.359
8,0.603,0.198,16.7,12.6,6.2,4.7,14.9,,,,0.466,0.716,0.507,0.42,0.404,0.359
8,0.603,0.198,16.7,12.6,9.3,8.4,19.4,,,,0.466,0.716,0.507,0.42,0.404,0.359
8,0.533,0.089,21.8,13.0,7.4,6.2,16.7,,,,0.466,0.716,0.507,0.42,0.404,0.359
8,0.533,0.089,21.8,13.0,6.2,4.7,14.9,,,,0.466,0.716,0.507,0.42,0.404,0.359
8,0.533,0.089,21.8,13.0,9.3,8.4,19.4,,,,0.466,0.716,0.507,0.42,0.404,0.359
12,0.566,0.139,19.1,12.8,7.4,6.2,16.7,,,,0.464,0.714,0.454,0.422,0.397,0.349
12,0.566,0.139,19.1,12.8,6.2,4.7,14.9,,,,0.464,0.714,0.454,0.422,0.397,0.349
12,0.566,0.139,19.1,12.8,9.3,8.4,19.4,,,,0.464,0.714,0.454,0.422,0.397,0.349
12,0.603,0.198,16.7,12.6,7.4,6.2,16.7,,,,0.464,0.714,0.454,0.422,0.397,0.349
12,0.603,0.198,16.7,12.6,6.2,4.7,14.9,,,,0.464,0.714,0.454,0.422,0.397,0.349
12,0.603,0.198,16.7,12.6,9.3,8.4,19.4,,,,0.464,0.714,0.454,0.422,0.397,0.349
12,0.533,0.089,21.8,13.0,7.4,6.2,16.7,,,,0.464,0.714,0.454,0.422,0.397,0.349
12,0.533,0.089,21.8,13.0,6.2,4.7,14.9,,,,0.464,0.714,0.454,0.422,0.397,0.349
12,0.533,0.089,21.8,13.0,9.3,8.4,19.4,,,,0.464,0.714,0.454,0.422,0.397,0.349
12,0.566,0.139,19.1,12.8,7.4,6.2,16.7,,,,0.463,0.682,0.478,0.464,0.401,0.348
12,0.566,0.139,19.1,12.8,6.2,4.7,14.9,,,,0.463,0.682,0.478,0.464,0.401,0.348
