final_PTS,TS%,FTr,USG%,PER,avg_PTS,FGA,MP,ORtg,eFG%_2,Pace,Opponent_FG%,Range_0-3_Made,Range_3-10_Made,Range_10-16_Made,Range_16-3P_Made,3P_Made
11,0.525,0.339,17.2,12.7,5.2,4.3,14.5,119.5,0.53,99.8,0.45,0.673,0.404,0.447,0.371,0.354
11,0.525,0.339,17.2,12.7,1.2,1.6,6.0,119.5,0.53,99.8,0.45,0.673,0.404,0.447,0.371,0.354
11,0.525,0.339,17.2,12.7,7.4,5.8,19.2,119.5,0.53,99.8,0.45,0.673,0.404,0.447,0.371,0.354
11,0.338,0.25,15.0,2.5,5.2,4.3,14.5,119.5,0.53,99.8,0.45,0.673,0.404,0.447,0.371,0.354
11,0.338,0.25,15.0,2.5,1.2,1.6,6.0,119.5,0.53,99.8,0.45,0.673,0.404,0.447,0.371,0.354
11,0.338,0.25,15.0,2.5,7.4,5.8,19.2,119.5,0.53,99.8,0.45,0.673,0.404,0.447,0.371,0.354
11,0.552,0.352,17.6,14.5,5.2,4.3,14.5,119.5,0.53,99.8,0.45,0.673,0.404,0.447,0.371,0.354
11,0.552,0.352,17.6,14.5,1.2,1.6,6.0,119.5,0.53,99.8,0.45,0.673,0.404,0.447,0.371,0.354
11,0.552,0.352,17.6,14.5,7.4,5.8,19.2,119.5,0.53,99.8,0.45,0.673,0.404,0.447,0.371,0.354
0,0.525,0.339,17.2,12.7,5.2,4.3,14.5,119.5,0.53,99.8,0.462,0.686,0.416,0.415,0.391,0.355
0,0.525,0.339,17.2,12.7,1.2,1.6,6.0,119.5,0.53,99.8,0.462,0.686,0.416,0.415,0.391,0.355
0,0.525,0.339,17.2,12.7,7.4,5.8,19.2,119.5,0.53,99.8,0.462,0.686,0.416,0.415,0.391,0.355
0,0.338,0.25,15.0,2.5,5.2,4.3,14.5,119.5,0.53,99.8,0.462,0.686,0.416,0.415,0.391,0.355
