final_PTS,TS%,FTr,USG%,PER,avg_PTS,FGA,MP,ORtg,eFG%_2,Pace,Opponent_FG%,Range_0-3_Made,Range_3-10_Made,Range_10-16_Made,Range_16-3P_Made,3P_Made
11,0.581,0.135,22.9,17.5,13.8,11.2,24.5,118.4,0.539,99.9,0.468,0.712,0.406,0.411,0.404,0.354
13,0.581,0.135,22.9,17.5,13.8,11.2,24.5,118.4,0.539,99.9,0.463,0.682,0.478,0.464,0.401,0.348
20,0.581,0.135,22.9,17.5,13.8,11.2,24.5,118.4,0.539,99.9,0.47,0.71,0.398,0.434,0.424,0.372
12,0.581,0.135,22.9,17.5,13.8,11.2,24.5,118.4,0.539,99.9,0.47,0.66,0.442,0.432,0.42,0.365
9,0.581,0.135,22.9,17.5,13.8,11.2,24.5,118.4,0.539,99.9,0.495,0.694,0.46,0.452,0.43,0.384
15,0.581,0.135,22.9,17.5,13.8,11.2,24.5,118.4,0.539,99.9,0.49,0.716,0.477,0.453,0.481,0.37
10,0.581,0.135,22.9,17.5,13.8,11.2,24.5,118.4,0.539,99.9,0.49,0.716,0.477,0.453,0.481,0.37
18,0.581,0.135,22.9,17.5,13.8,11.2,24.5,118.4,0.539,99.9,0.45,0.673,0.404,0.447,0.371,0.354
12,0.581,0.135,22.9,17.5,13.8,11.2,24.5,118.4,0.539,99.9,0.455,0.652,0.437,0.432,0.389,0.361
11,0.581,0.135,22.9,17.5,13.8,11.2,24.5,118.4,0.539,99.9,0.495,0.694,0.46,0.452,0.43,0.384
13,0.581,0.135,22.9,17.5,13.8,11.2,24.5,118.4,0.539,99.9,0.455,0.652,0.437,0.432,0.389,0.361
16,0.581,0.135,22.9,17.5,13.8,11.2,24.5,118.4,0.539,99.9,0.487,0.685,0.467,0.441,0.423,0.373
14,0.581,0.135,22.9,17.5,13.8,11.2,24.5,118.4,0.539,99.9,0.495,0.694,0.46,0.452,0.43,0.384
10,0.581,0.135,22.9,17.5,13.8,11.2,24.5,118.4,0.539,99.9,0.463,0.66,0.426,0.425,0.38,0.371
21,0.581,0.135,22.9,17.5,13.8,11.2,24.5,118.4,0.539,99.9,0.468,0.712,0.406,0.411,0.404,0.354
13,0.581,0.135,22.9,17.5,13.8,11.2,24.5,118.4,0.539,99.9,0.491,0.732,0.489,0.458,0.406,0.351
9,0.581,0.135,22.9,17.5,13.8,11.2,24.5,118.4,0.539,99.9,0.473,0.682,0.45,0.425,0.431,0.37
14,0.581,0.135,22.9,17.5,13.8,11.2,24.5,118.4,0.539,99.9,0.463,0.66,0.426,0.425,0.38,0.371
15,0.581,0.135,22.9,17.5,13.8,11.2,24.5,118.4,0.539,99.9,0.475,0.736,0.421,0.46,0.381,0.368
10,0.581,0.135,22.9,17.5,13.8,11.2,24.5,118.4,0.539,99.9,0.47,0.66,0.442,0.432,0.42,0.365
15,0.581,0.135,22.9,17.5,13.8,11.2,24.5,118.4,0.539,99.9,0.474,0.724,0.444,0.433,0.431,0.376
20,0.581,0.135,22.9,17.5,13.8,11.2,24.5,118.4,0.539,99.9,0.473,0.682,0.45,0.425,0.431,0.37
18,0.581,0.135,22.9,17.5,13.8,11.2,24.5,118.4,0.539,99.9,0.474,0.701,0.464,0.472,0.394,0.358
7,0.581,0.135,22.9,17.5,13.8,11.2,24.5,118.4,0.539,99.9,0.48,0.699,0.485,0.43,0.368,0.387
10,0.581,0.135,22.9,17.5,13.8,11.2,24.5,118.4,0.539,99.9,0.475,0.736,0.421,0.46,0.381,0.368
17,0.581,0.135,22.9,17.5,13.8,11.2,24.5,118.4,0.539,99.9,0.463,0.682,0.478,0.464,0.401,0.348
25,0.581,0.135,22.9,17.5,13.8,11.2,24.5,118.4,0.539,99.9,0.466,0.716,0.507,0.42,0.404,0.359
19,0.581,0.135,22.9,17.5,13.8,11.2,24.5,118.4,0.539,99.9,0.474,0.667,0.418,0.456,0.425,0.378
22,0.581,0.135,22.9,17.5,13.8,11.2,24.5,118.4,0.539,99.9,0.487,0.712,0.478,0.466,0.392,0.395
4,0.581,0.135,22.9,17.5,13.8,11.2,24.5,118.4,0.539,99.9,0.464,0.714,0.454,0.422,0.397,0.349
6,0.581,0.135,22.9,17.5,13.8,11.2,24.5,118.4,0.539,99.9,0.463,0.66,0.426,0.425,0.38,0.371
10,0.581,0.135,22.9,17.5,13.8,11.2,24.5,118.4,0.539,99.9,0.47,0.71,0.398,0.434,0.424,0.372
4,0.581,0.135,22.9,17.5,13.8,11.2,24.5,118.4,0.539,99.9,0.453,0.676,0.438,0.469,0.407,0.352
20,0.581,0.135,22.9,17.5,13.8,11.2,24.5,118.4,0.539,99.9,0.473,0.682,0.45,0.425,0.431,0.37
22,0.581,0.135,22.9,17.5,13.8,11.2,24.5,118.4,0.539,99.9,0.45,0.673,0.404,0.447,0.371,0.354
19,0.581,0.135,22.9,17.5,13.8,11.2,24.5,118.4,0.539,99.9,0.496,0.753,0.452,0.464,0.454,0.362
17,0.581,0.135,22.9,17.5,13.8,11.2,24.5,118.4,0.539,99.9,0.496,0.753,0.452,0.464,0.454,0.362
14,0.581,0.135,22.9,17.5,13.8,11.2,24.5,118.4,0.539,99.9,0.491,0.716,0.471,0.42,0.422,0.376
19,0.581,0.135,22.9,17.5,13.8,11.2,24.5,118.4,0.539,99.9,0.473,0.682,0.45,0.425,0.431,0.37
10,0.581,0.135,22.9,17.5,13.8,11.2,24.5,118.4,0.539,99.9,0.47,0.66,0.442,0.432,0.42,0.365
13,0.581,0.135,22.9,17.5,13.8,11.2,24.5,118.4,0.539,99.9,0.495,0.694,0.46,0.452,0.43,0.384
12,0.581,0.135,22.9,17.5,13.8,11.2,24.5,118.4,0.539,99.9,0.467,0.705,0.493,0.463,0.407,0.353
15,0.581,0.135,22.9,17.5,13.8,11.2,24.5,118.4,0.539,99.9,0.467,0.705,0.493,0.463,0.407,0.353
21,0.581,0.135,22.9,17.5,13.8,11.2,24.5,118.4,0.539,99.9,0.496,0.688,0.482,0.495,0.411,0.365
12,0.581,0.135,22.9,17.5,13.8,11.2,24.5,118.4,0.539,99.9,0.491,0.716,0.471,0.42,0.422,0.376
23,0.581,0.135,22.9,17.5,13.8,11.2,24.5,118.4,0.539,99.9,0.463,0.66,0.426,0.425,0.38,0.371
18,0.581,0.135,22.9,17.5,13.8,11.2,24.5,118.4,0.539,99.9,0.49,0.716,0.477,0.453,0.481,0.37
18,0.581,0.135,22.9,17.5,13.8,11.2,24.5,118.4,0.539,99.9,0.467,0.705,0.493,0.463,0.407,0.353
10,0.581,0.135,22.9,17.5,13.8,11.2,24.5,118.4,0.539,99.9,0.464,0.686,0.421,0.428,0.381,0.364
6,0.581,0.135,22.9,17.5,13.8,11.2,24.5,118.4,0.539,99.9,0.47,0.71,0.398,0.434,0.424,0.372
0,0.581,0.135,22.9,17.5,13.8,11.2,24.5,118.4,0.539,99.9,0.474,0.701,0.464,0.472,0.394,0.358
7,0.581,0.135,22.9,17.5,13.8,11.2,24.5,118.4,0.539,99.9,0.468,0.712,0.406,0.411,0.404,0.354
5,0.581,0.135,22.9,17.5,13.8,11.2,24.5,118.4,0.539,99.9,0.496,0.753,0.452,0.464,0.454,0.362
16,0.581,0.135,22.9,17.5,13.8,11.2,24.5,118.4,0.539,99.9,0.474,0.701,0.464,0.472,0.394,0.358
28,0.581,0.135,22.9,17.5,13.8,11.2,24.5,118.4,0.539,99.9,0.47,0.71,0.398,0.434,0.424,0.372
15,0.581,0.135,22.9,17.5,13.8,11.2,24.5,118.4,0.539,99.9,0.466,0.716,0.507,0.42,0.404,0.359
3,0.581,0.135,22.9,17.5,13.8,11.2,24.5,118.4,0.539,99.9,0.48,0.699,0.485,0.43,0.368,0.387
11,0.581,0.135,22.9,17.5,13.8,11.2,24.5,118.4,0.539,99.9,0.464,0.686,0.421,0.428,0.381,0.364
16,0.581,0.135,22.9,17.5,13.8,11.2,24.5,118.4,0.539,99.9,0.496,0.688,0.482,0.495,0.411,0.365
14,0.581,0.135,22.9,17.5,13.8,11.2,24.5,118.4,0.539,99.9,0.491,0.716,0.471,0.42,0.422,0.376
19,0.581,0.135,22.9,17.5,13.8,11.2,24.5,118.4,0.539,99.9,0.487,0.685,0.467,0.441,0.423,0.373
5,0.581,0.135,22.9,17.5,13.8,11.2,24.5,118.4,0.539,99.9,0.487,0.712,0.478,0.466,0.392,0.395
11,0.581,0.135,22.9,17.5,13.8,11.2,24.5,118.4,0.539,99.9,0.462,0.686,0.416,0.415,0.391,0.355
21,0.581,0.135,22.9,17.5,13.8,11.2,24.5,118.4,0.539,99.9,0.49,0.716,0.477,0.453,0.481,0.37
12,0.581,0.135,22.9,17.5,13.8,11.2,24.5,118.4,0.539,99.9,0.496,0.688,0.482,0.495,0.411,0.365
12,0.581,0.135,22.9,17.5,13.8,11.2,24.5,118.4,0.539,99.9,0.453,0.676,0.438,0.469,0.407,0.352
18,0.581,0.135,22.9,17.5,13.8,11.2,24.5,118.4,0.539,99.9,0.468,0.712,0.406,0.411,0.404,0.354
19,0.581,0.135,22.9,17.5,13.8,11.2,24.5,118.4,0.539,99.9,0.496,0.753,0.452,0.464,0.454,0.362
27,0.581,0.135,22.9,17.5,13.8,11.2,24.5,118.4,0.539,99.9,0.473,0.682,0.45,0.425,0.431,0.37
16,0.581,0.135,22.9,17.5,13.8,11.2,24.5,118.4,0.539,99.9,0.491,0.716,0.471,0.42,0.422,0.376
