final_PTS,TS%,FTr,USG%,PER,avg_PTS,FGA,MP,ORtg,eFG%_2,Pace,Opponent_FG%,Range_0-3_Made,Range_3-10_Made,Range_10-16_Made,Range_16-3P_Made,3P_Made
24,0.555,0.198,25.9,17.3,19.8,16.4,33.4,,,,0.487,0.685,0.467,0.441,0.423,0.373
24,0.555,0.198,25.9,17.3,23.2,18.3,35.5,,,,0.487,0.685,0.467,0.441,0.423,0.373
24,0.555,0.198,25.9,17.3,16.4,14.5,31.5,,,,0.487,0.685,0.467,0.441,0.423,0.373
24,0.574,0.235,27.8,19.2,19.8,16.4,33.4,,,,0.487,0.685,0.467,0.441,0.423,0.373
24,0.574,0.235,27.8,19.2,23.2,18.3,35.5,,,,0.487,0.685,0.467,0.441,0.423,0.373
24,0.574,0.235,27.8,19.2,16.4,14.5,31.5,,,,0.487,0.685,0.467,0.441,0.423,0.373
24,0.531,0.154,23.8,15.1,19.8,16.4,33.4,,,,0.487,0.685,0.467,0.441,0.423,0.373
24,0.531,0.154,23.8,15.1,23.2,18.3,35.5,,,,0.487,0.685,0.467,0.441,0.423,0.373
24,0.531,0.154,23.8,15.1,16.4,14.5,31.5,,,,0.487,0.685,0.467,0.441,0.423,0.373
23,0.555,0.198,25.9,17.3,19.8,16.4,33.4,,,,0.464,0.714,0.454,0.422,0.397,0.349
23,0.555,0.198,25.9,17.3,23.2,18.3,35.5,,,,0.464,0.714,0.454,0.422,0.397,0.349
23,0.555,0.198,25.9,17.3,16.4,14.5,31.5,,,,0.464,0.714,0.454,0.422,0.397,0.349
23,0.574,0.235,27.8,19.2,19.8,16.4,33.4,,,,0.464,0.714,0.454,0.422,0.397,0.349
23,0.574,0.235,27.8,19.2,23.2,18.3,35.5,,,,0.464,0.714,0.454,0.422,0.397,0.349
23,0.574,0.235,27.8,19.2,16.4,14.5,31.5,,,,0.464,0.714,0.454,0.422,0.397,0.349
23,0.531,0.154,23.8,15.1,19.8,16.4,33.4,,,,0.464,0.714,0.454,0.422,0.397,0.349
23,0.531,0.154,23.8,15.1,23.2,18.3,35.5,,,,0.464,0.714,0.454,0.422,0.397,0.349
23,0.531,0.154,23.8,15.1,16.4,14.5,31.5,,,,0.464,0.714,0.454,0.422,0.397,0.349
25,0.555,0.198,25.9,17.3,19.8,16.4,33.4,,,,0.47,0.71,0.398,0.434,0.424,0.372
25,0.555,0.198,25.9,17.3,23.2,18.3,35.5,,,,0.47,0.71,0.398,0.434,0.424,0.372
25,0.555,0.198,25.9,17.3,16.4,14.5,31.5,,,,0.47,0.71,0.398,0.434,0.424,0.372
25,0.574,0.235,27.8,19.2,19.8,16.4,33.4,,,,0.47,0.71,0.398,0.434,0.424,0.372
25,0.574,0.235,27.8,19.2,23.2,18.3,35.5,,,,0.47,0.71,0.398,0.434,0.424,0.372
25,0.574,0.235,27.8,19.2,16.4,14.5,31.5,,,,0.47,0.71,0.398,0.434,0.424,0.372
25,0.531,0.154,23.8,15.1,19.8,16.4,33.4,,,,0.47,0.71,0.398,0.434,0.424,0.372
25,0.531,0.154,23.8,15.1,23.2,18.3,35.5,,,,0.47,0.71,0.398,0.434,0.424,0.372
25,0.531,0.154,23.8,15.1,16.4,14.5,31.5,,,,0.47,0.71,0.398,0.434,0.424,0.372
19,0.555,0.198,25.9,17.3,19.8,16.4,33.4,,,,0.496,0.753,0.452,0.464,0.454,0.362
19,0.555,0.198,25.9,17.3,23.2,18.3,35.5,,,,0.496,0.753,0.452,0.464,0.454,0.362
19,0.555,0.198,25.9,17.3,16.4,14.5,31.5,,,,0.496,0.753,0.452,0.464,0.454,0.362
19,0.574,0.235,27.8,19.2,19.8,16.4,33.4,,,,0.496,0.753,0.452,0.464,0.454,0.362
19,0.574,0.235,27.8,19.2,23.2,18.3,35.5,,,,0.496,0.753,0.452,0.464,0.454,0.362
19,0.574,0.235,27.8,19.2,16.4,14.5,31.5,,,,0.496,0.753,0.452,0.464,0.454,0.362
19,0.531,0.154,23.8,15.1,19.8,16.4,33.4,,,,0.496,0.753,0.452,0.464,0.454,0.362
19,0.531,0.154,23.8,15.1,23.2,18.3,35.5,,,,0.496,0.753,0.452,0.464,0.454,0.362
19,0.531,0.154,23.8,15.1,16.4,14.5,31.5,,,,0.496,0.753,0.452,0.464,0.454,0.362
18,0.555,0.198,25.9,17.3,19.8,16.4,33.4,,,,0.491,0.732,0.489,0.458,0.406,0.351
18,0.555,0.198,25.9,17.3,23.2,18.3,35.5,,,,0.491,0.732,0.489,0.458,0.406,0.351
18,0.555,0.198,25.9,17.3,16.4,14.5,31.5,,,,0.491,0.732,0.489,0.458,0.406,0.351
18,0.574,0.235,27.8,19.2,19.8,16.4,33.4,,,,0.491,0.732,0.489,0.458,0.406,0.351
18,0.574,0.235,27.8,19.2,23.2,18.3,35.5,,,,0.491,0.732,0.489,0.458,0.406,0.351
