final_PTS,TS%,FTr,USG%,PER,avg_PTS,FGA,MP,ORtg,eFG%_2,Pace,Opponent_FG%,Range_0-3_Made,Range_3-10_Made,Range_10-16_Made,Range_16-3P_Made,3P_Made
2,0.576,0.061,13.2,12.8,4.3,3.7,14.6,114.0,0.543,96.2,0.491,0.732,0.489,0.458,0.406,0.351
2,0.576,0.061,13.2,12.8,4.3,3.7,14.6,114.0,0.543,96.2,0.496,0.753,0.452,0.464,0.454,0.362
5,0.576,0.061,13.2,12.8,4.3,3.7,14.6,114.0,0.543,96.2,0.495,0.694,0.46,0.452,0.43,0.384
0,0.576,0.061,13.2,12.8,4.3,3.7,14.6,114.0,0.543,96.2,0.49,0.716,0.477,0.453,0.481,0.37
2,0.576,0.061,13.2,12.8,4.3,3.7,14.6,114.0,0.543,96.2,0.468,0.707,0.449,0.436,0.407,0.363
2,0.576,0.061,13.2,12.8,4.3,3.7,14.6,,,,0.468,0.707,0.449,0.436,0.407,0.363
5,0.576,0.061,13.2,12.8,4.3,3.7,14.6,,,,0.464,0.686,0.421,0.428,0.381,0.364
4,0.576,0.061,13.2,12.8,4.3,3.7,14.6,,,,0.47,0.66,0.442,0.432,0.42,0.365
3,0.576,0.061,13.2,12.8,4.3,3.7,14.6,,,,0.47,0.712,0.435,0.484,0.391,0.356
17,0.576,0.061,13.2,12.8,4.3,3.7,14.6,,,,0.47,0.712,0.435,0.484,0.391,0.356
0,0.576,0.061,13.2,12.8,4.3,3.7,14.6,,,,0.467,0.705,0.493,0.463,0.407,0.353
0,0.576,0.061,13.2,12.8,4.3,3.7,14.6,,,,0.474,0.701,0.464,0.472,0.394,0.358
0,0.576,0.061,13.2,12.8,4.3,3.7,14.6,,,,0.49,0.716,0.477,0.453,0.481,0.37
0,0.576,0.061,13.2,12.8,4.3,3.7,14.6,,,,0.474,0.701,0.464,0.472,0.394,0.358
2,0.576,0.061,13.2,12.8,4.3,3.7,14.6,,,,0.468,0.712,0.406,0.411,0.404,0.354
