final_PTS,TS%,FTr,USG%,PER,avg_PTS,FGA,MP,ORtg,eFG%_2,Pace,Opponent_FG%,Range_0-3_Made,Range_3-10_Made,Range_10-16_Made,Range_16-3P_Made,3P_Made
0,0.516,0.225,22.2,14.6,7.2,6.3,14.7,115.2,0.535,97.2,0.473,0.682,0.45,0.425,0.431,0.37
0,0.516,0.225,22.2,14.6,2.8,2.4,6.4,115.2,0.535,97.2,0.473,0.682,0.45,0.425,0.431,0.37
0,0.516,0.225,22.2,14.6,11.5,10.3,23.0,115.2,0.535,97.2,0.473,0.682,0.45,0.425,0.431,0.37
0,0.532,0.244,21.0,14.5,7.2,6.3,14.7,115.2,0.535,97.2,0.473,0.682,0.45,0.425,0.431,0.37
0,0.532,0.244,21.0,14.5,2.8,2.4,6.4,115.2,0.535,97.2,0.473,0.682,0.45,0.425,0.431,0.37
0,0.532,0.244,21.0,14.5,11.5,10.3,23.0,115.2,0.535,97.2,0.473,0.682,0.45,0.425,0.431,0.37
0,0.512,0.221,22.5,14.7,7.2,6.3,14.7,115.2,0.535,97.2,0.473,0.682,0.45,0.425,0.431,0.37
0,0.512,0.221,22.5,14.7,2.8,2.4,6.4,115.2,0.535,97.2,0.473,0.682,0.45,0.425,0.431,0.37
0,0.512,0.221,22.5,14.7,11.5,10.3,23.0,115.2,0.535,97.2,0.473,0.682,0.45,0.425,0.431,0.37
0,0.516,0.225,22.2,14.6,7.2,6.3,14.7,115.2,0.535,97.2,0.47,0.66,0.442,0.432,0.42,0.365
0,0.516,0.225,22.2,14.6,2.8,2.4,6.4,115.2,0.535,97.2,0.47,0.66,0.442,0.432,0.42,0.365
0,0.516,0.225,22.2,14.6,11.5,10.3,23.0,115.2,0.535,97.2,0.47,0.66,0.442,0.432,0.42,0.365
0,0.532,0.244,21.0,14.5,7.2,6.3,14.7,115.2,0.535,97.2,0.47,0.66,0.442,0.432,0.42,0.365
0,0.532,0.244,21.0,14.5,2.8,2.4,6.4,115.2,0.535,97.2,0.47,0.66,0.442,0.432,0.42,0.365
0,0.532,0.244,21.0,14.5,11.5,10.3,23.0,115.2,0.535,97.2,0.47,0.66,0.442,0.432,0.42,0.365
0,0.512,0.221,22.5,14.7,7.2,6.3,14.7,115.2,0.535,97.2,0.47,0.66,0.442,0.432,0.42,0.365
0,0.512,0.221,22.5,14.7,2.8,2.4,6.4,115.2,0.535,97.2,0.47,0.66,0.442,0.432,0.42,0.365
0,0.512,0.221,22.5,14.7,11.5,10.3,23.0,115.2,0.535,97.2,0.47,0.66,0.442,0.432,0.42,0.365
6,0.516,0.225,22.2,14.6,7.2,6.3,14.7,115.2,0.535,97.2,0.49,0.716,0.477,0.453,0.481,0.37
6,0.516,0.225,22.2,14.6,2.8,2.4,6.4,115.2,0.535,97.2,0.49,0.716,0.477,0.453,0.481,0.37
6,0.516,0.225,22.2,14.6,11.5,10.3,23.0,115.2,0.535,97.2,0.49,0.716,0.477,0.453,0.481,0.37
6,0.532,0.244,21.0,14.5,7.2,6.3,14.7,115.2,0.535,97.2,0.49,0.716,0.477,0.453,0.481,0.37
6,0.532,0.244,21.0,14.5,2.8,2.4,6.4,115.2,0.535,97.2,0.49,0.716,0.477,0.453,0.481,0.37
