final_PTS,TS%,FTr,USG%,PER,avg_PTS,FGA,MP,ORtg,eFG%_2,Pace,Opponent_FG%,Range_0-3_Made,Range_3-10_Made,Range_10-16_Made,Range_16-3P_Made,3P_Made
7,0.578,0.316,11.7,11.6,5.2,3.9,20.0,115.5,0.567,99.5,0.462,0.686,0.416,0.415,0.391,0.355
4,0.578,0.316,11.7,11.6,5.2,3.9,20.0,115.5,0.567,99.5,0.45,0.673,0.404,0.447,0.371,0.354
15,0.578,0.316,11.7,11.6,5.2,3.9,20.0,115.5,0.567,99.5,0.464,0.714,0.454,0.422,0.397,0.349
13,0.578,0.316,11.7,11.6,5.2,3.9,20.0,115.5,0.567,99.5,0.463,0.682,0.478,0.464,0.401,0.348
6,0.578,0.316,11.7,11.6,5.2,3.9,20.0,115.5,0.567,99.5,0.463,0.682,0.478,0.464,0.401,0.348
7,0.578,0.316,11.7,11.6,5.2,3.9,20.0,115.5,0.567,99.5,0.462,0.686,0.416,0.415,0.391,0.355
7,0.578,0.316,11.7,11.6,5.2,3.9,20.0,115.5,0.567,99.5,0.474,0.667,0.418,0.456,0.425,0.378
7,0.578,0.316,11.7,11.6,5.2,3.9,20.0,115.5,0.567,99.5,0.474,0.667,0.418,0.456,0.425,0.378
15,0.578,0.316,11.7,11.6,5.2,3.9,20.0,115.5,0.567,99.5,0.475,0.736,0.421,0.46,0.381,0.368
9,0.578,0.316,11.7,11.6,5.2,3.9,20.0,115.5,0.567,99.5,0.474,0.724,0.444,0.433,0.431,0.376
6,0.578,0.316,11.7,11.6,5.2,3.9,20.0,115.5,0.567,99.5,0.495,0.694,0.46,0.452,0.43,0.384
7,0.578,0.316,11.7,11.6,5.2,3.9,20.0,115.5,0.567,99.5,0.496,0.753,0.452,0.464,0.454,0.362
9,0.578,0.316,11.7,11.6,5.2,3.9,20.0,115.5,0.567,99.5,0.468,0.712,0.406,0.411,0.404,0.354
2,0.578,0.316,11.7,11.6,5.2,3.9,20.0,115.5,0.567,99.5,0.47,0.66,0.442,0.432,0.42,0.365
6,0.578,0.316,11.7,11.6,5.2,3.9,20.0,115.5,0.567,99.5,0.464,0.686,0.421,0.428,0.381,0.364
7,0.578,0.316,11.7,11.6,5.2,3.9,20.0,115.5,0.567,99.5,0.491,0.732,0.489,0.458,0.406,0.351
6,0.578,0.316,11.7,11.6,5.2,3.9,20.0,115.5,0.567,99.5,0.468,0.707,0.449,0.436,0.407,0.363
7,0.578,0.316,11.7,11.6,5.2,3.9,20.0,115.5,0.567,99.5,0.49,0.716,0.477,0.453,0.481,0.37
13,0.578,0.316,11.7,11.6,5.2,3.9,20.0,115.5,0.567,99.5,0.466,0.716,0.507,0.42,0.404,0.359
6,0.578,0.316,11.7,11.6,5.2,3.9,20.0,115.5,0.567,99.5,0.464,0.686,0.421,0.428,0.381,0.364
9,0.578,0.316,11.7,11.6,5.2,3.9,20.0,115.5,0.567,99.5,0.473,0.682,0.45,0.425,0.431,0.37
14,0.578,0.316,11.7,11.6,5.2,3.9,20.0,115.5,0.567,99.5,0.468,0.707,0.449,0.436,0.407,0.363
8,0.578,0.316,11.7,11.6,5.2,3.9,20.0,115.5,0.567,99.5,0.496,0.688,0.482,0.495,0.411,0.365
16,0.578,0.316,11.7,11.6,5.2,3.9,20.0,115.5,0.567,99.5,0.491,0.732,0.489,0.458,0.406,0.351
4,0.578,0.316,11.7,11.6,5.2,3.9,20.0,115.5,0.567,99.5,0.466,0.716,0.507,0.42,0.404,0.359
12,0.578,0.316,11.7,11.6,5.2,3.9,20.0,115.5,0.567,99.5,0.45,0.673,0.404,0.447,0.371,0.354
6,0.578,0.316,11.7,11.6,5.2,3.9,20.0,115.5,0.567,99.5,0.462,0.686,0.416,0.415,0.391,0.355
18,0.578,0.316,11.7,11.6,5.2,3.9,20.0,115.5,0.567,99.5,0.464,0.714,0.454,0.422,0.397,0.349
3,0.578,0.316,11.7,11.6,5.2,3.9,20.0,115.5,0.567,99.5,0.464,0.714,0.454,0.422,0.397,0.349
0,0.578,0.316,11.7,11.6,5.2,3.9,20.0,115.5,0.567,99.5,0.47,0.712,0.435,0.484,0.391,0.356
7,0.578,0.316,11.7,11.6,5.2,3.9,20.0,115.5,0.567,99.5,0.463,0.66,0.426,0.425,0.38,0.371
18,0.578,0.316,11.7,11.6,5.2,3.9,20.0,115.5,0.567,99.5,0.49,0.716,0.477,0.453,0.481,0.37
3,0.578,0.316,11.7,11.6,5.2,3.9,20.0,115.5,0.567,99.5,0.496,0.753,0.452,0.464,0.454,0.362
7,0.578,0.316,11.7,11.6,5.2,3.9,20.0,115.5,0.567,99.5,0.487,0.685,0.467,0.441,0.423,0.373
10,0.578,0.316,11.7,11.6,5.2,3.9,20.0,115.5,0.567,99.5,0.466,0.716,0.507,0.42,0.404,0.359
6,0.578,0.316,11.7,11.6,5.2,3.9,20.0,115.5,0.567,99.5,0.48,0.699,0.485,0.43,0.368,0.387
4,0.578,0.316,11.7,11.6,5.2,3.9,20.0,115.5,0.567,99.5,0.467,0.705,0.493,0.463,0.407,0.353
14,0.578,0.316,11.7,11.6,5.2,3.9,20.0,115.5,0.567,99.5,0.48,0.699,0.485,0.43,0.368,0.387
5,0.578,0.316,11.7,11.6,5.2,3.9,20.0,115.5,0.567,99.5,0.463,0.682,0.478,0.464,0.401,0.348
15,0.578,0.316,11.7,11.6,5.2,3.9,20.0,115.5,0.567,99.5,0.473,0.682,0.45,0.425,0.431,0.37
12,0.578,0.316,11.7,11.6,5.2,3.9,20.0,115.5,0.567,99.5,0.474,0.667,0.418,0.456,0.425,0.378
