final_PTS,TS%,FTr,USG%,PER,avg_PTS,FGA,MP,ORtg,eFG%_2,Pace,Opponent_FG%,Range_0-3_Made,Range_3-10_Made,Range_10-16_Made,Range_16-3P_Made,3P_Made
15,0.568,0.225,19.7,16.7,17.4,13.9,36.8,112.3,0.566,99.4,0.463,0.66,0.426,0.425,0.38,0.371
18,0.568,0.225,19.7,16.7,17.4,13.9,36.8,112.3,0.566,99.4,0.47,0.71,0.398,0.434,0.424,0.372
7,0.568,0.225,19.7,16.7,17.4,13.9,36.8,112.3,0.566,99.4,0.467,0.705,0.493,0.463,0.407,0.353
24,0.568,0.225,19.7,16.7,17.4,13.9,36.8,112.3,0.566,99.4,0.467,0.705,0.493,0.463,0.407,0.353
15,0.568,0.225,19.7,16.7,17.4,13.9,36.8,112.3,0.566,99.4,0.468,0.712,0.406,0.411,0.404,0.354
1,0.568,0.225,19.7,16.7,17.4,13.9,36.8,112.3,0.566,99.4,0.468,0.712,0.406,0.411,0.404,0.354
30,0.568,0.225,19.7,16.7,17.4,13.9,36.8,112.3,0.566,99.4,0.473,0.682,0.45,0.425,0.431,0.37
27,0.568,0.225,19.7,16.7,17.4,13.9,36.8,112.3,0.566,99.4,0.473,0.682,0.45,0.425,0.431,0.37
32,0.568,0.225,19.7,16.7,17.4,13.9,36.8,112.3,0.566,99.4,0.463,0.682,0.478,0.464,0.401,0.348
15,0.568,0.225,19.7,16.7,17.4,13.9,36.8,112.3,0.566,99.4,0.455,0.652,0.437,0.432,0.389,0.361
23,0.568,0.225,19.7,16.7,17.4,13.9,36.8,112.3,0.566,99.4,0.467,0.705,0.493,0.463,0.407,0.353
15,0.568,0.225,19.7,16.7,17.4,13.9,36.8,112.3,0.566,99.4,0.495,0.694,0.46,0.452,0.43,0.384
26,0.568,0.225,19.7,16.7,17.4,13.9,36.8,112.3,0.566,99.4,0.475,0.736,0.421,0.46,0.381,0.368
13,0.568,0.225,19.7,16.7,17.4,13.9,36.8,112.3,0.566,99.4,0.463,0.66,0.426,0.425,0.38,0.371
2,0.568,0.225,19.7,16.7,17.4,13.9,36.8,112.3,0.566,99.4,0.464,0.714,0.454,0.422,0.397,0.349
10,0.568,0.225,19.7,16.7,17.4,13.9,36.8,112.3,0.566,99.4,0.47,0.71,0.398,0.434,0.424,0.372
13,0.568,0.225,19.7,16.7,17.4,13.9,36.8,112.3,0.566,99.4,0.474,0.701,0.464,0.472,0.394,0.358
8,0.568,0.225,19.7,16.7,17.4,13.9,36.8,112.3,0.566,99.4,0.453,0.676,0.438,0.469,0.407,0.352
25,0.568,0.225,19.7,16.7,17.4,13.9,36.8,112.3,0.566,99.4,0.474,0.724,0.444,0.433,0.431,0.376
19,0.568,0.225,19.7,16.7,17.4,13.9,36.8,112.3,0.566,99.4,0.474,0.701,0.464,0.472,0.394,0.358
20,0.568,0.225,19.7,16.7,17.4,13.9,36.8,112.3,0.566,99.4,0.474,0.701,0.464,0.472,0.394,0.358
39,0.568,0.225,19.7,16.7,17.4,13.9,36.8,112.3,0.566,99.4,0.48,0.699,0.485,0.43,0.368,0.387
39,0.568,0.225,19.7,16.7,17.4,13.9,36.8,112.3,0.566,99.4,0.47,0.71,0.398,0.434,0.424,0.372
22,0.568,0.225,19.7,16.7,17.4,13.9,36.8,112.3,0.566,99.4,0.466,0.716,0.507,0.42,0.404,0.359
9,0.568,0.225,19.7,16.7,17.4,13.9,36.8,112.3,0.566,99.4,0.468,0.712,0.406,0.411,0.404,0.354
28,0.568,0.225,19.7,16.7,17.4,13.9,36.8,112.3,0.566,99.4,0.47,0.66,0.442,0.432,0.42,0.365
18,0.568,0.225,19.7,16.7,17.4,13.9,36.8,112.3,0.566,99.4,0.463,0.66,0.426,0.425,0.38,0.371
4,0.568,0.225,19.7,16.7,17.4,13.9,36.8,112.3,0.566,99.4,0.468,0.707,0.449,0.436,0.407,0.363
9,0.568,0.225,19.7,16.7,17.4,13.9,36.8,112.3,0.566,99.4,0.496,0.688,0.482,0.495,0.411,0.365
28,0.568,0.225,19.7,16.7,17.4,13.9,36.8,112.3,0.566,99.4,0.47,0.712,0.435,0.484,0.391,0.356
28,0.568,0.225,19.7,16.7,17.4,13.9,36.8,112.3,0.566,99.4,0.47,0.66,0.442,0.432,0.42,0.365
14,0.568,0.225,19.7,16.7,17.4,13.9,36.8,112.3,0.566,99.4,0.491,0.732,0.489,0.458,0.406,0.351
