final_PTS,TS%,FTr,USG%,PER,avg_PTS,FGA,MP,ORtg,eFG%_2,Pace,Opponent_FG%,Range_0-3_Made,Range_3-10_Made,Range_10-16_Made,Range_16-3P_Made,3P_Made
20,0.575,0.291,25.7,17.6,19.7,15.2,32.5,113.4,0.543,96.9,0.49,0.716,0.477,0.453,0.481,0.37
8,0.575,0.291,25.7,17.6,19.7,15.2,32.5,113.4,0.543,96.9,0.495,0.694,0.46,0.452,0.43,0.384
18,0.575,0.291,25.7,17.6,19.7,15.2,32.5,113.4,0.543,96.9,0.453,0.676,0.438,0.469,0.407,0.352
14,0.575,0.291,25.7,17.6,19.7,15.2,32.5,113.4,0.543,96.9,0.47,0.66,0.442,0.432,0.42,0.365
22,0.575,0.291,25.7,17.6,19.7,15.2,32.5,113.4,0.543,96.9,0.463,0.66,0.426,0.425,0.38,0.371
13,0.575,0.291,25.7,17.6,19.7,15.2,32.5,113.4,0.543,96.9,0.473,0.682,0.45,0.425,0.431,0.37
11,0.575,0.291,25.7,17.6,19.7,15.2,32.5,113.4,0.543,96.9,0.475,0.736,0.421,0.46,0.381,0.368
20,0.575,0.291,25.7,17.6,19.7,15.2,32.5,113.4,0.543,96.9,0.455,0.652,0.437,0.432,0.389,0.361
19,0.575,0.291,25.7,17.6,19.7,15.2,32.5,113.4,0.543,96.9,0.466,0.716,0.507,0.42,0.404,0.359
31,0.575,0.291,25.7,17.6,19.7,15.2,32.5,113.4,0.543,96.9,0.48,0.699,0.485,0.43,0.368,0.387
23,0.575,0.291,25.7,17.6,19.7,15.2,32.5,113.4,0.543,96.9,0.463,0.682,0.478,0.464,0.401,0.348
22,0.575,0.291,25.7,17.6,19.7,15.2,32.5,113.4,0.543,96.9,0.475,0.736,0.421,0.46,0.381,0.368
17,0.575,0.291,25.7,17.6,19.7,15.2,32.5,113.4,0.543,96.9,0.464,0.686,0.421,0.428,0.381,0.364
23,0.575,0.291,25.7,17.6,19.7,15.2,32.5,113.4,0.543,96.9,0.473,0.682,0.45,0.425,0.431,0.37
18,0.575,0.291,25.7,17.6,19.7,15.2,32.5,113.4,0.543,96.9,0.45,0.673,0.404,0.447,0.371,0.354
20,0.575,0.291,25.7,17.6,19.7,15.2,32.5,113.4,0.543,96.9,0.473,0.682,0.45,0.425,0.431,0.37
29,0.575,0.291,25.7,17.6,19.7,15.2,32.5,113.4,0.543,96.9,0.496,0.688,0.482,0.495,0.411,0.365
20,0.575,0.291,25.7,17.6,19.7,15.2,32.5,113.4,0.543,96.9,0.496,0.688,0.482,0.495,0.411,0.365
24,0.575,0.291,25.7,17.6,19.7,15.2,32.5,113.4,0.543,96.9,0.468,0.712,0.406,0.411,0.404,0.354
17,0.575,0.291,25.7,17.6,19.7,15.2,32.5,113.4,0.543,96.9,0.468,0.712,0.406,0.411,0.404,0.354
21,0.575,0.291,25.7,17.6,19.7,15.2,32.5,113.4,0.543,96.9,0.47,0.71,0.398,0.434,0.424,0.372
22,0.575,0.291,25.7,17.6,19.7,15.2,32.5,113.4,0.543,96.9,0.495,0.694,0.46,0.452,0.43,0.384
16,0.575,0.291,25.7,17.6,19.7,15.2,32.5,113.4,0.543,96.9,0.463,0.66,0.426,0.425,0.38,0.371
9,0.575,0.291,25.7,17.6,19.7,15.2,32.5,113.4,0.543,96.9,0.491,0.716,0.471,0.42,0.422,0.376
25,0.575,0.291,25.7,17.6,19.7,15.2,32.5,113.4,0.543,96.9,0.47,0.712,0.435,0.484,0.391,0.356
15,0.575,0.291,25.7,17.6,19.7,15.2,32.5,113.4,0.543,96.9,0.468,0.707,0.449,0.436,0.407,0.363
34,0.575,0.291,25.7,17.6,19.7,15.2,32.5,113.4,0.543,96.9,0.491,0.716,0.471,0.42,0.422,0.376
23,0.575,0.291,25.7,17.6,19.7,15.2,32.5,113.4,0.543,96.9,0.491,0.716,0.471,0.42,0.422,0.376
24,0.575,0.291,25.7,17.6,19.7,15.2,32.5,113.4,0.543,96.9,0.495,0.694,0.46,0.452,0.43,0.384
19,0.575,0.291,25.7,17.6,19.7,15.2,32.5,113.4,0.543,96.9,0.453,0.676,0.438,0.469,0.407,0.352
12,0.575,0.291,25.7,17.6,19.7,15.2,32.5,113.4,0.543,96.9,0.453,0.676,0.438,0.469,0.407,0.352
19,0.575,0.291,25.7,17.6,19.7,15.2,32.5,113.4,0.543,96.9,0.495,0.694,0.46,0.452,0.43,0.384
25,0.575,0.291,25.7,17.6,19.7,15.2,32.5,113.4,0.543,96.9,0.463,0.682,0.478,0.464,0.401,0.348
21,0.575,0.291,25.7,17.6,19.7,15.2,32.5,113.4,0.543,96.9,0.487,0.685,0.467,0.441,0.423,0.373
15,0.575,0.291,25.7,17.6,19.7,15.2,32.5,113.4,0.543,96.9,0.474,0.724,0.444,0.433,0.431,0.376
19,0.575,0.291,25.7,17.6,19.7,15.2,32.5,113.4,0.543,96.9,0.49,0.716,0.477,0.453,0.481,0.37
28,0.575,0.291,25.7,17.6,19.7,15.2,32.5,113.4,0.543,96.9,0.496,0.753,0.452,0.464,0.454,0.362
22,0.575,0.291,25.7,17.6,19.7,15.2,32.5,113.4,0.543,96.9,0.474,0.667,0.418,0.456,0.425,0.378
