final_PTS,TS%,FTr,USG%,PER,avg_PTS,FGA,MP,ORtg,eFG%_2,Pace,Opponent_FG%,Range_0-3_Made,Range_3-10_Made,Range_10-16_Made,Range_16-3P_Made,3P_Made
25,0.61,0.452,29.7,22.8,22.9,15.6,31.5,117.4,0.541,97.9,0.47,0.71,0.398,0.434,0.424,0.372
16,0.61,0.452,29.7,22.8,22.9,15.6,31.5,117.4,0.541,97.9,0.473,0.682,0.45,0.425,0.431,0.37
25,0.61,0.452,29.7,22.8,22.9,15.6,31.5,117.4,0.541,97.9,0.487,0.712,0.478,0.466,0.392,0.395
21,0.61,0.452,29.7,22.8,22.9,15.6,31.5,117.4,0.541,97.9,0.468,0.707,0.449,0.436,0.407,0.363
27,0.61,0.452,29.7,22.8,22.9,15.6,31.5,117.4,0.541,97.9,0.474,0.724,0.444,0.433,0.431,0.376
16,0.61,0.452,29.7,22.8,22.9,15.6,31.5,117.4,0.541,97.9,0.466,0.716,0.507,0.42,0.404,0.359
29,0.61,0.452,29.7,22.8,22.9,15.6,31.5,117.4,0.541,97.9,0.495,0.694,0.46,0.452,0.43,0.384
26,0.61,0.452,29.7,22.8,22.9,15.6,31.5,117.4,0.541,97.9,0.496,0.688,0.482,0.495,0.411,0.365
19,0.61,0.452,29.7,22.8,22.9,15.6,31.5,117.4,0.541,97.9,0.473,0.682,0.45,0.425,0.431,0.37
29,0.61,0.452,29.7,22.8,22.9,15.6,31.5,117.4,0.541,97.9,0.491,0.732,0.489,0.458,0.406,0.351
26,0.61,0.452,29.7,22.8,22.9,15.6,31.5,117.4,0.541,97.9,0.463,0.682,0.478,0.464,0.401,0.348
9,0.61,0.452,29.7,22.8,22.9,15.6,31.5,117.4,0.541,97.9,0.466,0.716,0.507,0.42,0.404,0.359
32,0.61,0.452,29.7,22.8,22.9,15.6,31.5,117.4,0.541,97.9,0.487,0.685,0.467,0.441,0.423,0.373
14,0.61,0.452,29.7,22.8,22.9,15.6,31.5,117.4,0.541,97.9,0.474,0.667,0.418,0.456,0.425,0.378
23,0.61,0.452,29.7,22.8,22.9,15.6,31.5,117.4,0.541,97.9,0.455,0.652,0.437,0.432,0.389,0.361
33,0.61,0.452,29.7,22.8,22.9,15.6,31.5,117.4,0.541,97.9,0.491,0.716,0.471,0.42,0.422,0.376
30,0.61,0.452,29.7,22.8,22.9,15.6,31.5,117.4,0.541,97.9,0.487,0.685,0.467,0.441,0.423,0.373
25,0.61,0.452,29.7,22.8,22.9,15.6,31.5,117.4,0.541,97.9,0.462,0.686,0.416,0.415,0.391,0.355
29,0.61,0.452,29.7,22.8,22.9,15.6,31.5,117.4,0.541,97.9,0.49,0.716,0.477,0.453,0.481,0.37
35,0.61,0.452,29.7,22.8,22.9,15.6,31.5,117.4,0.541,97.9,0.464,0.686,0.421,0.428,0.381,0.364
35,0.61,0.452,29.7,22.8,22.9,15.6,31.5,117.4,0.541,97.9,0.464,0.686,0.421,0.428,0.381,0.364
26,0.61,0.452,29.7,22.8,22.9,15.6,31.5,117.4,0.541,97.9,0.487,0.712,0.478,0.466,0.392,0.395
31,0.61,0.452,29.7,22.8,22.9,15.6,31.5,117.4,0.541,97.9,0.487,0.712,0.478,0.466,0.392,0.395
30,0.61,0.452,29.7,22.8,22.9,15.6,31.5,117.4,0.541,97.9,0.464,0.686,0.421,0.428,0.381,0.364
18,0.61,0.452,29.7,22.8,22.9,15.6,31.5,117.4,0.541,97.9,0.47,0.712,0.435,0.484,0.391,0.356
43,0.61,0.452,29.7,22.8,22.9,15.6,31.5,117.4,0.541,97.9,0.45,0.673,0.404,0.447,0.371,0.354
36,0.61,0.452,29.7,22.8,22.9,15.6,31.5,117.4,0.541,97.9,0.468,0.712,0.406,0.411,0.404,0.354
20,0.61,0.452,29.7,22.8,22.9,15.6,31.5,117.4,0.541,97.9,0.474,0.667,0.418,0.456,0.425,0.378
26,0.61,0.452,29.7,22.8,22.9,15.6,31.5,117.4,0.541,97.9,0.468,0.712,0.406,0.411,0.404,0.354
