final_PTS,TS%,FTr,USG%,PER,avg_PTS,FGA,MP,ORtg,eFG%_2,Pace,Opponent_FG%,Range_0-3_Made,Range_3-10_Made,Range_10-16_Made,Range_16-3P_Made,3P_Made
0,0.351,0.0,11.1,2.7,1.3,1.9,8.6,117.8,0.536,97.1,0.473,0.725,0.424,0.422,0.414,0.348
0,0.351,0.0,11.1,2.7,0.3,0.5,2.4,117.8,0.536,97.1,0.473,0.725,0.424,0.422,0.414,0.348
0,0.351,0.0,11.1,2.7,2.6,3.6,16.2,117.8,0.536,97.1,0.473,0.725,0.424,0.422,0.414,0.348
0,0.3,0.0,9.9,3.1,1.3,1.9,8.6,117.8,0.536,97.1,0.473,0.725,0.424,0.422,0.414,0.348
0,0.3,0.0,9.9,3.1,0.3,0.5,2.4,117.8,0.536,97.1,0.473,0.725,0.424,0.422,0.414,0.348
0,0.3,0.0,9.9,3.1,2.6,3.6,16.2,117.8,0.536,97.1,0.473,0.725,0.424,0.422,0.414,0.348
0,0.359,0.0,11.3,2.6,1.3,1.9,8.6,117.8,0.536,97.1,0.473,0.725,0.424,0.422,0.414,0.348
0,0.359,0.0,11.3,2.6,0.3,0.5,2.4,117.8,0.536,97.1,0.473,0.725,0.424,0.422,0.414,0.348
0,0.359,0.0,11.3,2.6,2.6,3.6,16.2,117.8,0.536,97.1,0.473,0.725,0.424,0.422,0.414,0.348
3,0.351,0.0,11.1,2.7,1.3,1.9,8.6,117.8,0.536,97.1,0.474,0.716,0.441,0.463,0.388,0.365
3,0.351,0.0,11.1,2.7,0.3,0.5,2.4,117.8,0.536,97.1,0.474,0.716,0.441,0.463,0.388,0.365
3,0.351,0.0,11.1,2.7,2.6,3.6,16.2,117.8,0.536,97.1,0.474,0.716,0.441,0.463,0.388,0.365
3,0.3,0.0,9.9,3.1,1.3,1.9,8.6,117.8,0.536,97.1,0.474,0.716,0.441,0.463,0.388,0.365
3,0.3,0.0,9.9,3.1,0.3,0.5,2.4,117.8,0.536,97.1,0.474,0.716,0.441,0.463,0.388,0.365
3,0.3,0.0,9.9,3.1,2.6,3.6,16.2,117.8,0.536,97.1,0.474,0.716,0.441,0.463,0.388,0.365
3,0.359,0.0,11.3,2.6,1.3,1.9,8.6,117.8,0.536,97.1,0.474,0.716,0.441,0.463,0.388,0.365
3,0.359,0.0,11.3,2.6,0.3,0.5,2.4,117.8,0.536,97.1,0.474,0.716,0.441,0.463,0.388,0.365
3,0.359,0.0,11.3,2.6,2.6,3.6,16.2,117.8,0.536,97.1,0.474,0.716,0.441,0.463,0.388,0.365
0,0.351,0.0,11.1,2.7,1.3,1.9,8.6,117.8,0.536,97.1,0.492,0.733,0.475,0.462,0.392,0.373
0,0.351,0.0,11.1,2.7,0.3,0.5,2.4,117.8,0.536,97.1,0.492,0.733,0.475,0.462,0.392,0.373
0,0.351,0.0,11.1,2.7,2.6,3.6,16.2,117.8,0.536,97.1,0.492,0.733,0.475,0.462,0.392,0.373
0,0.3,0.0,9.9,3.1,1.3,1.9,8.6,117.8,0.536,97.1,0.492,0.733,0.475,0.462,0.392,0.373
0,0.3,0.0,9.9,3.1,0.3,0.5,2.4,117.8,0.536,97.1,0.492,0.733,0.475,0.462,0.392,0.373
0,0.3,0.0,9.9,3.1,2.6,3.6,16.2,117.8,0.536,97.1,0.492,0.733,0.475,0.462,0.392,0.373
0,0.359,0.0,11.3,2.6,1.3,1.9,8.6,117.8,0.536,97.1,0.492,0.733,0.475,0.462,0.392,0.373
0,0.359,0.0,11.3,2.6,0.3,0.5,2.4,117.8,0.536,97.1,0.492,0.733,0.475,0.462,0.392,0.373
0,0.359,0.0,11.3,2.6,2.6,3.6,16.2,117.8,0.536,97.1,0.492,0.733,0.475,0.462,0.392,0.373
