final_PTS,TS%,FTr,USG%,PER,avg_PTS,FGA,MP,ORtg,eFG%_2,Pace,Opponent_FG%,Range_0-3_Made,Range_3-10_Made,Range_10-16_Made,Range_16-3P_Made,3P_Made
16,0.587,0.279,22.6,16.8,20.1,15.3,35.7,,,,0.478,0.747,0.459,0.443,0.402,0.344
16,0.587,0.279,22.6,16.8,17.2,13.6,36.4,,,,0.478,0.747,0.459,0.443,0.402,0.344
16,0.587,0.279,22.6,16.8,26.1,18.6,34.2,,,,0.478,0.747,0.459,0.443,0.402,0.344
16,0.574,0.228,19.2,14.8,20.1,15.3,35.7,,,,0.478,0.747,0.459,0.443,0.402,0.344
16,0.574,0.228,19.2,14.8,17.2,13.6,36.4,,,,0.478,0.747,0.459,0.443,0.402,0.344
16,0.574,0.228,19.2,14.8,26.1,18.6,34.2,,,,0.478,0.747,0.459,0.443,0.402,0.344
16,0.607,0.356,30.3,21.3,20.1,15.3,35.7,,,,0.478,0.747,0.459,0.443,0.402,0.344
16,0.607,0.356,30.3,21.3,17.2,13.6,36.4,,,,0.478,0.747,0.459,0.443,0.402,0.344
16,0.607,0.356,30.3,21.3,26.1,18.6,34.2,,,,0.478,0.747,0.459,0.443,0.402,0.344
21,0.587,0.279,22.6,16.8,20.1,15.3,35.7,,,,0.469,0.711,0.451,0.461,0.439,0.344
21,0.587,0.279,22.6,16.8,17.2,13.6,36.4,,,,0.469,0.711,0.451,0.461,0.439,0.344
21,0.587,0.279,22.6,16.8,26.1,18.6,34.2,,,,0.469,0.711,0.451,0.461,0.439,0.344
21,0.574,0.228,19.2,14.8,20.1,15.3,35.7,,,,0.469,0.711,0.451,0.461,0.439,0.344
21,0.574,0.228,19.2,14.8,17.2,13.6,36.4,,,,0.469,0.711,0.451,0.461,0.439,0.344
21,0.574,0.228,19.2,14.8,26.1,18.6,34.2,,,,0.469,0.711,0.451,0.461,0.439,0.344
21,0.607,0.356,30.3,21.3,20.1,15.3,35.7,,,,0.469,0.711,0.451,0.461,0.439,0.344
21,0.607,0.356,30.3,21.3,17.2,13.6,36.4,,,,0.469,0.711,0.451,0.461,0.439,0.344
21,0.607,0.356,30.3,21.3,26.1,18.6,34.2,,,,0.469,0.711,0.451,0.461,0.439,0.344
14,0.587,0.279,22.6,16.8,20.1,15.3,35.7,,,,0.491,0.682,0.453,0.443,0.368,0.379
14,0.587,0.279,22.6,16.8,17.2,13.6,36.4,,,,0.491,0.682,0.453,0.443,0.368,0.379
14,0.587,0.279,22.6,16.8,26.1,18.6,34.2,,,,0.491,0.682,0.453,0.443,0.368,0.379
14,0.574,0.228,19.2,14.8,20.1,15.3,35.7,,,,0.491,0.682,0.453,0.443,0.368,0.379
14,0.574,0.228,19.2,14.8,17.2,13.6,36.4,,,,0.491,0.682,0.453,0.443,0.368,0.379
14,0.574,0.228,19.2,14.8,26.1,18.6,34.2,,,,0.491,0.682,0.453,0.443,0.368,0.379
14,0.607,0.356,30.3,21.3,20.1,15.3,35.7,,,,0.491,0.682,0.453,0.443,0.368,0.379
14,0.607,0.356,30.3,21.3,17.2,13.6,36.4,,,,0.491,0.682,0.453,0.443,0.368,0.379
14,0.607,0.356,30.3,21.3,26.1,18.6,34.2,,,,0.491,0.682,0.453,0.443,0.368,0.379
15,0.587,0.279,22.6,16.8,20.1,15.3,35.7,,,,0.492,0.733,0.475,0.462,0.392,0.373
15,0.587,0.279,22.6,16.8,17.2,13.6,36.4,,,,0.492,0.733,0.475,0.462,0.392,0.373
15,0.587,0.279,22.6,16.8,26.1,18.6,34.2,,,,0.492,0.733,0.475,0.462,0.392,0.373
15,0.574,0.228,19.2,14.8,20.1,15.3,35.7,,,,0.492,0.733,0.475,0.462,0.392,0.373
15,0.574,0.228,19.2,14.8,17.2,13.6,36.4,,,,0.492,0.733,0.475,0.462,0.392,0.373
15,0.574,0.228,19.2,14.8,26.1,18.6,34.2,,,,0.492,0.733,0.475,0.462,0.392,0.373
15,0.607,0.356,30.3,21.3,20.1,15.3,35.7,,,,0.492,0.733,0.475,0.462,0.392,0.373
15,0.607,0.356,30.3,21.3,17.2,13.6,36.4,,,,0.492,0.733,0.475,0.462,0.392,0.373
15,0.607,0.356,30.3,21.3,26.1,18.6,34.2,,,,0.492,0.733,0.475,0.462,0.392,0.373
10,0.587,0.279,22.6,16.8,20.1,15.3,35.7,,,,0.468,0.661,0.42,0.424,0.422,0.368
10,0.587,0.279,22.6,16.8,17.2,13.6,36.4,,,,0.468,0.661,0.42,0.424,0.422,0.368
10,0.587,0.279,22.6,16.8,26.1,18.6,34.2,,,,0.468,0.661,0.42,0.424,0.422,0.368
10,0.574,0.228,19.2,14.8,20.1,15.3,35.7,,,,0.468,0.661,0.42,0.424,0.422,0.368
10,0.574,0.228,19.2,14.8,17.2,13.6,36.4,,,,0.468,0.661,0.42,0.424,0.422,0.368
10,0.574,0.228,19.2,14.8,26.1,18.6,34.2,,,,0.468,0.661,0.42,0.424,0.422,0.368
10,0.607,0.356,30.3,21.3,20.1,15.3,35.7,,,,0.468,0.661,0.42,0.424,0.422,0.368
10,0.607,0.356,30.3,21.3,17.2,13.6,36.4,,,,0.468,0.661,0.42,0.424,0.422,0.368
10,0.607,0.356,30.3,21.3,26.1,18.6,34.2,,,,0.468,0.661,0.42,0.424,0.422,0.368
22,0.587,0.279,22.6,16.8,20.1,15.3,35.7,,,,0.472,0.749,0.468,0.407,0.416,0.339
22,0.587,0.279,22.6,16.8,17.2,13.6,36.4,,,,0.472,0.749,0.468,0.407,0.416,0.339
22,0.587,0.279,22.6,16.8,26.1,18.6,34.2,,,,0.472,0.749,0.468,0.407,0.416,0.339
22,0.574,0.228,19.2,14.8,20.1,15.3,35.7,,,,0.472,0.749,0.468,0.407,0.416,0.339
22,0.574,0.228,19.2,14.8,17.2,13.6,36.4,,,,0.472,0.749,0.468,0.407,0.416,0.339
22,0.574,0.228,19.2,14.8,26.1,18.6,34.2,,,,0.472,0.749,0.468,0.407,0.416,0.339
22,0.607,0.356,30.3,21.3,20.1,15.3,35.7,,,,0.472,0.749,0.468,0.407,0.416,0.339
