final_PTS,TS%,FTr,USG%,PER,avg_PTS,FGA,MP,ORtg,eFG%_2,Pace,Opponent_FG%,Range_0-3_Made,Range_3-10_Made,Range_10-16_Made,Range_16-3P_Made,3P_Made
0,0.367,0.0,19.2,10.3,2.2,3.0,6.8,115.5,0.565,97.1,0.463,0.693,0.468,0.44,0.467,0.345
0,0.367,0.0,19.2,10.3,2.0,1.0,3.7,115.5,0.565,97.1,0.463,0.693,0.468,0.44,0.467,0.345
0,0.367,0.0,19.2,10.3,2.5,6.0,11.5,115.5,0.565,97.1,0.463,0.693,0.468,0.44,0.467,0.345
0,1.0,0.0,11.6,28.9,2.2,3.0,6.8,115.5,0.565,97.1,0.463,0.693,0.468,0.44,0.467,0.345
0,1.0,0.0,11.6,28.9,2.0,1.0,3.7,115.5,0.565,97.1,0.463,0.693,0.468,0.44,0.467,0.345
0,1.0,0.0,11.6,28.9,2.5,6.0,11.5,115.5,0.565,97.1,0.463,0.693,0.468,0.44,0.467,0.345
0,0.208,0.0,22.8,1.5,2.2,3.0,6.8,115.5,0.565,97.1,0.463,0.693,0.468,0.44,0.467,0.345
0,0.208,0.0,22.8,1.5,2.0,1.0,3.7,115.5,0.565,97.1,0.463,0.693,0.468,0.44,0.467,0.345
0,0.208,0.0,22.8,1.5,2.5,6.0,11.5,115.5,0.565,97.1,0.463,0.693,0.468,0.44,0.467,0.345
0,0.367,0.0,19.2,10.3,2.2,3.0,6.8,115.5,0.565,97.1,0.485,0.668,0.473,0.439,0.395,0.373
0,0.367,0.0,19.2,10.3,2.0,1.0,3.7,115.5,0.565,97.1,0.485,0.668,0.473,0.439,0.395,0.373
0,0.367,0.0,19.2,10.3,2.5,6.0,11.5,115.5,0.565,97.1,0.485,0.668,0.473,0.439,0.395,0.373
0,1.0,0.0,11.6,28.9,2.2,3.0,6.8,115.5,0.565,97.1,0.485,0.668,0.473,0.439,0.395,0.373
0,1.0,0.0,11.6,28.9,2.0,1.0,3.7,115.5,0.565,97.1,0.485,0.668,0.473,0.439,0.395,0.373
0,1.0,0.0,11.6,28.9,2.5,6.0,11.5,115.5,0.565,97.1,0.485,0.668,0.473,0.439,0.395,0.373
