final_PTS,TS%,FTr,USG%,PER,avg_PTS,FGA,MP,ORtg,eFG%_2,Pace,Opponent_FG%,Range_0-3_Made,Range_3-10_Made,Range_10-16_Made,Range_16-3P_Made,3P_Made
9,0.514,0.134,21.1,10.3,6.3,5.8,15.0,115.5,0.565,97.1,0.473,0.717,0.459,0.442,0.387,0.366
9,0.514,0.134,21.1,10.3,6.4,5.9,15.4,115.5,0.565,97.1,0.473,0.717,0.459,0.442,0.387,0.366
9,0.514,0.134,21.1,10.3,5.6,5.1,11.9,115.5,0.565,97.1,0.473,0.717,0.459,0.442,0.387,0.366
9,0.514,0.137,21.0,10.2,6.3,5.8,15.0,115.5,0.565,97.1,0.473,0.717,0.459,0.442,0.387,0.366
9,0.514,0.137,21.0,10.2,6.4,5.9,15.4,115.5,0.565,97.1,0.473,0.717,0.459,0.442,0.387,0.366
9,0.514,0.137,21.0,10.2,5.6,5.1,11.9,115.5,0.565,97.1,0.473,0.717,0.459,0.442,0.387,0.366
9,0.516,0.111,22.7,11.4,6.3,5.8,15.0,115.5,0.565,97.1,0.473,0.717,0.459,0.442,0.387,0.366
9,0.516,0.111,22.7,11.4,6.4,5.9,15.4,115.5,0.565,97.1,0.473,0.717,0.459,0.442,0.387,0.366
9,0.516,0.111,22.7,11.4,5.6,5.1,11.9,115.5,0.565,97.1,0.473,0.717,0.459,0.442,0.387,0.366
5,0.514,0.134,21.1,10.3,6.3,5.8,15.0,115.5,0.565,97.1,0.463,0.693,0.468,0.44,0.467,0.345
5,0.514,0.134,21.1,10.3,6.4,5.9,15.4,115.5,0.565,97.1,0.463,0.693,0.468,0.44,0.467,0.345
5,0.514,0.134,21.1,10.3,5.6,5.1,11.9,115.5,0.565,97.1,0.463,0.693,0.468,0.44,0.467,0.345
5,0.514,0.137,21.0,10.2,6.3,5.8,15.0,115.5,0.565,97.1,0.463,0.693,0.468,0.44,0.467,0.345
5,0.514,0.137,21.0,10.2,6.4,5.9,15.4,115.5,0.565,97.1,0.463,0.693,0.468,0.44,0.467,0.345
5,0.514,0.137,21.0,10.2,5.6,5.1,11.9,115.5,0.565,97.1,0.463,0.693,0.468,0.44,0.467,0.345
5,0.516,0.111,22.7,11.4,6.3,5.8,15.0,115.5,0.565,97.1,0.463,0.693,0.468,0.44,0.467,0.345
5,0.516,0.111,22.7,11.4,6.4,5.9,15.4,115.5,0.565,97.1,0.463,0.693,0.468,0.44,0.467,0.345
5,0.516,0.111,22.7,11.4,5.6,5.1,11.9,115.5,0.565,97.1,0.463,0.693,0.468,0.44,0.467,0.345
2,0.514,0.134,21.1,10.3,6.3,5.8,15.0,115.5,0.565,97.1,0.485,0.717,0.46,0.468,0.451,0.352
2,0.514,0.134,21.1,10.3,6.4,5.9,15.4,115.5,0.565,97.1,0.485,0.717,0.46,0.468,0.451,0.352
2,0.514,0.134,21.1,10.3,5.6,5.1,11.9,115.5,0.565,97.1,0.485,0.717,0.46,0.468,0.451,0.352
2,0.514,0.137,21.0,10.2,6.3,5.8,15.0,115.5,0.565,97.1,0.485,0.717,0.46,0.468,0.451,0.352
