final_PTS,TS%,FTr,USG%,PER,avg_PTS,FGA,MP,ORtg,eFG%_2,Pace,Opponent_FG%,Range_0-3_Made,Range_3-10_Made,Range_10-16_Made,Range_16-3P_Made,3P_Made
9,0.497,0.218,20.1,8.3,3.7,3.4,9.9,,,,0.482,0.741,0.48,0.435,0.399,0.374
0,0.497,0.218,20.1,8.3,3.7,3.4,9.9,,,,0.489,0.724,0.491,0.42,0.44,0.36
10,0.497,0.218,20.1,8.3,3.7,3.4,9.9,,,,0.491,0.715,0.454,0.485,0.402,0.374
6,0.497,0.218,20.1,8.3,3.7,3.4,9.9,,,,0.473,0.725,0.424,0.422,0.414,0.348
18,0.497,0.218,20.1,8.3,3.7,3.4,9.9,,,,0.476,0.736,0.471,0.478,0.39,0.351
0,0.497,0.218,20.1,8.3,3.7,3.4,9.9,,,,0.453,0.651,0.421,0.398,0.421,0.355
2,0.497,0.218,20.1,8.3,3.7,3.4,9.9,,,,0.485,0.668,0.473,0.439,0.395,0.373
7,0.497,0.218,20.1,8.3,3.7,3.4,9.9,,,,0.456,0.691,0.415,0.452,0.389,0.354
6,0.497,0.218,20.1,8.3,3.7,3.4,9.9,,,,0.507,0.698,0.48,0.467,0.462,0.391
5,0.497,0.218,20.1,8.3,3.7,3.4,9.9,,,,0.491,0.682,0.453,0.443,0.368,0.379
3,0.497,0.218,20.1,8.3,3.7,3.4,9.9,,,,0.468,0.685,0.434,0.437,0.391,0.357
13,0.497,0.218,20.1,8.3,3.7,3.4,9.9,,,,0.474,0.694,0.452,0.483,0.414,0.358
0,0.497,0.218,20.1,8.3,3.7,3.4,9.9,,,,0.472,0.749,0.468,0.407,0.416,0.339
0,0.497,0.218,20.1,8.3,3.7,3.4,9.9,,,,0.507,0.698,0.48,0.467,0.462,0.391
13,0.497,0.218,20.1,8.3,3.7,3.4,9.9,,,,0.463,0.693,0.468,0.44,0.467,0.345
0,0.497,0.218,20.1,8.3,3.7,3.4,9.9,,,,0.473,0.717,0.459,0.442,0.387,0.366
0,0.497,0.218,20.1,8.3,3.7,3.4,9.9,,,,0.482,0.729,0.502,0.452,0.385,0.367
3,0.497,0.218,20.1,8.3,3.7,3.4,9.9,,,,0.492,0.733,0.475,0.462,0.392,0.373
2,0.497,0.218,20.1,8.3,3.7,3.4,9.9,,,,0.473,0.717,0.459,0.442,0.387,0.366
3,0.497,0.218,20.1,8.3,3.7,3.4,9.9,,,,0.463,0.693,0.468,0.44,0.467,0.345
4,0.497,0.218,20.1,8.3,3.7,3.4,9.9,,,,0.491,0.715,0.454,0.485,0.402,0.374
0,0.497,0.218,20.1,8.3,3.7,3.4,9.9,,,,0.468,0.661,0.42,0.424,0.422,0.368
