final_PTS,TS%,FTr,USG%,PER,avg_PTS,FGA,MP,ORtg,eFG%_2,Pace,Opponent_FG%,Range_0-3_Made,Range_3-10_Made,Range_10-16_Made,Range_16-3P_Made,3P_Made
8,0.502,0.161,12.7,8.4,2.8,2.6,10.7,,,,0.469,0.703,0.504,0.431,0.415,0.364
8,0.502,0.161,12.7,8.4,1.1,1.7,5.6,,,,0.469,0.703,0.504,0.431,0.415,0.364
8,0.502,0.161,12.7,8.4,3.9,3.1,13.9,,,,0.469,0.703,0.504,0.431,0.415,0.364
8,0.301,0.083,16.2,2.4,2.8,2.6,10.7,,,,0.469,0.703,0.504,0.431,0.415,0.364
8,0.301,0.083,16.2,2.4,1.1,1.7,5.6,,,,0.469,0.703,0.504,0.431,0.415,0.364
8,0.301,0.083,16.2,2.4,3.9,3.1,13.9,,,,0.469,0.703,0.504,0.431,0.415,0.364
8,0.569,0.188,11.7,10.0,2.8,2.6,10.7,,,,0.469,0.703,0.504,0.431,0.415,0.364
8,0.569,0.188,11.7,10.0,1.1,1.7,5.6,,,,0.469,0.703,0.504,0.431,0.415,0.364
8,0.569,0.188,11.7,10.0,3.9,3.1,13.9,,,,0.469,0.703,0.504,0.431,0.415,0.364
0,0.502,0.161,12.7,8.4,2.8,2.6,10.7,,,,0.463,0.693,0.468,0.44,0.467,0.345
0,0.502,0.161,12.7,8.4,1.1,1.7,5.6,,,,0.463,0.693,0.468,0.44,0.467,0.345
0,0.502,0.161,12.7,8.4,3.9,3.1,13.9,,,,0.463,0.693,0.468,0.44,0.467,0.345
0,0.301,0.083,16.2,2.4,2.8,2.6,10.7,,,,0.463,0.693,0.468,0.44,0.467,0.345
0,0.301,0.083,16.2,2.4,1.1,1.7,5.6,,,,0.463,0.693,0.468,0.44,0.467,0.345
0,0.301,0.083,16.2,2.4,3.9,3.1,13.9,,,,0.463,0.693,0.468,0.44,0.467,0.345
0,0.569,0.188,11.7,10.0,2.8,2.6,10.7,,,,0.463,0.693,0.468,0.44,0.467,0.345
0,0.569,0.188,11.7,10.0,1.1,1.7,5.6,,,,0.463,0.693,0.468,0.44,0.467,0.345
0,0.569,0.188,11.7,10.0,3.9,3.1,13.9,,,,0.463,0.693,0.468,0.44,0.467,0.345
17,0.502,0.161,12.7,8.4,2.8,2.6,10.7,,,,0.491,0.715,0.454,0.485,0.402,0.374
17,0.502,0.161,12.7,8.4,1.1,1.7,5.6,,,,0.491,0.715,0.454,0.485,0.402,0.374
17,0.502,0.161,12.7,8.4,3.9,3.1,13.9,,,,0.491,0.715,0.454,0.485,0.402,0.374
17,0.301,0.083,16.2,2.4,2.8,2.6,10.7,,,,0.491,0.715,0.454,0.485,0.402,0.374
17,0.301,0.083,16.2,2.4,1.1,1.7,5.6,,,,0.491,0.715,0.454,0.485,0.402,0.374
17,0.301,0.083,16.2,2.4,3.9,3.1,13.9,,,,0.491,0.715,0.454,0.485,0.402,0.374
17,0.569,0.188,11.7,10.0,2.8,2.6,10.7,,,,0.491,0.715,0.454,0.485,0.402,0.374
17,0.569,0.188,11.7,10.0,1.1,1.7,5.6,,,,0.491,0.715,0.454,0.485,0.402,0.374
17,0.569,0.188,11.7,10.0,3.9,3.1,13.9,,,,0.491,0.715,0.454,0.485,0.402,0.374
9,0.502,0.161,12.7,8.4,2.8,2.6,10.7,,,,0.473,0.725,0.424,0.422,0.414,0.348
9,0.502,0.161,12.7,8.4,1.1,1.7,5.6,,,,0.473,0.725,0.424,0.422,0.414,0.348
9,0.502,0.161,12.7,8.4,3.9,3.1,13.9,,,,0.473,0.725,0.424,0.422,0.414,0.348
9,0.301,0.083,16.2,2.4,2.8,2.6,10.7,,,,0.473,0.725,0.424,0.422,0.414,0.348
9,0.301,0.083,16.2,2.4,1.1,1.7,5.6,,,,0.473,0.725,0.424,0.422,0.414,0.348
9,0.301,0.083,16.2,2.4,3.9,3.1,13.9,,,,0.473,0.725,0.424,0.422,0.414,0.348
9,0.569,0.188,11.7,10.0,2.8,2.6,10.7,,,,0.473,0.725,0.424,0.422,0.414,0.348
9,0.569,0.188,11.7,10.0,1.1,1.7,5.6,,,,0.473,0.725,0.424,0.422,0.414,0.348
9,0.569,0.188,11.7,10.0,3.9,3.1,13.9,,,,0.473,0.725,0.424,0.422,0.414,0.348
9,0.502,0.161,12.7,8.4,2.8,2.6,10.7,,,,0.476,0.736,0.471,0.478,0.39,0.351
9,0.502,0.161,12.7,8.4,1.1,1.7,5.6,,,,0.476,0.736,0.471,0.478,0.39,0.351
9,0.502,0.161,12.7,8.4,3.9,3.1,13.9,,,,0.476,0.736,0.471,0.478,0.39,0.351
9,0.301,0.083,16.2,2.4,2.8,2.6,10.7,,,,0.476,0.736,0.471,0.478,0.39,0.351
9,0.301,0.083,16.2,2.4,1.1,1.7,5.6,,,,0.476,0.736,0.471,0.478,0.39,0.351
9,0.301,0.083,16.2,2.4,3.9,3.1,13.9,,,,0.476,0.736,0.471,0.478,0.39,0.351
9,0.569,0.188,11.7,10.0,2.8,2.6,10.7,,,,0.476,0.736,0.471,0.478,0.39,0.351
9,0.569,0.188,11.7,10.0,1.1,1.7,5.6,,,,0.476,0.736,0.471,0.478,0.39,0.351
9,0.569,0.188,11.7,10.0,3.9,3.1,13.9,,,,0.476,0.736,0.471,0.478,0.39,0.351
0,0.502,0.161,12.7,8.4,2.8,2.6,10.7,,,,0.456,0.691,0.415,0.452,0.389,0.354
0,0.502,0.161,12.7,8.4,1.1,1.7,5.6,,,,0.456,0.691,0.415,0.452,0.389,0.354
0,0.502,0.161,12.7,8.4,3.9,3.1,13.9,,,,0.456,0.691,0.415,0.452,0.389,0.354
0,0.301,0.083,16.2,2.4,2.8,2.6,10.7,,,,0.456,0.691,0.415,0.452,0.389,0.354
0,0.301,0.083,16.2,2.4,1.1,1.7,5.6,,,,0.456,0.691,0.415,0.452,0.389,0.354
0,0.301,0.083,16.2,2.4,3.9,3.1,13.9,,,,0.456,0.691,0.415,0.452,0.389,0.354
0,0.569,0.188,11.7,10.0,2.8,2.6,10.7,,,,0.456,0.691,0.415,0.452,0.389,0.354
0,0.569,0.188,11.7,10.0,1.1,1.7,5.6,,,,0.456,0.691,0.415,0.452,0.389,0.354
0,0.569,0.188,11.7,10.0,3.9,3.1,13.9,,,,0.456,0.691,0.415,0.452,0.389,0.354
6,0.502,0.161,12.7,8.4,2.8,2.6,10.7,,,,0.507,0.698,0.48,0.467,0.462,0.391
6,0.502,0.161,12.7,8.4,1.1,1.7,5.6,,,,0.507,0.698,0.48,0.467,0.462,0.391
6,0.502,0.161,12.7,8.4,3.9,3.1,13.9,,,,0.507,0.698,0.48,0.467,0.462,0.391
6,0.301,0.083,16.2,2.4,2.8,2.6,10.7,,,,0.507,0.698,0.48,0.467,0.462,0.391
6,0.301,0.083,16.2,2.4,1.1,1.7,5.6,,,,0.507,0.698,0.48,0.467,0.462,0.391
6,0.301,0.083,16.2,2.4,3.9,3.1,13.9,,,,0.507,0.698,0.48,0.467,0.462,0.391
6,0.569,0.188,11.7,10.0,2.8,2.6,10.7,,,,0.507,0.698,0.48,0.467,0.462,0.391
6,0.569,0.188,11.7,10.0,1.1,1.7,5.6,,,,0.507,0.698,0.48,0.467,0.462,0.391
6,0.569,0.188,11.7,10.0,3.9,3.1,13.9,,,,0.507,0.698,0.48,0.467,0.462,0.391
5,0.502,0.161,12.7,8.4,2.8,2.6,10.7,,,,0.491,0.682,0.453,0.443,0.368,0.379
5,0.502,0.161,12.7,8.4,1.1,1.7,5.6,,,,0.491,0.682,0.453,0.443,0.368,0.379
5,0.502,0.161,12.7,8.4,3.9,3.1,13.9,,,,0.491,0.682,0.453,0.443,0.368,0.379
5,0.301,0.083,16.2,2.4,2.8,2.6,10.7,,,,0.491,0.682,0.453,0.443,0.368,0.379
5,0.301,0.083,16.2,2.4,1.1,1.7,5.6,,,,0.491,0.682,0.453,0.443,0.368,0.379
5,0.301,0.083,16.2,2.4,3.9,3.1,13.9,,,,0.491,0.682,0.453,0.443,0.368,0.379
5,0.569,0.188,11.7,10.0,2.8,2.6,10.7,,,,0.491,0.682,0.453,0.443,0.368,0.379
5,0.569,0.188,11.7,10.0,1.1,1.7,5.6,,,,0.491,0.682,0.453,0.443,0.368,0.379
5,0.569,0.188,11.7,10.0,3.9,3.1,13.9,,,,0.491,0.682,0.453,0.443,0.368,0.379
9,0.502,0.161,12.7,8.4,2.8,2.6,10.7,,,,0.468,0.685,0.434,0.437,0.391,0.357
9,0.502,0.161,12.7,8.4,1.1,1.7,5.6,,,,0.468,0.685,0.434,0.437,0.391,0.357
9,0.502,0.161,12.7,8.4,3.9,3.1,13.9,,,,0.468,0.685,0.434,0.437,0.391,0.357
9,0.301,0.083,16.2,2.4,2.8,2.6,10.7,,,,0.468,0.685,0.434,0.437,0.391,0.357
9,0.301,0.083,16.2,2.4,1.1,1.7,5.6,,,,0.468,0.685,0.434,0.437,0.391,0.357
9,0.301,0.083,16.2,2.4,3.9,3.1,13.9,,,,0.468,0.685,0.434,0.437,0.391,0.357
9,0.569,0.188,11.7,10.0,2.8,2.6,10.7,,,,0.468,0.685,0.434,0.437,0.391,0.357
9,0.569,0.188,11.7,10.0,1.1,1.7,5.6,,,,0.468,0.685,0.434,0.437,0.391,0.357
9,0.569,0.188,11.7,10.0,3.9,3.1,13.9,,,,0.468,0.685,0.434,0.437,0.391,0.357
9,0.502,0.161,12.7,8.4,2.8,2.6,10.7,,,,0.474,0.694,0.452,0.483,0.414,0.358
9,0.502,0.161,12.7,8.4,1.1,1.7,5.6,,,,0.474,0.694,0.452,0.483,0.414,0.358
9,0.502,0.161,12.7,8.4,3.9,3.1,13.9,,,,0.474,0.694,0.452,0.483,0.414,0.358
9,0.301,0.083,16.2,2.4,2.8,2.6,10.7,,,,0.474,0.694,0.452,0.483,0.414,0.358
9,0.301,0.083,16.2,2.4,1.1,1.7,5.6,,,,0.474,0.694,0.452,0.483,0.414,0.358
9,0.301,0.083,16.2,2.4,3.9,3.1,13.9,,,,0.474,0.694,0.452,0.483,0.414,0.358
9,0.569,0.188,11.7,10.0,2.8,2.6,10.7,,,,0.474,0.694,0.452,0.483,0.414,0.358
9,0.569,0.188,11.7,10.0,1.1,1.7,5.6,,,,0.474,0.694,0.452,0.483,0.414,0.358
9,0.569,0.188,11.7,10.0,3.9,3.1,13.9,,,,0.474,0.694,0.452,0.483,0.414,0.358
16,0.502,0.161,12.7,8.4,2.8,2.6,10.7,,,,0.472,0.749,0.468,0.407,0.416,0.339
16,0.502,0.161,12.7,8.4,1.1,1.7,5.6,,,,0.472,0.749,0.468,0.407,0.416,0.339
16,0.502,0.161,12.7,8.4,3.9,3.1,13.9,,,,0.472,0.749,0.468,0.407,0.416,0.339
16,0.301,0.083,16.2,2.4,2.8,2.6,10.7,,,,0.472,0.749,0.468,0.407,0.416,0.339
16,0.301,0.083,16.2,2.4,1.1,1.7,5.6,,,,0.472,0.749,0.468,0.407,0.416,0.339
16,0.301,0.083,16.2,2.4,3.9,3.1,13.9,,,,0.472,0.749,0.468,0.407,0.416,0.339
16,0.569,0.188,11.7,10.0,2.8,2.6,10.7,,,,0.472,0.749,0.468,0.407,0.416,0.339
16,0.569,0.188,11.7,10.0,1.1,1.7,5.6,,,,0.472,0.749,0.468,0.407,0.416,0.339
16,0.569,0.188,11.7,10.0,3.9,3.1,13.9,,,,0.472,0.749,0.468,0.407,0.416,0.339
11,0.502,0.161,12.7,8.4,2.8,2.6,10.7,,,,0.468,0.661,0.42,0.424,0.422,0.368
11,0.502,0.161,12.7,8.4,1.1,1.7,5.6,,,,0.468,0.661,0.42,0.424,0.422,0.368
11,0.502,0.161,12.7,8.4,3.9,3.1,13.9,,,,0.468,0.661,0.42,0.424,0.422,0.368
11,0.301,0.083,16.2,2.4,2.8,2.6,10.7,,,,0.468,0.661,0.42,0.424,0.422,0.368
11,0.301,0.083,16.2,2.4,1.1,1.7,5.6,,,,0.468,0.661,0.42,0.424,0.422,0.368
11,0.301,0.083,16.2,2.4,3.9,3.1,13.9,,,,0.468,0.661,0.42,0.424,0.422,0.368
11,0.569,0.188,11.7,10.0,2.8,2.6,10.7,,,,0.468,0.661,0.42,0.424,0.422,0.368
11,0.569,0.188,11.7,10.0,1.1,1.7,5.6,,,,0.468,0.661,0.42,0.424,0.422,0.368
11,0.569,0.188,11.7,10.0,3.9,3.1,13.9,,,,0.468,0.661,0.42,0.424,0.422,0.368
5,0.502,0.161,12.7,8.4,2.8,2.6,10.7,,,,0.473,0.717,0.459,0.442,0.387,0.366
5,0.502,0.161,12.7,8.4,1.1,1.7,5.6,,,,0.473,0.717,0.459,0.442,0.387,0.366
5,0.502,0.161,12.7,8.4,3.9,3.1,13.9,,,,0.473,0.717,0.459,0.442,0.387,0.366
5,0.301,0.083,16.2,2.4,2.8,2.6,10.7,,,,0.473,0.717,0.459,0.442,0.387,0.366
5,0.301,0.083,16.2,2.4,1.1,1.7,5.6,,,,0.473,0.717,0.459,0.442,0.387,0.366
5,0.301,0.083,16.2,2.4,3.9,3.1,13.9,,,,0.473,0.717,0.459,0.442,0.387,0.366
5,0.569,0.188,11.7,10.0,2.8,2.6,10.7,,,,0.473,0.717,0.459,0.442,0.387,0.366
5,0.569,0.188,11.7,10.0,1.1,1.7,5.6,,,,0.473,0.717,0.459,0.442,0.387,0.366
5,0.569,0.188,11.7,10.0,3.9,3.1,13.9,,,,0.473,0.717,0.459,0.442,0.387,0.366
5,0.502,0.161,12.7,8.4,2.8,2.6,10.7,,,,0.507,0.698,0.48,0.467,0.462,0.391
5,0.502,0.161,12.7,8.4,1.1,1.7,5.6,,,,0.507,0.698,0.48,0.467,0.462,0.391
5,0.502,0.161,12.7,8.4,3.9,3.1,13.9,,,,0.507,0.698,0.48,0.467,0.462,0.391
5,0.301,0.083,16.2,2.4,2.8,2.6,10.7,,,,0.507,0.698,0.48,0.467,0.462,0.391
5,0.301,0.083,16.2,2.4,1.1,1.7,5.6,,,,0.507,0.698,0.48,0.467,0.462,0.391
5,0.301,0.083,16.2,2.4,3.9,3.1,13.9,,,,0.507,0.698,0.48,0.467,0.462,0.391
5,0.569,0.188,11.7,10.0,2.8,2.6,10.7,,,,0.507,0.698,0.48,0.467,0.462,0.391
5,0.569,0.188,11.7,10.0,1.1,1.7,5.6,,,,0.507,0.698,0.48,0.467,0.462,0.391
5,0.569,0.188,11.7,10.0,3.9,3.1,13.9,,,,0.507,0.698,0.48,0.467,0.462,0.391
15,0.502,0.161,12.7,8.4,2.8,2.6,10.7,,,,0.471,0.699,0.408,0.437,0.374,0.369
15,0.502,0.161,12.7,8.4,1.1,1.7,5.6,,,,0.471,0.699,0.408,0.437,0.374,0.369
15,0.502,0.161,12.7,8.4,3.9,3.1,13.9,,,,0.471,0.699,0.408,0.437,0.374,0.369
15,0.301,0.083,16.2,2.4,2.8,2.6,10.7,,,,0.471,0.699,0.408,0.437,0.374,0.369
15,0.301,0.083,16.2,2.4,1.1,1.7,5.6,,,,0.471,0.699,0.408,0.437,0.374,0.369
15,0.301,0.083,16.2,2.4,3.9,3.1,13.9,,,,0.471,0.699,0.408,0.437,0.374,0.369
15,0.569,0.188,11.7,10.0,2.8,2.6,10.7,,,,0.471,0.699,0.408,0.437,0.374,0.369
15,0.569,0.188,11.7,10.0,1.1,1.7,5.6,,,,0.471,0.699,0.408,0.437,0.374,0.369
15,0.569,0.188,11.7,10.0,3.9,3.1,13.9,,,,0.471,0.699,0.408,0.437,0.374,0.369
5,0.502,0.161,12.7,8.4,2.8,2.6,10.7,,,,0.469,0.711,0.451,0.461,0.439,0.344
5,0.502,0.161,12.7,8.4,1.1,1.7,5.6,,,,0.469,0.711,0.451,0.461,0.439,0.344
5,0.502,0.161,12.7,8.4,3.9,3.1,13.9,,,,0.469,0.711,0.451,0.461,0.439,0.344
5,0.301,0.083,16.2,2.4,2.8,2.6,10.7,,,,0.469,0.711,0.451,0.461,0.439,0.344
5,0.301,0.083,16.2,2.4,1.1,1.7,5.6,,,,0.469,0.711,0.451,0.461,0.439,0.344
5,0.301,0.083,16.2,2.4,3.9,3.1,13.9,,,,0.469,0.711,0.451,0.461,0.439,0.344
5,0.569,0.188,11.7,10.0,2.8,2.6,10.7,,,,0.469,0.711,0.451,0.461,0.439,0.344
5,0.569,0.188,11.7,10.0,1.1,1.7,5.6,,,,0.469,0.711,0.451,0.461,0.439,0.344
5,0.569,0.188,11.7,10.0,3.9,3.1,13.9,,,,0.469,0.711,0.451,0.461,0.439,0.344
9,0.502,0.161,12.7,8.4,2.8,2.6,10.7,,,,0.478,0.747,0.459,0.443,0.402,0.344
9,0.502,0.161,12.7,8.4,1.1,1.7,5.6,,,,0.478,0.747,0.459,0.443,0.402,0.344
9,0.502,0.161,12.7,8.4,3.9,3.1,13.9,,,,0.478,0.747,0.459,0.443,0.402,0.344
9,0.301,0.083,16.2,2.4,2.8,2.6,10.7,,,,0.478,0.747,0.459,0.443,0.402,0.344
9,0.301,0.083,16.2,2.4,1.1,1.7,5.6,,,,0.478,0.747,0.459,0.443,0.402,0.344
9,0.301,0.083,16.2,2.4,3.9,3.1,13.9,,,,0.478,0.747,0.459,0.443,0.402,0.344
9,0.569,0.188,11.7,10.0,2.8,2.6,10.7,,,,0.478,0.747,0.459,0.443,0.402,0.344
9,0.569,0.188,11.7,10.0,1.1,1.7,5.6,,,,0.478,0.747,0.459,0.443,0.402,0.344
9,0.569,0.188,11.7,10.0,3.9,3.1,13.9,,,,0.478,0.747,0.459,0.443,0.402,0.344
4,0.502,0.161,12.7,8.4,2.8,2.6,10.7,,,,0.469,0.703,0.504,0.431,0.415,0.364
4,0.502,0.161,12.7,8.4,1.1,1.7,5.6,,,,0.469,0.703,0.504,0.431,0.415,0.364
4,0.502,0.161,12.7,8.4,3.9,3.1,13.9,,,,0.469,0.703,0.504,0.431,0.415,0.364
4,0.301,0.083,16.2,2.4,2.8,2.6,10.7,,,,0.469,0.703,0.504,0.431,0.415,0.364
4,0.301,0.083,16.2,2.4,1.1,1.7,5.6,,,,0.469,0.703,0.504,0.431,0.415,0.364
4,0.301,0.083,16.2,2.4,3.9,3.1,13.9,,,,0.469,0.703,0.504,0.431,0.415,0.364
4,0.569,0.188,11.7,10.0,2.8,2.6,10.7,,,,0.469,0.703,0.504,0.431,0.415,0.364
4,0.569,0.188,11.7,10.0,1.1,1.7,5.6,,,,0.469,0.703,0.504,0.431,0.415,0.364
4,0.569,0.188,11.7,10.0,3.9,3.1,13.9,,,,0.469,0.703,0.504,0.431,0.415,0.364
13,0.502,0.161,12.7,8.4,2.8,2.6,10.7,,,,0.466,0.689,0.433,0.451,0.4,0.357
13,0.502,0.161,12.7,8.4,1.1,1.7,5.6,,,,0.466,0.689,0.433,0.451,0.4,0.357
13,0.502,0.161,12.7,8.4,3.9,3.1,13.9,,,,0.466,0.689,0.433,0.451,0.4,0.357
