final_PTS,TS%,FTr,USG%,PER,avg_PTS,FGA,MP,ORtg,eFG%_2,Pace,Opponent_FG%,Range_0-3_Made,Range_3-10_Made,Range_10-16_Made,Range_16-3P_Made,3P_Made
10,0.564,0.211,21.3,16.6,14.0,11.3,29.6,111.6,0.55,99.3,0.485,0.668,0.473,0.439,0.395,0.373
11,0.564,0.211,21.3,16.6,14.0,11.3,29.6,111.6,0.55,99.3,0.485,0.668,0.473,0.439,0.395,0.373
6,0.564,0.211,21.3,16.6,14.0,11.3,29.6,111.6,0.55,99.3,0.453,0.651,0.421,0.398,0.421,0.355
11,0.564,0.211,21.3,16.6,14.0,11.3,29.6,111.6,0.55,99.3,0.466,0.689,0.433,0.451,0.4,0.357
14,0.564,0.211,21.3,16.6,14.0,11.3,29.6,111.6,0.55,99.3,0.471,0.699,0.408,0.437,0.374,0.369
8,0.564,0.211,21.3,16.6,14.0,11.3,29.6,111.6,0.55,99.3,0.473,0.725,0.424,0.422,0.414,0.348
5,0.564,0.211,21.3,16.6,14.0,11.3,29.6,111.6,0.55,99.3,0.463,0.679,0.406,0.403,0.385,0.367
11,0.564,0.211,21.3,16.6,14.0,11.3,29.6,111.6,0.55,99.3,0.489,0.724,0.491,0.42,0.44,0.36
4,0.564,0.211,21.3,16.6,14.0,11.3,29.6,111.6,0.55,99.3,0.474,0.694,0.452,0.483,0.414,0.358
8,0.564,0.211,21.3,16.6,14.0,11.3,29.6,111.6,0.55,99.3,0.469,0.703,0.504,0.431,0.415,0.364
16,0.564,0.211,21.3,16.6,14.0,11.3,29.6,111.6,0.55,99.3,0.492,0.733,0.475,0.462,0.392,0.373
11,0.564,0.211,21.3,16.6,14.0,11.3,29.6,111.6,0.55,99.3,0.468,0.661,0.42,0.424,0.422,0.368
19,0.564,0.211,21.3,16.6,14.0,11.3,29.6,111.6,0.55,99.3,0.473,0.717,0.459,0.442,0.387,0.366
12,0.564,0.211,21.3,16.6,14.0,11.3,29.6,111.6,0.55,99.3,0.491,0.715,0.454,0.485,0.402,0.374
11,0.564,0.211,21.3,16.6,14.0,11.3,29.6,111.6,0.55,99.3,0.462,0.666,0.417,0.468,0.431,0.357
16,0.564,0.211,21.3,16.6,14.0,11.3,29.6,111.6,0.55,99.3,0.468,0.661,0.42,0.424,0.422,0.368
12,0.564,0.211,21.3,16.6,14.0,11.3,29.6,111.6,0.55,99.3,0.468,0.685,0.434,0.437,0.391,0.357
10,0.564,0.211,21.3,16.6,14.0,11.3,29.6,111.6,0.55,99.3,0.482,0.729,0.502,0.452,0.385,0.367
