final_PTS,TS%,FTr,USG%,PER,avg_PTS,FGA,MP,ORtg,eFG%_2,Pace,Opponent_FG%,Range_0-3_Made,Range_3-10_Made,Range_10-16_Made,Range_16-3P_Made,3P_Made
0,0.626,0.323,14.1,14.4,5.5,3.8,15.1,,,,0.474,0.716,0.441,0.463,0.388,0.365
7,0.626,0.323,14.1,14.4,5.5,3.8,15.1,115.0,0.543,98.0,0.463,0.679,0.406,0.403,0.385,0.367
2,0.626,0.323,14.1,14.4,5.5,3.8,15.1,115.0,0.543,98.0,0.471,0.699,0.408,0.437,0.374,0.369
0,0.626,0.323,14.1,14.4,5.5,3.8,15.1,115.0,0.543,98.0,0.466,0.689,0.433,0.451,0.4,0.357
2,0.626,0.323,14.1,14.4,5.5,3.8,15.1,115.0,0.543,98.0,0.453,0.651,0.421,0.398,0.421,0.355
0,0.626,0.323,14.1,14.4,5.5,3.8,15.1,115.0,0.543,98.0,0.486,0.689,0.445,0.458,0.446,0.356
3,0.626,0.323,14.1,14.4,5.5,3.8,15.1,115.0,0.543,98.0,0.472,0.749,0.468,0.407,0.416,0.339
3,0.626,0.323,14.1,14.4,5.5,3.8,15.1,114.5,0.535,101.3,0.474,0.716,0.441,0.463,0.388,0.365
1,0.626,0.323,14.1,14.4,5.5,3.8,15.1,114.5,0.535,101.3,0.482,0.741,0.48,0.435,0.399,0.374
5,0.626,0.323,14.1,14.4,5.5,3.8,15.1,114.5,0.535,101.3,0.473,0.717,0.459,0.442,0.387,0.366
5,0.626,0.323,14.1,14.4,5.5,3.8,15.1,114.5,0.535,101.3,0.466,0.689,0.433,0.451,0.4,0.357
2,0.626,0.323,14.1,14.4,5.5,3.8,15.1,114.5,0.535,101.3,0.491,0.715,0.454,0.485,0.402,0.374
10,0.626,0.323,14.1,14.4,5.5,3.8,15.1,114.5,0.535,101.3,0.471,0.699,0.408,0.437,0.374,0.369
17,0.626,0.323,14.1,14.4,5.5,3.8,15.1,114.5,0.535,101.3,0.491,0.715,0.454,0.485,0.402,0.374
4,0.626,0.323,14.1,14.4,5.5,3.8,15.1,114.5,0.535,101.3,0.473,0.717,0.459,0.442,0.387,0.366
9,0.626,0.323,14.1,14.4,5.5,3.8,15.1,114.5,0.535,101.3,0.468,0.661,0.42,0.424,0.422,0.368
8,0.626,0.323,14.1,14.4,5.5,3.8,15.1,114.5,0.535,101.3,0.473,0.725,0.424,0.422,0.414,0.348
4,0.626,0.323,14.1,14.4,5.5,3.8,15.1,114.5,0.535,101.3,0.472,0.749,0.468,0.407,0.416,0.339
8,0.626,0.323,14.1,14.4,5.5,3.8,15.1,114.5,0.535,101.3,0.485,0.717,0.46,0.468,0.451,0.352
7,0.626,0.323,14.1,14.4,5.5,3.8,15.1,114.5,0.535,101.3,0.473,0.696,0.462,0.457,0.454,0.361
2,0.626,0.323,14.1,14.4,5.5,3.8,15.1,114.5,0.535,101.3,0.472,0.749,0.468,0.407,0.416,0.339
4,0.626,0.323,14.1,14.4,5.5,3.8,15.1,114.5,0.535,101.3,0.478,0.747,0.459,0.443,0.402,0.344
2,0.626,0.323,14.1,14.4,5.5,3.8,15.1,114.5,0.535,101.3,0.466,0.689,0.433,0.451,0.4,0.357
6,0.626,0.323,14.1,14.4,5.5,3.8,15.1,114.5,0.535,101.3,0.469,0.703,0.504,0.431,0.415,0.364
16,0.626,0.323,14.1,14.4,5.5,3.8,15.1,114.5,0.535,101.3,0.474,0.694,0.452,0.483,0.414,0.358
14,0.626,0.323,14.1,14.4,5.5,3.8,15.1,114.5,0.535,101.3,0.478,0.747,0.459,0.443,0.402,0.344
