final_PTS,TS%,FTr,USG%,PER,avg_PTS,FGA,MP,ORtg,eFG%_2,Pace,Opponent_FG%,Range_0-3_Made,Range_3-10_Made,Range_10-16_Made,Range_16-3P_Made,3P_Made
4,0.569,0.266,10.5,12.9,3.0,2.4,12.9,111.4,0.564,99.0,0.471,0.699,0.408,0.437,0.374,0.369
0,0.569,0.266,10.5,12.9,3.0,2.4,12.9,111.4,0.564,99.0,0.474,0.694,0.452,0.483,0.414,0.358
0,0.569,0.266,10.5,12.9,3.0,2.4,12.9,111.4,0.564,99.0,0.473,0.696,0.462,0.457,0.454,0.361
0,0.569,0.266,10.5,12.9,3.0,2.4,12.9,111.4,0.564,99.0,0.469,0.711,0.451,0.461,0.439,0.344
3,0.569,0.266,10.5,12.9,3.0,2.4,12.9,111.4,0.564,99.0,0.469,0.703,0.504,0.431,0.415,0.364
0,0.569,0.266,10.5,12.9,3.0,2.4,12.9,111.4,0.564,99.0,0.466,0.689,0.433,0.451,0.4,0.357
5,0.569,0.266,10.5,12.9,3.0,2.4,12.9,111.4,0.564,99.0,0.453,0.651,0.421,0.398,0.421,0.355
3,0.569,0.266,10.5,12.9,3.0,2.4,12.9,111.4,0.564,99.0,0.468,0.661,0.42,0.424,0.422,0.368
0,0.569,0.266,10.5,12.9,3.0,2.4,12.9,111.4,0.564,99.0,0.462,0.666,0.417,0.468,0.431,0.357
0,0.569,0.266,10.5,12.9,3.0,2.4,12.9,111.4,0.564,99.0,0.489,0.724,0.491,0.42,0.44,0.36
0,0.569,0.266,10.5,12.9,3.0,2.4,12.9,111.4,0.564,99.0,0.468,0.685,0.434,0.437,0.391,0.357
0,0.569,0.266,10.5,12.9,3.0,2.4,12.9,111.4,0.564,99.0,0.456,0.691,0.415,0.452,0.389,0.354
2,0.569,0.266,10.5,12.9,3.0,2.4,12.9,111.4,0.564,99.0,0.468,0.685,0.434,0.437,0.391,0.357
2,0.569,0.266,10.5,12.9,3.0,2.4,12.9,111.4,0.564,99.0,0.478,0.747,0.459,0.443,0.402,0.344
0,0.569,0.266,10.5,12.9,3.0,2.4,12.9,111.4,0.564,99.0,0.473,0.725,0.424,0.422,0.414,0.348
3,0.569,0.266,10.5,12.9,3.0,2.4,12.9,111.4,0.564,99.0,0.472,0.749,0.468,0.407,0.416,0.339
0,0.569,0.266,10.5,12.9,3.0,2.4,12.9,111.4,0.564,99.0,0.485,0.717,0.46,0.468,0.451,0.352
5,0.569,0.266,10.5,12.9,3.0,2.4,12.9,111.4,0.564,99.0,0.507,0.698,0.48,0.467,0.462,0.391
8,0.569,0.266,10.5,12.9,3.0,2.4,12.9,111.4,0.564,99.0,0.492,0.733,0.475,0.462,0.392,0.373
0,0.569,0.266,10.5,12.9,3.0,2.4,12.9,111.4,0.564,99.0,0.492,0.733,0.475,0.462,0.392,0.373
6,0.569,0.266,10.5,12.9,3.0,2.4,12.9,111.4,0.564,99.0,0.471,0.699,0.408,0.437,0.374,0.369
2,0.569,0.266,10.5,12.9,3.0,2.4,12.9,111.4,0.564,99.0,0.463,0.679,0.406,0.403,0.385,0.367
5,0.569,0.266,10.5,12.9,3.0,2.4,12.9,111.4,0.564,99.0,0.491,0.715,0.454,0.485,0.402,0.374
0,0.569,0.266,10.5,12.9,3.0,2.4,12.9,111.4,0.564,99.0,0.486,0.689,0.445,0.458,0.446,0.356
