final_PTS,TS%,FTr,USG%,PER,avg_PTS,FGA,MP,ORtg,eFG%_2,Pace,Opponent_FG%,Range_0-3_Made,Range_3-10_Made,Range_10-16_Made,Range_16-3P_Made,3P_Made
15,0.587,0.265,17.8,11.8,12.4,9.5,28.5,111.4,0.564,99.0,0.471,0.699,0.408,0.437,0.374,0.369
15,0.587,0.265,17.8,11.8,13.1,10.2,30.2,111.4,0.564,99.0,0.471,0.699,0.408,0.437,0.374,0.369
15,0.587,0.265,17.8,11.8,11.0,8.0,24.9,111.4,0.564,99.0,0.471,0.699,0.408,0.437,0.374,0.369
15,0.572,0.282,18.1,11.4,12.4,9.5,28.5,111.4,0.564,99.0,0.471,0.699,0.408,0.437,0.374,0.369
15,0.572,0.282,18.1,11.4,13.1,10.2,30.2,111.4,0.564,99.0,0.471,0.699,0.408,0.437,0.374,0.369
15,0.572,0.282,18.1,11.4,11.0,8.0,24.9,111.4,0.564,99.0,0.471,0.699,0.408,0.437,0.374,0.369
15,0.629,0.217,17.0,13.1,12.4,9.5,28.5,111.4,0.564,99.0,0.471,0.699,0.408,0.437,0.374,0.369
15,0.629,0.217,17.0,13.1,13.1,10.2,30.2,111.4,0.564,99.0,0.471,0.699,0.408,0.437,0.374,0.369
15,0.629,0.217,17.0,13.1,11.0,8.0,24.9,111.4,0.564,99.0,0.471,0.699,0.408,0.437,0.374,0.369
22,0.587,0.265,17.8,11.8,12.4,9.5,28.5,111.4,0.564,99.0,0.474,0.694,0.452,0.483,0.414,0.358
22,0.587,0.265,17.8,11.8,13.1,10.2,30.2,111.4,0.564,99.0,0.474,0.694,0.452,0.483,0.414,0.358
22,0.587,0.265,17.8,11.8,11.0,8.0,24.9,111.4,0.564,99.0,0.474,0.694,0.452,0.483,0.414,0.358
22,0.572,0.282,18.1,11.4,12.4,9.5,28.5,111.4,0.564,99.0,0.474,0.694,0.452,0.483,0.414,0.358
22,0.572,0.282,18.1,11.4,13.1,10.2,30.2,111.4,0.564,99.0,0.474,0.694,0.452,0.483,0.414,0.358
22,0.572,0.282,18.1,11.4,11.0,8.0,24.9,111.4,0.564,99.0,0.474,0.694,0.452,0.483,0.414,0.358
22,0.629,0.217,17.0,13.1,12.4,9.5,28.5,111.4,0.564,99.0,0.474,0.694,0.452,0.483,0.414,0.358
22,0.629,0.217,17.0,13.1,13.1,10.2,30.2,111.4,0.564,99.0,0.474,0.694,0.452,0.483,0.414,0.358
22,0.629,0.217,17.0,13.1,11.0,8.0,24.9,111.4,0.564,99.0,0.474,0.694,0.452,0.483,0.414,0.358
2,0.587,0.265,17.8,11.8,12.4,9.5,28.5,111.4,0.564,99.0,0.463,0.693,0.468,0.44,0.467,0.345
2,0.587,0.265,17.8,11.8,13.1,10.2,30.2,111.4,0.564,99.0,0.463,0.693,0.468,0.44,0.467,0.345
2,0.587,0.265,17.8,11.8,11.0,8.0,24.9,111.4,0.564,99.0,0.463,0.693,0.468,0.44,0.467,0.345
2,0.572,0.282,18.1,11.4,12.4,9.5,28.5,111.4,0.564,99.0,0.463,0.693,0.468,0.44,0.467,0.345
2,0.572,0.282,18.1,11.4,13.1,10.2,30.2,111.4,0.564,99.0,0.463,0.693,0.468,0.44,0.467,0.345
2,0.572,0.282,18.1,11.4,11.0,8.0,24.9,111.4,0.564,99.0,0.463,0.693,0.468,0.44,0.467,0.345
2,0.629,0.217,17.0,13.1,12.4,9.5,28.5,111.4,0.564,99.0,0.463,0.693,0.468,0.44,0.467,0.345
2,0.629,0.217,17.0,13.1,13.1,10.2,30.2,111.4,0.564,99.0,0.463,0.693,0.468,0.44,0.467,0.345
2,0.629,0.217,17.0,13.1,11.0,8.0,24.9,111.4,0.564,99.0,0.463,0.693,0.468,0.44,0.467,0.345
22,0.587,0.265,17.8,11.8,12.4,9.5,28.5,111.4,0.564,99.0,0.485,0.717,0.46,0.468,0.451,0.352
22,0.587,0.265,17.8,11.8,13.1,10.2,30.2,111.4,0.564,99.0,0.485,0.717,0.46,0.468,0.451,0.352
22,0.587,0.265,17.8,11.8,11.0,8.0,24.9,111.4,0.564,99.0,0.485,0.717,0.46,0.468,0.451,0.352
22,0.572,0.282,18.1,11.4,12.4,9.5,28.5,111.4,0.564,99.0,0.485,0.717,0.46,0.468,0.451,0.352
22,0.572,0.282,18.1,11.4,13.1,10.2,30.2,111.4,0.564,99.0,0.485,0.717,0.46,0.468,0.451,0.352
22,0.572,0.282,18.1,11.4,11.0,8.0,24.9,111.4,0.564,99.0,0.485,0.717,0.46,0.468,0.451,0.352
22,0.629,0.217,17.0,13.1,12.4,9.5,28.5,111.4,0.564,99.0,0.485,0.717,0.46,0.468,0.451,0.352
