final_PTS,TS%,FTr,USG%,PER,avg_PTS,FGA,MP,ORtg,eFG%_2,Pace,Opponent_FG%,Range_0-3_Made,Range_3-10_Made,Range_10-16_Made,Range_16-3P_Made,3P_Made
6,0.556,0.204,20.2,13.2,11.2,9.3,23.3,114.4,0.54,98.6,0.476,0.736,0.471,0.478,0.39,0.351
6,0.556,0.204,20.2,13.2,13.0,10.8,24.3,114.4,0.54,98.6,0.476,0.736,0.471,0.478,0.39,0.351
6,0.556,0.204,20.2,13.2,9.6,7.9,22.4,114.4,0.54,98.6,0.476,0.736,0.471,0.478,0.39,0.351
6,0.558,0.179,23.0,13.6,11.2,9.3,23.3,114.4,0.54,98.6,0.476,0.736,0.471,0.478,0.39,0.351
6,0.558,0.179,23.0,13.6,13.0,10.8,24.3,114.4,0.54,98.6,0.476,0.736,0.471,0.478,0.39,0.351
6,0.558,0.179,23.0,13.6,9.6,7.9,22.4,114.4,0.54,98.6,0.476,0.736,0.471,0.478,0.39,0.351
6,0.553,0.235,17.4,12.7,11.2,9.3,23.3,114.4,0.54,98.6,0.476,0.736,0.471,0.478,0.39,0.351
6,0.553,0.235,17.4,12.7,13.0,10.8,24.3,114.4,0.54,98.6,0.476,0.736,0.471,0.478,0.39,0.351
6,0.553,0.235,17.4,12.7,9.6,7.9,22.4,114.4,0.54,98.6,0.476,0.736,0.471,0.478,0.39,0.351
7,0.556,0.204,20.2,13.2,11.2,9.3,23.3,114.4,0.54,98.6,0.474,0.694,0.452,0.483,0.414,0.358
7,0.556,0.204,20.2,13.2,13.0,10.8,24.3,114.4,0.54,98.6,0.474,0.694,0.452,0.483,0.414,0.358
7,0.556,0.204,20.2,13.2,9.6,7.9,22.4,114.4,0.54,98.6,0.474,0.694,0.452,0.483,0.414,0.358
7,0.558,0.179,23.0,13.6,11.2,9.3,23.3,114.4,0.54,98.6,0.474,0.694,0.452,0.483,0.414,0.358
7,0.558,0.179,23.0,13.6,13.0,10.8,24.3,114.4,0.54,98.6,0.474,0.694,0.452,0.483,0.414,0.358
7,0.558,0.179,23.0,13.6,9.6,7.9,22.4,114.4,0.54,98.6,0.474,0.694,0.452,0.483,0.414,0.358
7,0.553,0.235,17.4,12.7,11.2,9.3,23.3,114.4,0.54,98.6,0.474,0.694,0.452,0.483,0.414,0.358
7,0.553,0.235,17.4,12.7,13.0,10.8,24.3,114.4,0.54,98.6,0.474,0.694,0.452,0.483,0.414,0.358
7,0.553,0.235,17.4,12.7,9.6,7.9,22.4,114.4,0.54,98.6,0.474,0.694,0.452,0.483,0.414,0.358
3,0.556,0.204,20.2,13.2,11.2,9.3,23.3,114.4,0.54,98.6,0.476,0.736,0.471,0.478,0.39,0.351
3,0.556,0.204,20.2,13.2,13.0,10.8,24.3,114.4,0.54,98.6,0.476,0.736,0.471,0.478,0.39,0.351
3,0.556,0.204,20.2,13.2,9.6,7.9,22.4,114.4,0.54,98.6,0.476,0.736,0.471,0.478,0.39,0.351
3,0.558,0.179,23.0,13.6,11.2,9.3,23.3,114.4,0.54,98.6,0.476,0.736,0.471,0.478,0.39,0.351
3,0.558,0.179,23.0,13.6,13.0,10.8,24.3,114.4,0.54,98.6,0.476,0.736,0.471,0.478,0.39,0.351
3,0.558,0.179,23.0,13.6,9.6,7.9,22.4,114.4,0.54,98.6,0.476,0.736,0.471,0.478,0.39,0.351
3,0.553,0.235,17.4,12.7,11.2,9.3,23.3,114.4,0.54,98.6,0.476,0.736,0.471,0.478,0.39,0.351
3,0.553,0.235,17.4,12.7,13.0,10.8,24.3,114.4,0.54,98.6,0.476,0.736,0.471,0.478,0.39,0.351
3,0.553,0.235,17.4,12.7,9.6,7.9,22.4,114.4,0.54,98.6,0.476,0.736,0.471,0.478,0.39,0.351
5,0.556,0.204,20.2,13.2,11.2,9.3,23.3,114.4,0.54,98.6,0.491,0.682,0.453,0.443,0.368,0.379
5,0.556,0.204,20.2,13.2,13.0,10.8,24.3,114.4,0.54,98.6,0.491,0.682,0.453,0.443,0.368,0.379
5,0.556,0.204,20.2,13.2,9.6,7.9,22.4,114.4,0.54,98.6,0.491,0.682,0.453,0.443,0.368,0.379
5,0.558,0.179,23.0,13.6,11.2,9.3,23.3,114.4,0.54,98.6,0.491,0.682,0.453,0.443,0.368,0.379
5,0.558,0.179,23.0,13.6,13.0,10.8,24.3,114.4,0.54,98.6,0.491,0.682,0.453,0.443,0.368,0.379
5,0.558,0.179,23.0,13.6,9.6,7.9,22.4,114.4,0.54,98.6,0.491,0.682,0.453,0.443,0.368,0.379
5,0.553,0.235,17.4,12.7,11.2,9.3,23.3,114.4,0.54,98.6,0.491,0.682,0.453,0.443,0.368,0.379
