final_PTS,TS%,FTr,USG%,PER,avg_PTS,FGA,MP,ORtg,eFG%_2,Pace,Opponent_FG%,Range_0-3_Made,Range_3-10_Made,Range_10-16_Made,Range_16-3P_Made,3P_Made
9,0.621,0.064,14.3,10.6,7.6,5.9,20.6,,,,0.456,0.691,0.415,0.452,0.389,0.354
14,0.621,0.064,14.3,10.6,7.6,5.9,20.6,,,,0.473,0.725,0.424,0.422,0.414,0.348
7,0.621,0.064,14.3,10.6,7.6,5.9,20.6,,,,0.468,0.685,0.434,0.437,0.391,0.357
11,0.621,0.064,14.3,10.6,7.6,5.9,20.6,,,,0.473,0.717,0.459,0.442,0.387,0.366
15,0.621,0.064,14.3,10.6,7.6,5.9,20.6,,,,0.482,0.729,0.502,0.452,0.385,0.367
9,0.621,0.064,14.3,10.6,7.6,5.9,20.6,,,,0.485,0.668,0.473,0.439,0.395,0.373
12,0.621,0.064,14.3,10.6,7.6,5.9,20.6,,,,0.489,0.724,0.491,0.42,0.44,0.36
18,0.621,0.064,14.3,10.6,7.6,5.9,20.6,,,,0.486,0.689,0.445,0.458,0.446,0.356
7,0.621,0.064,14.3,10.6,7.6,5.9,20.6,,,,0.489,0.724,0.491,0.42,0.44,0.36
11,0.621,0.064,14.3,10.6,7.6,5.9,20.6,,,,0.491,0.715,0.454,0.485,0.402,0.374
9,0.621,0.064,14.3,10.6,7.6,5.9,20.6,,,,0.468,0.685,0.434,0.437,0.391,0.357
9,0.621,0.064,14.3,10.6,7.6,5.9,20.6,,,,0.476,0.736,0.471,0.478,0.39,0.351
24,0.621,0.064,14.3,10.6,7.6,5.9,20.6,,,,0.472,0.749,0.468,0.407,0.416,0.339
3,0.621,0.064,14.3,10.6,7.6,5.9,20.6,,,,0.474,0.694,0.452,0.483,0.414,0.358
