final_PTS,TS%,FTr,USG%,PER,avg_PTS,FGA,MP,ORtg,eFG%_2,Pace,Opponent_FG%,Range_0-3_Made,Range_3-10_Made,Range_10-16_Made,Range_16-3P_Made,3P_Made
27,0.563,0.274,20.0,13.5,14.7,11.6,31.5,,,,0.485,0.668,0.473,0.439,0.395,0.373
18,0.563,0.274,20.0,13.5,14.7,11.6,31.5,,,,0.468,0.661,0.42,0.424,0.422,0.368
8,0.563,0.274,20.0,13.5,14.7,11.6,31.5,,,,0.463,0.679,0.406,0.403,0.385,0.367
15,0.563,0.274,20.0,13.5,14.7,11.6,31.5,,,,0.463,0.693,0.468,0.44,0.467,0.345
24,0.563,0.274,20.0,13.5,14.7,11.6,31.5,,,,0.476,0.736,0.471,0.478,0.39,0.351
23,0.563,0.274,20.0,13.5,14.7,11.6,31.5,,,,0.482,0.729,0.502,0.452,0.385,0.367
12,0.563,0.274,20.0,13.5,14.7,11.6,31.5,,,,0.491,0.682,0.453,0.443,0.368,0.379
6,0.563,0.274,20.0,13.5,14.7,11.6,31.5,,,,0.468,0.661,0.42,0.424,0.422,0.368
23,0.563,0.274,20.0,13.5,14.7,11.6,31.5,,,,0.469,0.703,0.504,0.431,0.415,0.364
25,0.563,0.274,20.0,13.5,14.7,11.6,31.5,,,,0.492,0.733,0.475,0.462,0.392,0.373
15,0.563,0.274,20.0,13.5,14.7,11.6,31.5,,,,0.474,0.716,0.441,0.463,0.388,0.365
21,0.563,0.274,20.0,13.5,14.7,11.6,31.5,,,,0.469,0.711,0.451,0.461,0.439,0.344
25,0.563,0.274,20.0,13.5,14.7,11.6,31.5,,,,0.453,0.651,0.421,0.398,0.421,0.355
22,0.563,0.274,20.0,13.5,14.7,11.6,31.5,,,,0.462,0.666,0.417,0.468,0.431,0.357
10,0.563,0.274,20.0,13.5,14.7,11.6,31.5,,,,0.469,0.703,0.504,0.431,0.415,0.364
8,0.563,0.274,20.0,13.5,14.7,11.6,31.5,,,,0.473,0.717,0.459,0.442,0.387,0.366
25,0.563,0.274,20.0,13.5,14.7,11.6,31.5,,,,0.485,0.668,0.473,0.439,0.395,0.373
11,0.563,0.274,20.0,13.5,14.7,11.6,31.5,,,,0.486,0.689,0.445,0.458,0.446,0.356
16,0.563,0.274,20.0,13.5,14.7,11.6,31.5,,,,0.473,0.717,0.459,0.442,0.387,0.366
1,0.563,0.274,20.0,13.5,14.7,11.6,31.5,,,,0.476,0.736,0.471,0.478,0.39,0.351
18,0.563,0.274,20.0,13.5,14.7,11.6,31.5,,,,0.471,0.699,0.408,0.437,0.374,0.369
21,0.563,0.274,20.0,13.5,14.7,11.6,31.5,,,,0.482,0.741,0.48,0.435,0.399,0.374
22,0.563,0.274,20.0,13.5,14.7,11.6,31.5,,,,0.468,0.685,0.434,0.437,0.391,0.357
18,0.563,0.274,20.0,13.5,14.7,11.6,31.5,,,,0.456,0.691,0.415,0.452,0.389,0.354
18,0.563,0.274,20.0,13.5,14.7,11.6,31.5,,,,0.486,0.689,0.445,0.458,0.446,0.356
12,0.563,0.274,20.0,13.5,14.7,11.6,31.5,,,,0.473,0.725,0.424,0.422,0.414,0.348
31,0.563,0.274,20.0,13.5,14.7,11.6,31.5,,,,0.473,0.725,0.424,0.422,0.414,0.348
19,0.563,0.274,20.0,13.5,14.7,11.6,31.5,,,,0.492,0.733,0.475,0.462,0.392,0.373
17,0.563,0.274,20.0,13.5,14.7,11.6,31.5,,,,0.485,0.717,0.46,0.468,0.451,0.352
41,0.563,0.274,20.0,13.5,14.7,11.6,31.5,,,,0.507,0.698,0.48,0.467,0.462,0.391
6,0.563,0.274,20.0,13.5,14.7,11.6,31.5,,,,0.491,0.682,0.453,0.443,0.368,0.379
9,0.563,0.274,20.0,13.5,14.7,11.6,31.5,,,,0.466,0.689,0.433,0.451,0.4,0.357
6,0.563,0.274,20.0,13.5,14.7,11.6,31.5,,,,0.478,0.747,0.459,0.443,0.402,0.344
10,0.563,0.274,20.0,13.5,14.7,11.6,31.5,,,,0.482,0.741,0.48,0.435,0.399,0.374
18,0.563,0.274,20.0,13.5,14.7,11.6,31.5,,,,0.485,0.668,0.473,0.439,0.395,0.373
8,0.563,0.274,20.0,13.5,14.7,11.6,31.5,,,,0.466,0.689,0.433,0.451,0.4,0.357
27,0.563,0.274,20.0,13.5,14.7,11.6,31.5,,,,0.473,0.717,0.459,0.442,0.387,0.366
19,0.563,0.274,20.0,13.5,14.7,11.6,31.5,,,,0.489,0.724,0.491,0.42,0.44,0.36
9,0.563,0.274,20.0,13.5,14.7,11.6,31.5,,,,0.456,0.691,0.415,0.452,0.389,0.354
14,0.563,0.274,20.0,13.5,14.7,11.6,31.5,,,,0.456,0.691,0.415,0.452,0.389,0.354
30,0.563,0.274,20.0,13.5,14.7,11.6,31.5,,,,0.473,0.725,0.424,0.422,0.414,0.348
18,0.563,0.274,20.0,13.5,14.7,11.6,31.5,,,,0.476,0.736,0.471,0.478,0.39,0.351
16,0.563,0.274,20.0,13.5,14.7,11.6,31.5,,,,0.462,0.666,0.417,0.468,0.431,0.357
5,0.563,0.274,20.0,13.5,14.7,11.6,31.5,,,,0.463,0.693,0.468,0.44,0.467,0.345
16,0.563,0.274,20.0,13.5,14.7,11.6,31.5,,,,0.474,0.694,0.452,0.483,0.414,0.358
7,0.563,0.274,20.0,13.5,14.7,11.6,31.5,,,,0.468,0.661,0.42,0.424,0.422,0.368
0,0.563,0.274,20.0,13.5,14.7,11.6,31.5,,,,0.482,0.729,0.502,0.452,0.385,0.367
3,0.563,0.274,20.0,13.5,14.7,11.6,31.5,,,,0.491,0.715,0.454,0.485,0.402,0.374
5,0.563,0.274,20.0,13.5,14.7,11.6,31.5,,,,0.473,0.725,0.424,0.422,0.414,0.348
