final_PTS,TS%,FTr,USG%,PER,avg_PTS,FGA,MP,ORtg,eFG%_2,Pace,Opponent_FG%,Range_0-3_Made,Range_3-10_Made,Range_10-16_Made,Range_16-3P_Made,3P_Made
7,0.684,0.102,14.5,13.0,9.3,6.5,22.3,115.0,0.543,98.0,0.469,0.703,0.504,0.431,0.415,0.364
7,0.684,0.102,14.5,13.0,7.8,6.0,20.7,115.0,0.543,98.0,0.469,0.703,0.504,0.431,0.415,0.364
7,0.684,0.102,14.5,13.0,11.3,7.1,24.6,115.0,0.543,98.0,0.469,0.703,0.504,0.431,0.415,0.364
7,0.623,0.095,15.0,10.5,9.3,6.5,22.3,115.0,0.543,98.0,0.469,0.703,0.504,0.431,0.415,0.364
7,0.623,0.095,15.0,10.5,7.8,6.0,20.7,115.0,0.543,98.0,0.469,0.703,0.504,0.431,0.415,0.364
7,0.623,0.095,15.0,10.5,11.3,7.1,24.6,115.0,0.543,98.0,0.469,0.703,0.504,0.431,0.415,0.364
7,0.758,0.111,13.7,16.0,9.3,6.5,22.3,115.0,0.543,98.0,0.469,0.703,0.504,0.431,0.415,0.364
7,0.758,0.111,13.7,16.0,7.8,6.0,20.7,115.0,0.543,98.0,0.469,0.703,0.504,0.431,0.415,0.364
7,0.758,0.111,13.7,16.0,11.3,7.1,24.6,115.0,0.543,98.0,0.469,0.703,0.504,0.431,0.415,0.364
10,0.684,0.102,14.5,13.0,9.3,6.5,22.3,115.0,0.543,98.0,0.453,0.651,0.421,0.398,0.421,0.355
10,0.684,0.102,14.5,13.0,7.8,6.0,20.7,115.0,0.543,98.0,0.453,0.651,0.421,0.398,0.421,0.355
10,0.684,0.102,14.5,13.0,11.3,7.1,24.6,115.0,0.543,98.0,0.453,0.651,0.421,0.398,0.421,0.355
10,0.623,0.095,15.0,10.5,9.3,6.5,22.3,115.0,0.543,98.0,0.453,0.651,0.421,0.398,0.421,0.355
10,0.623,0.095,15.0,10.5,7.8,6.0,20.7,115.0,0.543,98.0,0.453,0.651,0.421,0.398,0.421,0.355
10,0.623,0.095,15.0,10.5,11.3,7.1,24.6,115.0,0.543,98.0,0.453,0.651,0.421,0.398,0.421,0.355
10,0.758,0.111,13.7,16.0,9.3,6.5,22.3,115.0,0.543,98.0,0.453,0.651,0.421,0.398,0.421,0.355
10,0.758,0.111,13.7,16.0,7.8,6.0,20.7,115.0,0.543,98.0,0.453,0.651,0.421,0.398,0.421,0.355
10,0.758,0.111,13.7,16.0,11.3,7.1,24.6,115.0,0.543,98.0,0.453,0.651,0.421,0.398,0.421,0.355
23,0.684,0.102,14.5,13.0,9.3,6.5,22.3,115.0,0.543,98.0,0.491,0.682,0.453,0.443,0.368,0.379
23,0.684,0.102,14.5,13.0,7.8,6.0,20.7,115.0,0.543,98.0,0.491,0.682,0.453,0.443,0.368,0.379
23,0.684,0.102,14.5,13.0,11.3,7.1,24.6,115.0,0.543,98.0,0.491,0.682,0.453,0.443,0.368,0.379
23,0.623,0.095,15.0,10.5,9.3,6.5,22.3,115.0,0.543,98.0,0.491,0.682,0.453,0.443,0.368,0.379
23,0.623,0.095,15.0,10.5,7.8,6.0,20.7,115.0,0.543,98.0,0.491,0.682,0.453,0.443,0.368,0.379
23,0.623,0.095,15.0,10.5,11.3,7.1,24.6,115.0,0.543,98.0,0.491,0.682,0.453,0.443,0.368,0.379
23,0.758,0.111,13.7,16.0,9.3,6.5,22.3,115.0,0.543,98.0,0.491,0.682,0.453,0.443,0.368,0.379
23,0.758,0.111,13.7,16.0,7.8,6.0,20.7,115.0,0.543,98.0,0.491,0.682,0.453,0.443,0.368,0.379
23,0.758,0.111,13.7,16.0,11.3,7.1,24.6,115.0,0.543,98.0,0.491,0.682,0.453,0.443,0.368,0.379
6,0.684,0.102,14.5,13.0,9.3,6.5,22.3,115.0,0.543,98.0,0.468,0.661,0.42,0.424,0.422,0.368
