final_PTS,TS%,FTr,USG%,PER,avg_PTS,FGA,MP,ORtg,eFG%_2,Pace,Opponent_FG%,Range_0-3_Made,Range_3-10_Made,Range_10-16_Made,Range_16-3P_Made,3P_Made
2,0.517,0.471,19.5,13.1,6.0,4.8,14.9,110.7,0.557,99.0,0.468,0.685,0.434,0.437,0.391,0.357
2,0.517,0.471,19.5,13.1,3.0,2.0,5.0,110.7,0.557,99.0,0.468,0.685,0.434,0.437,0.391,0.357
2,0.517,0.471,19.5,13.1,6.3,5.1,15.8,110.7,0.557,99.0,0.468,0.685,0.434,0.437,0.391,0.357
2,0.75,0.0,31.3,12.8,6.0,4.8,14.9,110.7,0.557,99.0,0.468,0.685,0.434,0.437,0.391,0.357
2,0.75,0.0,31.3,12.8,3.0,2.0,5.0,110.7,0.557,99.0,0.468,0.685,0.434,0.437,0.391,0.357
2,0.75,0.0,31.3,12.8,6.3,5.1,15.8,110.7,0.557,99.0,0.468,0.685,0.434,0.437,0.391,0.357
2,0.51,0.487,19.1,13.1,6.0,4.8,14.9,110.7,0.557,99.0,0.468,0.685,0.434,0.437,0.391,0.357
2,0.51,0.487,19.1,13.1,3.0,2.0,5.0,110.7,0.557,99.0,0.468,0.685,0.434,0.437,0.391,0.357
2,0.51,0.487,19.1,13.1,6.3,5.1,15.8,110.7,0.557,99.0,0.468,0.685,0.434,0.437,0.391,0.357
0,0.517,0.471,19.5,13.1,6.0,4.8,14.9,110.7,0.557,99.0,0.486,0.689,0.445,0.458,0.446,0.356
0,0.517,0.471,19.5,13.1,3.0,2.0,5.0,110.7,0.557,99.0,0.486,0.689,0.445,0.458,0.446,0.356
0,0.517,0.471,19.5,13.1,6.3,5.1,15.8,110.7,0.557,99.0,0.486,0.689,0.445,0.458,0.446,0.356
0,0.75,0.0,31.3,12.8,6.0,4.8,14.9,110.7,0.557,99.0,0.486,0.689,0.445,0.458,0.446,0.356
0,0.75,0.0,31.3,12.8,3.0,2.0,5.0,110.7,0.557,99.0,0.486,0.689,0.445,0.458,0.446,0.356
0,0.75,0.0,31.3,12.8,6.3,5.1,15.8,110.7,0.557,99.0,0.486,0.689,0.445,0.458,0.446,0.356
0,0.51,0.487,19.1,13.1,6.0,4.8,14.9,110.7,0.557,99.0,0.486,0.689,0.445,0.458,0.446,0.356
0,0.51,0.487,19.1,13.1,3.0,2.0,5.0,110.7,0.557,99.0,0.486,0.689,0.445,0.458,0.446,0.356
0,0.51,0.487,19.1,13.1,6.3,5.1,15.8,110.7,0.557,99.0,0.486,0.689,0.445,0.458,0.446,0.356
1,0.517,0.471,19.5,13.1,6.0,4.8,14.9,110.7,0.557,99.0,0.463,0.679,0.406,0.403,0.385,0.367
1,0.517,0.471,19.5,13.1,3.0,2.0,5.0,110.7,0.557,99.0,0.463,0.679,0.406,0.403,0.385,0.367
1,0.517,0.471,19.5,13.1,6.3,5.1,15.8,110.7,0.557,99.0,0.463,0.679,0.406,0.403,0.385,0.367
1,0.75,0.0,31.3,12.8,6.0,4.8,14.9,110.7,0.557,99.0,0.463,0.679,0.406,0.403,0.385,0.367
1,0.75,0.0,31.3,12.8,3.0,2.0,5.0,110.7,0.557,99.0,0.463,0.679,0.406,0.403,0.385,0.367
1,0.75,0.0,31.3,12.8,6.3,5.1,15.8,110.7,0.557,99.0,0.463,0.679,0.406,0.403,0.385,0.367
1,0.51,0.487,19.1,13.1,6.0,4.8,14.9,110.7,0.557,99.0,0.463,0.679,0.406,0.403,0.385,0.367
1,0.51,0.487,19.1,13.1,3.0,2.0,5.0,110.7,0.557,99.0,0.463,0.679,0.406,0.403,0.385,0.367
1,0.51,0.487,19.1,13.1,6.3,5.1,15.8,110.7,0.557,99.0,0.463,0.679,0.406,0.403,0.385,0.367
3,0.517,0.471,19.5,13.1,6.0,4.8,14.9,110.7,0.557,99.0,0.456,0.691,0.415,0.452,0.389,0.354
3,0.517,0.471,19.5,13.1,3.0,2.0,5.0,110.7,0.557,99.0,0.456,0.691,0.415,0.452,0.389,0.354
3,0.517,0.471,19.5,13.1,6.3,5.1,15.8,110.7,0.557,99.0,0.456,0.691,0.415,0.452,0.389,0.354
3,0.75,0.0,31.3,12.8,6.0,4.8,14.9,110.7,0.557,99.0,0.456,0.691,0.415,0.452,0.389,0.354
3,0.75,0.0,31.3,12.8,3.0,2.0,5.0,110.7,0.557,99.0,0.456,0.691,0.415,0.452,0.389,0.354
3,0.75,0.0,31.3,12.8,6.3,5.1,15.8,110.7,0.557,99.0,0.456,0.691,0.415,0.452,0.389,0.354
3,0.51,0.487,19.1,13.1,6.0,4.8,14.9,110.7,0.557,99.0,0.456,0.691,0.415,0.452,0.389,0.354
3,0.51,0.487,19.1,13.1,3.0,2.0,5.0,110.7,0.557,99.0,0.456,0.691,0.415,0.452,0.389,0.354
3,0.51,0.487,19.1,13.1,6.3,5.1,15.8,110.7,0.557,99.0,0.456,0.691,0.415,0.452,0.389,0.354
4,0.517,0.471,19.5,13.1,6.0,4.8,14.9,110.7,0.557,99.0,0.492,0.733,0.475,0.462,0.392,0.373
4,0.517,0.471,19.5,13.1,3.0,2.0,5.0,110.7,0.557,99.0,0.492,0.733,0.475,0.462,0.392,0.373
4,0.517,0.471,19.5,13.1,6.3,5.1,15.8,110.7,0.557,99.0,0.492,0.733,0.475,0.462,0.392,0.373
4,0.75,0.0,31.3,12.8,6.0,4.8,14.9,110.7,0.557,99.0,0.492,0.733,0.475,0.462,0.392,0.373
4,0.75,0.0,31.3,12.8,3.0,2.0,5.0,110.7,0.557,99.0,0.492,0.733,0.475,0.462,0.392,0.373
4,0.75,0.0,31.3,12.8,6.3,5.1,15.8,110.7,0.557,99.0,0.492,0.733,0.475,0.462,0.392,0.373
