final_PTS,TS%,FTr,USG%,PER,avg_PTS,FGA,MP,ORtg,eFG%_2,Pace,Opponent_FG%,Range_0-3_Made,Range_3-10_Made,Range_10-16_Made,Range_16-3P_Made,3P_Made
1,0.557,0.224,17.2,11.8,9.4,7.7,23.9,,,,0.485,0.668,0.473,0.439,0.395,0.373
1,0.557,0.224,17.2,11.8,10.6,8.8,26.7,,,,0.485,0.668,0.473,0.439,0.395,0.373
1,0.557,0.224,17.2,11.8,6.7,5.1,17.5,,,,0.485,0.668,0.473,0.439,0.395,0.373
1,0.551,0.211,17.5,11.6,9.4,7.7,23.9,,,,0.485,0.668,0.473,0.439,0.395,0.373
1,0.551,0.211,17.5,11.6,10.6,8.8,26.7,,,,0.485,0.668,0.473,0.439,0.395,0.373
1,0.551,0.211,17.5,11.6,6.7,5.1,17.5,,,,0.485,0.668,0.473,0.439,0.395,0.373
1,0.58,0.276,16.1,12.5,9.4,7.7,23.9,,,,0.485,0.668,0.473,0.439,0.395,0.373
1,0.58,0.276,16.1,12.5,10.6,8.8,26.7,,,,0.485,0.668,0.473,0.439,0.395,0.373
1,0.58,0.276,16.1,12.5,6.7,5.1,17.5,,,,0.485,0.668,0.473,0.439,0.395,0.373
0,0.557,0.224,17.2,11.8,9.4,7.7,23.9,,,,0.468,0.661,0.42,0.424,0.422,0.368
0,0.557,0.224,17.2,11.8,10.6,8.8,26.7,,,,0.468,0.661,0.42,0.424,0.422,0.368
0,0.557,0.224,17.2,11.8,6.7,5.1,17.5,,,,0.468,0.661,0.42,0.424,0.422,0.368
0,0.551,0.211,17.5,11.6,9.4,7.7,23.9,,,,0.468,0.661,0.42,0.424,0.422,0.368
0,0.551,0.211,17.5,11.6,10.6,8.8,26.7,,,,0.468,0.661,0.42,0.424,0.422,0.368
0,0.551,0.211,17.5,11.6,6.7,5.1,17.5,,,,0.468,0.661,0.42,0.424,0.422,0.368
0,0.58,0.276,16.1,12.5,9.4,7.7,23.9,,,,0.468,0.661,0.42,0.424,0.422,0.368
0,0.58,0.276,16.1,12.5,10.6,8.8,26.7,,,,0.468,0.661,0.42,0.424,0.422,0.368
0,0.58,0.276,16.1,12.5,6.7,5.1,17.5,,,,0.468,0.661,0.42,0.424,0.422,0.368
7,0.557,0.224,17.2,11.8,9.4,7.7,23.9,,,,0.463,0.679,0.406,0.403,0.385,0.367
7,0.557,0.224,17.2,11.8,10.6,8.8,26.7,,,,0.463,0.679,0.406,0.403,0.385,0.367
7,0.557,0.224,17.2,11.8,6.7,5.1,17.5,,,,0.463,0.679,0.406,0.403,0.385,0.367
7,0.551,0.211,17.5,11.6,9.4,7.7,23.9,,,,0.463,0.679,0.406,0.403,0.385,0.367
7,0.551,0.211,17.5,11.6,10.6,8.8,26.7,,,,0.463,0.679,0.406,0.403,0.385,0.367
7,0.551,0.211,17.5,11.6,6.7,5.1,17.5,,,,0.463,0.679,0.406,0.403,0.385,0.367
7,0.58,0.276,16.1,12.5,9.4,7.7,23.9,,,,0.463,0.679,0.406,0.403,0.385,0.367
7,0.58,0.276,16.1,12.5,10.6,8.8,26.7,,,,0.463,0.679,0.406,0.403,0.385,0.367
7,0.58,0.276,16.1,12.5,6.7,5.1,17.5,,,,0.463,0.679,0.406,0.403,0.385,0.367
13,0.557,0.224,17.2,11.8,9.4,7.7,23.9,,,,0.463,0.693,0.468,0.44,0.467,0.345
13,0.557,0.224,17.2,11.8,10.6,8.8,26.7,,,,0.463,0.693,0.468,0.44,0.467,0.345
13,0.557,0.224,17.2,11.8,6.7,5.1,17.5,,,,0.463,0.693,0.468,0.44,0.467,0.345
13,0.551,0.211,17.5,11.6,9.4,7.7,23.9,,,,0.463,0.693,0.468,0.44,0.467,0.345
13,0.551,0.211,17.5,11.6,10.6,8.8,26.7,,,,0.463,0.693,0.468,0.44,0.467,0.345
13,0.551,0.211,17.5,11.6,6.7,5.1,17.5,,,,0.463,0.693,0.468,0.44,0.467,0.345
13,0.58,0.276,16.1,12.5,9.4,7.7,23.9,,,,0.463,0.693,0.468,0.44,0.467,0.345
13,0.58,0.276,16.1,12.5,10.6,8.8,26.7,,,,0.463,0.693,0.468,0.44,0.467,0.345
13,0.58,0.276,16.1,12.5,6.7,5.1,17.5,,,,0.463,0.693,0.468,0.44,0.467,0.345
16,0.557,0.224,17.2,11.8,9.4,7.7,23.9,,,,0.476,0.736,0.471,0.478,0.39,0.351
16,0.557,0.224,17.2,11.8,10.6,8.8,26.7,,,,0.476,0.736,0.471,0.478,0.39,0.351
16,0.557,0.224,17.2,11.8,6.7,5.1,17.5,,,,0.476,0.736,0.471,0.478,0.39,0.351
16,0.551,0.211,17.5,11.6,9.4,7.7,23.9,,,,0.476,0.736,0.471,0.478,0.39,0.351
16,0.551,0.211,17.5,11.6,10.6,8.8,26.7,,,,0.476,0.736,0.471,0.478,0.39,0.351
16,0.551,0.211,17.5,11.6,6.7,5.1,17.5,,,,0.476,0.736,0.471,0.478,0.39,0.351
16,0.58,0.276,16.1,12.5,9.4,7.7,23.9,,,,0.476,0.736,0.471,0.478,0.39,0.351
16,0.58,0.276,16.1,12.5,10.6,8.8,26.7,,,,0.476,0.736,0.471,0.478,0.39,0.351
16,0.58,0.276,16.1,12.5,6.7,5.1,17.5,,,,0.476,0.736,0.471,0.478,0.39,0.351
2,0.557,0.224,17.2,11.8,9.4,7.7,23.9,,,,0.482,0.729,0.502,0.452,0.385,0.367
2,0.557,0.224,17.2,11.8,10.6,8.8,26.7,,,,0.482,0.729,0.502,0.452,0.385,0.367
2,0.557,0.224,17.2,11.8,6.7,5.1,17.5,,,,0.482,0.729,0.502,0.452,0.385,0.367
2,0.551,0.211,17.5,11.6,9.4,7.7,23.9,,,,0.482,0.729,0.502,0.452,0.385,0.367
2,0.551,0.211,17.5,11.6,10.6,8.8,26.7,,,,0.482,0.729,0.502,0.452,0.385,0.367
2,0.551,0.211,17.5,11.6,6.7,5.1,17.5,,,,0.482,0.729,0.502,0.452,0.385,0.367
2,0.58,0.276,16.1,12.5,9.4,7.7,23.9,,,,0.482,0.729,0.502,0.452,0.385,0.367
2,0.58,0.276,16.1,12.5,10.6,8.8,26.7,,,,0.482,0.729,0.502,0.452,0.385,0.367
2,0.58,0.276,16.1,12.5,6.7,5.1,17.5,,,,0.482,0.729,0.502,0.452,0.385,0.367
0,0.557,0.224,17.2,11.8,9.4,7.7,23.9,,,,0.469,0.703,0.504,0.431,0.415,0.364
0,0.557,0.224,17.2,11.8,10.6,8.8,26.7,,,,0.469,0.703,0.504,0.431,0.415,0.364
0,0.557,0.224,17.2,11.8,6.7,5.1,17.5,,,,0.469,0.703,0.504,0.431,0.415,0.364
0,0.551,0.211,17.5,11.6,9.4,7.7,23.9,,,,0.469,0.703,0.504,0.431,0.415,0.364
0,0.551,0.211,17.5,11.6,10.6,8.8,26.7,,,,0.469,0.703,0.504,0.431,0.415,0.364
0,0.551,0.211,17.5,11.6,6.7,5.1,17.5,,,,0.469,0.703,0.504,0.431,0.415,0.364
0,0.58,0.276,16.1,12.5,9.4,7.7,23.9,,,,0.469,0.703,0.504,0.431,0.415,0.364
0,0.58,0.276,16.1,12.5,10.6,8.8,26.7,,,,0.469,0.703,0.504,0.431,0.415,0.364
0,0.58,0.276,16.1,12.5,6.7,5.1,17.5,,,,0.469,0.703,0.504,0.431,0.415,0.364
7,0.557,0.224,17.2,11.8,9.4,7.7,23.9,,,,0.492,0.733,0.475,0.462,0.392,0.373
7,0.557,0.224,17.2,11.8,10.6,8.8,26.7,,,,0.492,0.733,0.475,0.462,0.392,0.373
7,0.557,0.224,17.2,11.8,6.7,5.1,17.5,,,,0.492,0.733,0.475,0.462,0.392,0.373
