final_PTS,TS%,FTr,USG%,PER,avg_PTS,FGA,MP,ORtg,eFG%_2,Pace,Opponent_FG%,Range_0-3_Made,Range_3-10_Made,Range_10-16_Made,Range_16-3P_Made,3P_Made
13,0.608,0.178,15.1,13.0,6.1,4.6,15.0,115.2,0.547,101.1,0.482,0.741,0.48,0.435,0.399,0.374
13,0.608,0.178,15.1,13.0,6.2,4.7,14.5,115.2,0.547,101.1,0.482,0.741,0.48,0.435,0.399,0.374
13,0.608,0.178,15.1,13.0,5.9,4.5,16.2,115.2,0.547,101.1,0.482,0.741,0.48,0.435,0.399,0.374
13,0.602,0.192,15.7,13.8,6.1,4.6,15.0,115.2,0.547,101.1,0.482,0.741,0.48,0.435,0.399,0.374
13,0.602,0.192,15.7,13.8,6.2,4.7,14.5,115.2,0.547,101.1,0.482,0.741,0.48,0.435,0.399,0.374
13,0.602,0.192,15.7,13.8,5.9,4.5,16.2,115.2,0.547,101.1,0.482,0.741,0.48,0.435,0.399,0.374
13,0.623,0.146,14.0,11.6,6.1,4.6,15.0,115.2,0.547,101.1,0.482,0.741,0.48,0.435,0.399,0.374
13,0.623,0.146,14.0,11.6,6.2,4.7,14.5,115.2,0.547,101.1,0.482,0.741,0.48,0.435,0.399,0.374
13,0.623,0.146,14.0,11.6,5.9,4.5,16.2,115.2,0.547,101.1,0.482,0.741,0.48,0.435,0.399,0.374
9,0.608,0.178,15.1,13.0,6.1,4.6,15.0,115.2,0.547,101.1,0.473,0.725,0.424,0.422,0.414,0.348
9,0.608,0.178,15.1,13.0,6.2,4.7,14.5,115.2,0.547,101.1,0.473,0.725,0.424,0.422,0.414,0.348
9,0.608,0.178,15.1,13.0,5.9,4.5,16.2,115.2,0.547,101.1,0.473,0.725,0.424,0.422,0.414,0.348
9,0.602,0.192,15.7,13.8,6.1,4.6,15.0,115.2,0.547,101.1,0.473,0.725,0.424,0.422,0.414,0.348
9,0.602,0.192,15.7,13.8,6.2,4.7,14.5,115.2,0.547,101.1,0.473,0.725,0.424,0.422,0.414,0.348
9,0.602,0.192,15.7,13.8,5.9,4.5,16.2,115.2,0.547,101.1,0.473,0.725,0.424,0.422,0.414,0.348
9,0.623,0.146,14.0,11.6,6.1,4.6,15.0,115.2,0.547,101.1,0.473,0.725,0.424,0.422,0.414,0.348
9,0.623,0.146,14.0,11.6,6.2,4.7,14.5,115.2,0.547,101.1,0.473,0.725,0.424,0.422,0.414,0.348
9,0.623,0.146,14.0,11.6,5.9,4.5,16.2,115.2,0.547,101.1,0.473,0.725,0.424,0.422,0.414,0.348
8,0.608,0.178,15.1,13.0,6.1,4.6,15.0,115.2,0.547,101.1,0.469,0.703,0.504,0.431,0.415,0.364
8,0.608,0.178,15.1,13.0,6.2,4.7,14.5,115.2,0.547,101.1,0.469,0.703,0.504,0.431,0.415,0.364
8,0.608,0.178,15.1,13.0,5.9,4.5,16.2,115.2,0.547,101.1,0.469,0.703,0.504,0.431,0.415,0.364
8,0.602,0.192,15.7,13.8,6.1,4.6,15.0,115.2,0.547,101.1,0.469,0.703,0.504,0.431,0.415,0.364
8,0.602,0.192,15.7,13.8,6.2,4.7,14.5,115.2,0.547,101.1,0.469,0.703,0.504,0.431,0.415,0.364
8,0.602,0.192,15.7,13.8,5.9,4.5,16.2,115.2,0.547,101.1,0.469,0.703,0.504,0.431,0.415,0.364
8,0.623,0.146,14.0,11.6,6.1,4.6,15.0,115.2,0.547,101.1,0.469,0.703,0.504,0.431,0.415,0.364
8,0.623,0.146,14.0,11.6,6.2,4.7,14.5,115.2,0.547,101.1,0.469,0.703,0.504,0.431,0.415,0.364
8,0.623,0.146,14.0,11.6,5.9,4.5,16.2,115.2,0.547,101.1,0.469,0.703,0.504,0.431,0.415,0.364
3,0.608,0.178,15.1,13.0,6.1,4.6,15.0,115.2,0.547,101.1,0.469,0.703,0.504,0.431,0.415,0.364
3,0.608,0.178,15.1,13.0,6.2,4.7,14.5,115.2,0.547,101.1,0.469,0.703,0.504,0.431,0.415,0.364
3,0.608,0.178,15.1,13.0,5.9,4.5,16.2,115.2,0.547,101.1,0.469,0.703,0.504,0.431,0.415,0.364
3,0.602,0.192,15.7,13.8,6.1,4.6,15.0,115.2,0.547,101.1,0.469,0.703,0.504,0.431,0.415,0.364
3,0.602,0.192,15.7,13.8,6.2,4.7,14.5,115.2,0.547,101.1,0.469,0.703,0.504,0.431,0.415,0.364
3,0.602,0.192,15.7,13.8,5.9,4.5,16.2,115.2,0.547,101.1,0.469,0.703,0.504,0.431,0.415,0.364
3,0.623,0.146,14.0,11.6,6.1,4.6,15.0,115.2,0.547,101.1,0.469,0.703,0.504,0.431,0.415,0.364
3,0.623,0.146,14.0,11.6,6.2,4.7,14.5,115.2,0.547,101.1,0.469,0.703,0.504,0.431,0.415,0.364
3,0.623,0.146,14.0,11.6,5.9,4.5,16.2,115.2,0.547,101.1,0.469,0.703,0.504,0.431,0.415,0.364
8,0.608,0.178,15.1,13.0,6.1,4.6,15.0,115.2,0.547,101.1,0.474,0.716,0.441,0.463,0.388,0.365
8,0.608,0.178,15.1,13.0,6.2,4.7,14.5,115.2,0.547,101.1,0.474,0.716,0.441,0.463,0.388,0.365
8,0.608,0.178,15.1,13.0,5.9,4.5,16.2,115.2,0.547,101.1,0.474,0.716,0.441,0.463,0.388,0.365
8,0.602,0.192,15.7,13.8,6.1,4.6,15.0,115.2,0.547,101.1,0.474,0.716,0.441,0.463,0.388,0.365
8,0.602,0.192,15.7,13.8,6.2,4.7,14.5,115.2,0.547,101.1,0.474,0.716,0.441,0.463,0.388,0.365
8,0.602,0.192,15.7,13.8,5.9,4.5,16.2,115.2,0.547,101.1,0.474,0.716,0.441,0.463,0.388,0.365
8,0.623,0.146,14.0,11.6,6.1,4.6,15.0,115.2,0.547,101.1,0.474,0.716,0.441,0.463,0.388,0.365
8,0.623,0.146,14.0,11.6,6.2,4.7,14.5,115.2,0.547,101.1,0.474,0.716,0.441,0.463,0.388,0.365
8,0.623,0.146,14.0,11.6,5.9,4.5,16.2,115.2,0.547,101.1,0.474,0.716,0.441,0.463,0.388,0.365
6,0.608,0.178,15.1,13.0,6.1,4.6,15.0,115.2,0.547,101.1,0.469,0.711,0.451,0.461,0.439,0.344
6,0.608,0.178,15.1,13.0,6.2,4.7,14.5,115.2,0.547,101.1,0.469,0.711,0.451,0.461,0.439,0.344
