final_PTS,TS%,FTr,USG%,PER,avg_PTS,FGA,MP,ORtg,eFG%_2,Pace,Opponent_FG%,Range_0-3_Made,Range_3-10_Made,Range_10-16_Made,Range_16-3P_Made,3P_Made
6,0.533,0.329,19.3,10.9,7.0,5.7,16.1,116.8,0.549,96.6,0.478,0.747,0.459,0.443,0.402,0.344
6,0.533,0.329,19.3,10.9,4.9,4.1,11.8,116.8,0.549,96.6,0.478,0.747,0.459,0.443,0.402,0.344
6,0.533,0.329,19.3,10.9,9.7,7.9,21.9,116.8,0.549,96.6,0.478,0.747,0.459,0.443,0.402,0.344
6,0.531,0.298,18.8,10.6,7.0,5.7,16.1,116.8,0.549,96.6,0.478,0.747,0.459,0.443,0.402,0.344
6,0.531,0.298,18.8,10.6,4.9,4.1,11.8,116.8,0.549,96.6,0.478,0.747,0.459,0.443,0.402,0.344
6,0.531,0.298,18.8,10.6,9.7,7.9,21.9,116.8,0.549,96.6,0.478,0.747,0.459,0.443,0.402,0.344
6,0.533,0.351,19.7,11.2,7.0,5.7,16.1,116.8,0.549,96.6,0.478,0.747,0.459,0.443,0.402,0.344
6,0.533,0.351,19.7,11.2,4.9,4.1,11.8,116.8,0.549,96.6,0.478,0.747,0.459,0.443,0.402,0.344
6,0.533,0.351,19.7,11.2,9.7,7.9,21.9,116.8,0.549,96.6,0.478,0.747,0.459,0.443,0.402,0.344
1,0.533,0.329,19.3,10.9,7.0,5.7,16.1,116.8,0.549,96.6,0.482,0.729,0.502,0.452,0.385,0.367
1,0.533,0.329,19.3,10.9,4.9,4.1,11.8,116.8,0.549,96.6,0.482,0.729,0.502,0.452,0.385,0.367
1,0.533,0.329,19.3,10.9,9.7,7.9,21.9,116.8,0.549,96.6,0.482,0.729,0.502,0.452,0.385,0.367
1,0.531,0.298,18.8,10.6,7.0,5.7,16.1,116.8,0.549,96.6,0.482,0.729,0.502,0.452,0.385,0.367
1,0.531,0.298,18.8,10.6,4.9,4.1,11.8,116.8,0.549,96.6,0.482,0.729,0.502,0.452,0.385,0.367
1,0.531,0.298,18.8,10.6,9.7,7.9,21.9,116.8,0.549,96.6,0.482,0.729,0.502,0.452,0.385,0.367
1,0.533,0.351,19.7,11.2,7.0,5.7,16.1,116.8,0.549,96.6,0.482,0.729,0.502,0.452,0.385,0.367
1,0.533,0.351,19.7,11.2,4.9,4.1,11.8,116.8,0.549,96.6,0.482,0.729,0.502,0.452,0.385,0.367
1,0.533,0.351,19.7,11.2,9.7,7.9,21.9,116.8,0.549,96.6,0.482,0.729,0.502,0.452,0.385,0.367
0,0.533,0.329,19.3,10.9,7.0,5.7,16.1,116.8,0.549,96.6,0.472,0.749,0.468,0.407,0.416,0.339
0,0.533,0.329,19.3,10.9,4.9,4.1,11.8,116.8,0.549,96.6,0.472,0.749,0.468,0.407,0.416,0.339
0,0.533,0.329,19.3,10.9,9.7,7.9,21.9,116.8,0.549,96.6,0.472,0.749,0.468,0.407,0.416,0.339
0,0.531,0.298,18.8,10.6,7.0,5.7,16.1,116.8,0.549,96.6,0.472,0.749,0.468,0.407,0.416,0.339
0,0.531,0.298,18.8,10.6,4.9,4.1,11.8,116.8,0.549,96.6,0.472,0.749,0.468,0.407,0.416,0.339
0,0.531,0.298,18.8,10.6,9.7,7.9,21.9,116.8,0.549,96.6,0.472,0.749,0.468,0.407,0.416,0.339
0,0.533,0.351,19.7,11.2,7.0,5.7,16.1,116.8,0.549,96.6,0.472,0.749,0.468,0.407,0.416,0.339
0,0.533,0.351,19.7,11.2,4.9,4.1,11.8,116.8,0.549,96.6,0.472,0.749,0.468,0.407,0.416,0.339
0,0.533,0.351,19.7,11.2,9.7,7.9,21.9,116.8,0.549,96.6,0.472,0.749,0.468,0.407,0.416,0.339
0,0.533,0.329,19.3,10.9,7.0,5.7,16.1,116.8,0.549,96.6,0.472,0.749,0.468,0.407,0.416,0.339
0,0.533,0.329,19.3,10.9,4.9,4.1,11.8,116.8,0.549,96.6,0.472,0.749,0.468,0.407,0.416,0.339
0,0.533,0.329,19.3,10.9,9.7,7.9,21.9,116.8,0.549,96.6,0.472,0.749,0.468,0.407,0.416,0.339
0,0.531,0.298,18.8,10.6,7.0,5.7,16.1,116.8,0.549,96.6,0.472,0.749,0.468,0.407,0.416,0.339
0,0.531,0.298,18.8,10.6,4.9,4.1,11.8,116.8,0.549,96.6,0.472,0.749,0.468,0.407,0.416,0.339
0,0.531,0.298,18.8,10.6,9.7,7.9,21.9,116.8,0.549,96.6,0.472,0.749,0.468,0.407,0.416,0.339
0,0.533,0.351,19.7,11.2,7.0,5.7,16.1,116.8,0.549,96.6,0.472,0.749,0.468,0.407,0.416,0.339
0,0.533,0.351,19.7,11.2,4.9,4.1,11.8,116.8,0.549,96.6,0.472,0.749,0.468,0.407,0.416,0.339
0,0.533,0.351,19.7,11.2,9.7,7.9,21.9,116.8,0.549,96.6,0.472,0.749,0.468,0.407,0.416,0.339
