final_PTS,TS%,FTr,USG%,PER,avg_PTS,FGA,MP,ORtg,eFG%_2,Pace,Opponent_FG%,Range_0-3_Made,Range_3-10_Made,Range_10-16_Made,Range_16-3P_Made,3P_Made
0,0.337,0.172,22.9,6.0,3.0,4.1,10.0,111.4,0.564,99.0,0.489,0.724,0.491,0.42,0.44,0.36
2,0.337,0.172,22.9,6.0,3.0,4.1,10.0,111.4,0.564,99.0,0.468,0.685,0.434,0.437,0.391,0.357
2,0.337,0.172,22.9,6.0,3.0,4.1,10.0,111.4,0.564,99.0,0.456,0.691,0.415,0.452,0.389,0.354
17,0.337,0.172,22.9,6.0,3.0,4.1,10.0,111.4,0.564,99.0,0.468,0.685,0.434,0.437,0.391,0.357
0,0.337,0.172,22.9,6.0,3.0,4.1,10.0,111.4,0.564,99.0,0.482,0.729,0.502,0.452,0.385,0.367
10,0.337,0.172,22.9,6.0,3.0,4.1,10.0,111.4,0.564,99.0,0.478,0.747,0.459,0.443,0.402,0.344
3,0.337,0.172,22.9,6.0,3.0,4.1,10.0,111.4,0.564,99.0,0.473,0.725,0.424,0.422,0.414,0.348
3,0.337,0.172,22.9,6.0,3.0,4.1,10.0,111.4,0.564,99.0,0.485,0.717,0.46,0.468,0.451,0.352
6,0.337,0.172,22.9,6.0,3.0,4.1,10.0,111.4,0.564,99.0,0.478,0.747,0.459,0.443,0.402,0.344
0,0.337,0.172,22.9,6.0,3.0,4.1,10.0,111.4,0.564,99.0,0.482,0.729,0.502,0.452,0.385,0.367
