final_PTS,TS%,FTr,USG%,PER,avg_PTS,FGA,MP,ORtg,eFG%_2,Pace,Opponent_FG%,Range_0-3_Made,Range_3-10_Made,Range_10-16_Made,Range_16-3P_Made,3P_Made
2,0.552,0.111,10.6,10.5,4.1,3.6,16.9,117.7,0.541,96.9,0.472,0.749,0.468,0.407,0.416,0.339
2,0.552,0.111,10.6,10.5,2.7,2.4,12.1,117.7,0.541,96.9,0.472,0.749,0.468,0.407,0.416,0.339
2,0.552,0.111,10.6,10.5,7.4,6.2,27.7,117.7,0.541,96.9,0.472,0.749,0.468,0.407,0.416,0.339
2,0.536,0.103,9.8,10.0,4.1,3.6,16.9,117.7,0.541,96.9,0.472,0.749,0.468,0.407,0.416,0.339
2,0.536,0.103,9.8,10.0,2.7,2.4,12.1,117.7,0.541,96.9,0.472,0.749,0.468,0.407,0.416,0.339
2,0.536,0.103,9.8,10.0,7.4,6.2,27.7,117.7,0.541,96.9,0.472,0.749,0.468,0.407,0.416,0.339
2,0.566,0.117,11.4,11.0,4.1,3.6,16.9,117.7,0.541,96.9,0.472,0.749,0.468,0.407,0.416,0.339
2,0.566,0.117,11.4,11.0,2.7,2.4,12.1,117.7,0.541,96.9,0.472,0.749,0.468,0.407,0.416,0.339
2,0.566,0.117,11.4,11.0,7.4,6.2,27.7,117.7,0.541,96.9,0.472,0.749,0.468,0.407,0.416,0.339
4,0.552,0.111,10.6,10.5,4.1,3.6,16.9,117.7,0.541,96.9,0.463,0.679,0.406,0.403,0.385,0.367
4,0.552,0.111,10.6,10.5,2.7,2.4,12.1,117.7,0.541,96.9,0.463,0.679,0.406,0.403,0.385,0.367
4,0.552,0.111,10.6,10.5,7.4,6.2,27.7,117.7,0.541,96.9,0.463,0.679,0.406,0.403,0.385,0.367
4,0.536,0.103,9.8,10.0,4.1,3.6,16.9,117.7,0.541,96.9,0.463,0.679,0.406,0.403,0.385,0.367
4,0.536,0.103,9.8,10.0,2.7,2.4,12.1,117.7,0.541,96.9,0.463,0.679,0.406,0.403,0.385,0.367
4,0.536,0.103,9.8,10.0,7.4,6.2,27.7,117.7,0.541,96.9,0.463,0.679,0.406,0.403,0.385,0.367
4,0.566,0.117,11.4,11.0,4.1,3.6,16.9,117.7,0.541,96.9,0.463,0.679,0.406,0.403,0.385,0.367
4,0.566,0.117,11.4,11.0,2.7,2.4,12.1,117.7,0.541,96.9,0.463,0.679,0.406,0.403,0.385,0.367
4,0.566,0.117,11.4,11.0,7.4,6.2,27.7,117.7,0.541,96.9,0.463,0.679,0.406,0.403,0.385,0.367
3,0.552,0.111,10.6,10.5,4.1,3.6,16.9,117.7,0.541,96.9,0.474,0.694,0.452,0.483,0.414,0.358
3,0.552,0.111,10.6,10.5,2.7,2.4,12.1,117.7,0.541,96.9,0.474,0.694,0.452,0.483,0.414,0.358
3,0.552,0.111,10.6,10.5,7.4,6.2,27.7,117.7,0.541,96.9,0.474,0.694,0.452,0.483,0.414,0.358
