final_PTS,TS%,FTr,USG%,PER,avg_PTS,FGA,MP,ORtg,eFG%_2,Pace,Opponent_FG%,Range_0-3_Made,Range_3-10_Made,Range_10-16_Made,Range_16-3P_Made,3P_Made
10,0.545,0.239,15.9,14.6,7.6,6.3,21.9,112.3,0.566,99.4,0.463,0.66,0.426,0.425,0.38,0.371
10,0.545,0.239,15.9,14.6,7.7,6.8,17.5,112.3,0.566,99.4,0.463,0.66,0.426,0.425,0.38,0.371
10,0.545,0.239,15.9,14.6,7.6,6.1,24.2,112.3,0.566,99.4,0.463,0.66,0.426,0.425,0.38,0.371
10,0.512,0.247,21.2,15.0,7.6,6.3,21.9,112.3,0.566,99.4,0.463,0.66,0.426,0.425,0.38,0.371
10,0.512,0.247,21.2,15.0,7.7,6.8,17.5,112.3,0.566,99.4,0.463,0.66,0.426,0.425,0.38,0.371
10,0.512,0.247,21.2,15.0,7.6,6.1,24.2,112.3,0.566,99.4,0.463,0.66,0.426,0.425,0.38,0.371
10,0.564,0.234,14.0,14.5,7.6,6.3,21.9,112.3,0.566,99.4,0.463,0.66,0.426,0.425,0.38,0.371
10,0.564,0.234,14.0,14.5,7.7,6.8,17.5,112.3,0.566,99.4,0.463,0.66,0.426,0.425,0.38,0.371
10,0.564,0.234,14.0,14.5,7.6,6.1,24.2,112.3,0.566,99.4,0.463,0.66,0.426,0.425,0.38,0.371
4,0.545,0.239,15.9,14.6,7.6,6.3,21.9,112.3,0.566,99.4,0.47,0.71,0.398,0.434,0.424,0.372
4,0.545,0.239,15.9,14.6,7.7,6.8,17.5,112.3,0.566,99.4,0.47,0.71,0.398,0.434,0.424,0.372
4,0.545,0.239,15.9,14.6,7.6,6.1,24.2,112.3,0.566,99.4,0.47,0.71,0.398,0.434,0.424,0.372
4,0.512,0.247,21.2,15.0,7.6,6.3,21.9,112.3,0.566,99.4,0.47,0.71,0.398,0.434,0.424,0.372
4,0.512,0.247,21.2,15.0,7.7,6.8,17.5,112.3,0.566,99.4,0.47,0.71,0.398,0.434,0.424,0.372
4,0.512,0.247,21.2,15.0,7.6,6.1,24.2,112.3,0.566,99.4,0.47,0.71,0.398,0.434,0.424,0.372
4,0.564,0.234,14.0,14.5,7.6,6.3,21.9,112.3,0.566,99.4,0.47,0.71,0.398,0.434,0.424,0.372
4,0.564,0.234,14.0,14.5,7.7,6.8,17.5,112.3,0.566,99.4,0.47,0.71,0.398,0.434,0.424,0.372
4,0.564,0.234,14.0,14.5,7.6,6.1,24.2,112.3,0.566,99.4,0.47,0.71,0.398,0.434,0.424,0.372
18,0.545,0.239,15.9,14.6,7.6,6.3,21.9,112.3,0.566,99.4,0.467,0.705,0.493,0.463,0.407,0.353
18,0.545,0.239,15.9,14.6,7.7,6.8,17.5,112.3,0.566,99.4,0.467,0.705,0.493,0.463,0.407,0.353
18,0.545,0.239,15.9,14.6,7.6,6.1,24.2,112.3,0.566,99.4,0.467,0.705,0.493,0.463,0.407,0.353
18,0.512,0.247,21.2,15.0,7.6,6.3,21.9,112.3,0.566,99.4,0.467,0.705,0.493,0.463,0.407,0.353
18,0.512,0.247,21.2,15.0,7.7,6.8,17.5,112.3,0.566,99.4,0.467,0.705,0.493,0.463,0.407,0.353
18,0.512,0.247,21.2,15.0,7.6,6.1,24.2,112.3,0.566,99.4,0.467,0.705,0.493,0.463,0.407,0.353
18,0.564,0.234,14.0,14.5,7.6,6.3,21.9,112.3,0.566,99.4,0.467,0.705,0.493,0.463,0.407,0.353
18,0.564,0.234,14.0,14.5,7.7,6.8,17.5,112.3,0.566,99.4,0.467,0.705,0.493,0.463,0.407,0.353
18,0.564,0.234,14.0,14.5,7.6,6.1,24.2,112.3,0.566,99.4,0.467,0.705,0.493,0.463,0.407,0.353
10,0.545,0.239,15.9,14.6,7.6,6.3,21.9,112.3,0.566,99.4,0.467,0.705,0.493,0.463,0.407,0.353
10,0.545,0.239,15.9,14.6,7.7,6.8,17.5,112.3,0.566,99.4,0.467,0.705,0.493,0.463,0.407,0.353
10,0.545,0.239,15.9,14.6,7.6,6.1,24.2,112.3,0.566,99.4,0.467,0.705,0.493,0.463,0.407,0.353
10,0.512,0.247,21.2,15.0,7.6,6.3,21.9,112.3,0.566,99.4,0.467,0.705,0.493,0.463,0.407,0.353
10,0.512,0.247,21.2,15.0,7.7,6.8,17.5,112.3,0.566,99.4,0.467,0.705,0.493,0.463,0.407,0.353
10,0.512,0.247,21.2,15.0,7.6,6.1,24.2,112.3,0.566,99.4,0.467,0.705,0.493,0.463,0.407,0.353
10,0.564,0.234,14.0,14.5,7.6,6.3,21.9,112.3,0.566,99.4,0.467,0.705,0.493,0.463,0.407,0.353
10,0.564,0.234,14.0,14.5,7.7,6.8,17.5,112.3,0.566,99.4,0.467,0.705,0.493,0.463,0.407,0.353
10,0.564,0.234,14.0,14.5,7.6,6.1,24.2,112.3,0.566,99.4,0.467,0.705,0.493,0.463,0.407,0.353
7,0.545,0.239,15.9,14.6,7.6,6.3,21.9,112.3,0.566,99.4,0.468,0.712,0.406,0.411,0.404,0.354
7,0.545,0.239,15.9,14.6,7.7,6.8,17.5,112.3,0.566,99.4,0.468,0.712,0.406,0.411,0.404,0.354
7,0.545,0.239,15.9,14.6,7.6,6.1,24.2,112.3,0.566,99.4,0.468,0.712,0.406,0.411,0.404,0.354
7,0.512,0.247,21.2,15.0,7.6,6.3,21.9,112.3,0.566,99.4,0.468,0.712,0.406,0.411,0.404,0.354
7,0.512,0.247,21.2,15.0,7.7,6.8,17.5,112.3,0.566,99.4,0.468,0.712,0.406,0.411,0.404,0.354
7,0.512,0.247,21.2,15.0,7.6,6.1,24.2,112.3,0.566,99.4,0.468,0.712,0.406,0.411,0.404,0.354
7,0.564,0.234,14.0,14.5,7.6,6.3,21.9,112.3,0.566,99.4,0.468,0.712,0.406,0.411,0.404,0.354
7,0.564,0.234,14.0,14.5,7.7,6.8,17.5,112.3,0.566,99.4,0.468,0.712,0.406,0.411,0.404,0.354
7,0.564,0.234,14.0,14.5,7.6,6.1,24.2,112.3,0.566,99.4,0.468,0.712,0.406,0.411,0.404,0.354
0,0.545,0.239,15.9,14.6,7.6,6.3,21.9,112.3,0.566,99.4,0.468,0.712,0.406,0.411,0.404,0.354
0,0.545,0.239,15.9,14.6,7.7,6.8,17.5,112.3,0.566,99.4,0.468,0.712,0.406,0.411,0.404,0.354
0,0.545,0.239,15.9,14.6,7.6,6.1,24.2,112.3,0.566,99.4,0.468,0.712,0.406,0.411,0.404,0.354
0,0.512,0.247,21.2,15.0,7.6,6.3,21.9,112.3,0.566,99.4,0.468,0.712,0.406,0.411,0.404,0.354
0,0.512,0.247,21.2,15.0,7.7,6.8,17.5,112.3,0.566,99.4,0.468,0.712,0.406,0.411,0.404,0.354
0,0.512,0.247,21.2,15.0,7.6,6.1,24.2,112.3,0.566,99.4,0.468,0.712,0.406,0.411,0.404,0.354
0,0.564,0.234,14.0,14.5,7.6,6.3,21.9,112.3,0.566,99.4,0.468,0.712,0.406,0.411,0.404,0.354
0,0.564,0.234,14.0,14.5,7.7,6.8,17.5,112.3,0.566,99.4,0.468,0.712,0.406,0.411,0.404,0.354
0,0.564,0.234,14.0,14.5,7.6,6.1,24.2,112.3,0.566,99.4,0.468,0.712,0.406,0.411,0.404,0.354
10,0.545,0.239,15.9,14.6,7.6,6.3,21.9,112.3,0.566,99.4,0.495,0.694,0.46,0.452,0.43,0.384
10,0.545,0.239,15.9,14.6,7.7,6.8,17.5,112.3,0.566,99.4,0.495,0.694,0.46,0.452,0.43,0.384
10,0.545,0.239,15.9,14.6,7.6,6.1,24.2,112.3,0.566,99.4,0.495,0.694,0.46,0.452,0.43,0.384
10,0.512,0.247,21.2,15.0,7.6,6.3,21.9,112.3,0.566,99.4,0.495,0.694,0.46,0.452,0.43,0.384
10,0.512,0.247,21.2,15.0,7.7,6.8,17.5,112.3,0.566,99.4,0.495,0.694,0.46,0.452,0.43,0.384
10,0.512,0.247,21.2,15.0,7.6,6.1,24.2,112.3,0.566,99.4,0.495,0.694,0.46,0.452,0.43,0.384
10,0.564,0.234,14.0,14.5,7.6,6.3,21.9,112.3,0.566,99.4,0.495,0.694,0.46,0.452,0.43,0.384
10,0.564,0.234,14.0,14.5,7.7,6.8,17.5,112.3,0.566,99.4,0.495,0.694,0.46,0.452,0.43,0.384
10,0.564,0.234,14.0,14.5,7.6,6.1,24.2,112.3,0.566,99.4,0.495,0.694,0.46,0.452,0.43,0.384
12,0.545,0.239,15.9,14.6,7.6,6.3,21.9,112.3,0.566,99.4,0.487,0.685,0.467,0.441,0.423,0.373
12,0.545,0.239,15.9,14.6,7.7,6.8,17.5,112.3,0.566,99.4,0.487,0.685,0.467,0.441,0.423,0.373
12,0.545,0.239,15.9,14.6,7.6,6.1,24.2,112.3,0.566,99.4,0.487,0.685,0.467,0.441,0.423,0.373
12,0.512,0.247,21.2,15.0,7.6,6.3,21.9,112.3,0.566,99.4,0.487,0.685,0.467,0.441,0.423,0.373
12,0.512,0.247,21.2,15.0,7.7,6.8,17.5,112.3,0.566,99.4,0.487,0.685,0.467,0.441,0.423,0.373
12,0.512,0.247,21.2,15.0,7.6,6.1,24.2,112.3,0.566,99.4,0.487,0.685,0.467,0.441,0.423,0.373
12,0.564,0.234,14.0,14.5,7.6,6.3,21.9,112.3,0.566,99.4,0.487,0.685,0.467,0.441,0.423,0.373
12,0.564,0.234,14.0,14.5,7.7,6.8,17.5,112.3,0.566,99.4,0.487,0.685,0.467,0.441,0.423,0.373
12,0.564,0.234,14.0,14.5,7.6,6.1,24.2,112.3,0.566,99.4,0.487,0.685,0.467,0.441,0.423,0.373
15,0.545,0.239,15.9,14.6,7.6,6.3,21.9,112.3,0.566,99.4,0.475,0.736,0.421,0.46,0.381,0.368
15,0.545,0.239,15.9,14.6,7.7,6.8,17.5,112.3,0.566,99.4,0.475,0.736,0.421,0.46,0.381,0.368
15,0.545,0.239,15.9,14.6,7.6,6.1,24.2,112.3,0.566,99.4,0.475,0.736,0.421,0.46,0.381,0.368
15,0.512,0.247,21.2,15.0,7.6,6.3,21.9,112.3,0.566,99.4,0.475,0.736,0.421,0.46,0.381,0.368
15,0.512,0.247,21.2,15.0,7.7,6.8,17.5,112.3,0.566,99.4,0.475,0.736,0.421,0.46,0.381,0.368
15,0.512,0.247,21.2,15.0,7.6,6.1,24.2,112.3,0.566,99.4,0.475,0.736,0.421,0.46,0.381,0.368
15,0.564,0.234,14.0,14.5,7.6,6.3,21.9,112.3,0.566,99.4,0.475,0.736,0.421,0.46,0.381,0.368
