final_PTS,TS%,FTr,USG%,PER,avg_PTS,FGA,MP,ORtg,eFG%_2,Pace,Opponent_FG%,Range_0-3_Made,Range_3-10_Made,Range_10-16_Made,Range_16-3P_Made,3P_Made
0,0.497,0.129,13.4,7.7,5.8,5.6,21.0,115.5,0.567,99.5,0.462,0.686,0.416,0.415,0.391,0.355
0,0.497,0.129,13.4,7.7,5.4,4.9,19.7,115.5,0.567,99.5,0.462,0.686,0.416,0.415,0.391,0.355
0,0.497,0.129,13.4,7.7,6.7,6.8,23.6,115.5,0.567,99.5,0.462,0.686,0.416,0.415,0.391,0.355
0,0.531,0.08,12.2,8.1,5.8,5.6,21.0,115.5,0.567,99.5,0.462,0.686,0.416,0.415,0.391,0.355
0,0.531,0.08,12.2,8.1,5.4,4.9,19.7,115.5,0.567,99.5,0.462,0.686,0.416,0.415,0.391,0.355
0,0.531,0.08,12.2,8.1,6.7,6.8,23.6,115.5,0.567,99.5,0.462,0.686,0.416,0.415,0.391,0.355
0,0.453,0.196,15.4,7.1,5.8,5.6,21.0,115.5,0.567,99.5,0.462,0.686,0.416,0.415,0.391,0.355
0,0.453,0.196,15.4,7.1,5.4,4.9,19.7,115.5,0.567,99.5,0.462,0.686,0.416,0.415,0.391,0.355
0,0.453,0.196,15.4,7.1,6.7,6.8,23.6,115.5,0.567,99.5,0.462,0.686,0.416,0.415,0.391,0.355
9,0.497,0.129,13.4,7.7,5.8,5.6,21.0,115.5,0.567,99.5,0.462,0.686,0.416,0.415,0.391,0.355
9,0.497,0.129,13.4,7.7,5.4,4.9,19.7,115.5,0.567,99.5,0.462,0.686,0.416,0.415,0.391,0.355
9,0.497,0.129,13.4,7.7,6.7,6.8,23.6,115.5,0.567,99.5,0.462,0.686,0.416,0.415,0.391,0.355
9,0.531,0.08,12.2,8.1,5.8,5.6,21.0,115.5,0.567,99.5,0.462,0.686,0.416,0.415,0.391,0.355
9,0.531,0.08,12.2,8.1,5.4,4.9,19.7,115.5,0.567,99.5,0.462,0.686,0.416,0.415,0.391,0.355
9,0.531,0.08,12.2,8.1,6.7,6.8,23.6,115.5,0.567,99.5,0.462,0.686,0.416,0.415,0.391,0.355
9,0.453,0.196,15.4,7.1,5.8,5.6,21.0,115.5,0.567,99.5,0.462,0.686,0.416,0.415,0.391,0.355
9,0.453,0.196,15.4,7.1,5.4,4.9,19.7,115.5,0.567,99.5,0.462,0.686,0.416,0.415,0.391,0.355
9,0.453,0.196,15.4,7.1,6.7,6.8,23.6,115.5,0.567,99.5,0.462,0.686,0.416,0.415,0.391,0.355
7,0.497,0.129,13.4,7.7,5.8,5.6,21.0,115.5,0.567,99.5,0.474,0.667,0.418,0.456,0.425,0.378
7,0.497,0.129,13.4,7.7,5.4,4.9,19.7,115.5,0.567,99.5,0.474,0.667,0.418,0.456,0.425,0.378
7,0.497,0.129,13.4,7.7,6.7,6.8,23.6,115.5,0.567,99.5,0.474,0.667,0.418,0.456,0.425,0.378
7,0.531,0.08,12.2,8.1,5.8,5.6,21.0,115.5,0.567,99.5,0.474,0.667,0.418,0.456,0.425,0.378
7,0.531,0.08,12.2,8.1,5.4,4.9,19.7,115.5,0.567,99.5,0.474,0.667,0.418,0.456,0.425,0.378
7,0.531,0.08,12.2,8.1,6.7,6.8,23.6,115.5,0.567,99.5,0.474,0.667,0.418,0.456,0.425,0.378
7,0.453,0.196,15.4,7.1,5.8,5.6,21.0,115.5,0.567,99.5,0.474,0.667,0.418,0.456,0.425,0.378
7,0.453,0.196,15.4,7.1,5.4,4.9,19.7,115.5,0.567,99.5,0.474,0.667,0.418,0.456,0.425,0.378
7,0.453,0.196,15.4,7.1,6.7,6.8,23.6,115.5,0.567,99.5,0.474,0.667,0.418,0.456,0.425,0.378
4,0.497,0.129,13.4,7.7,5.8,5.6,21.0,115.5,0.567,99.5,0.474,0.667,0.418,0.456,0.425,0.378
4,0.497,0.129,13.4,7.7,5.4,4.9,19.7,115.5,0.567,99.5,0.474,0.667,0.418,0.456,0.425,0.378
4,0.497,0.129,13.4,7.7,6.7,6.8,23.6,115.5,0.567,99.5,0.474,0.667,0.418,0.456,0.425,0.378
4,0.531,0.08,12.2,8.1,5.8,5.6,21.0,115.5,0.567,99.5,0.474,0.667,0.418,0.456,0.425,0.378
4,0.531,0.08,12.2,8.1,5.4,4.9,19.7,115.5,0.567,99.5,0.474,0.667,0.418,0.456,0.425,0.378
4,0.531,0.08,12.2,8.1,6.7,6.8,23.6,115.5,0.567,99.5,0.474,0.667,0.418,0.456,0.425,0.378
4,0.453,0.196,15.4,7.1,5.8,5.6,21.0,115.5,0.567,99.5,0.474,0.667,0.418,0.456,0.425,0.378
4,0.453,0.196,15.4,7.1,5.4,4.9,19.7,115.5,0.567,99.5,0.474,0.667,0.418,0.456,0.425,0.378
4,0.453,0.196,15.4,7.1,6.7,6.8,23.6,115.5,0.567,99.5,0.474,0.667,0.418,0.456,0.425,0.378
0,0.497,0.129,13.4,7.7,5.8,5.6,21.0,115.5,0.567,99.5,0.474,0.724,0.444,0.433,0.431,0.376
0,0.497,0.129,13.4,7.7,5.4,4.9,19.7,115.5,0.567,99.5,0.474,0.724,0.444,0.433,0.431,0.376
0,0.497,0.129,13.4,7.7,6.7,6.8,23.6,115.5,0.567,99.5,0.474,0.724,0.444,0.433,0.431,0.376
0,0.531,0.08,12.2,8.1,5.8,5.6,21.0,115.5,0.567,99.5,0.474,0.724,0.444,0.433,0.431,0.376
