final_PTS,TS%,FTr,USG%,PER,avg_PTS,FGA,MP,ORtg,eFG%_2,Pace,Opponent_FG%,Range_0-3_Made,Range_3-10_Made,Range_10-16_Made,Range_16-3P_Made,3P_Made
15,0.561,0.246,34.3,20.8,23.9,19.2,32.3,,,,0.467,0.705,0.493,0.463,0.407,0.353
17,0.561,0.246,34.3,20.8,23.9,19.2,32.3,,,,0.474,0.701,0.464,0.472,0.394,0.358
26,0.561,0.246,34.3,20.8,23.9,19.2,32.3,,,,0.496,0.688,0.482,0.495,0.411,0.365
23,0.561,0.246,34.3,20.8,23.9,19.2,32.3,,,,0.49,0.716,0.477,0.453,0.481,0.37
27,0.561,0.246,34.3,20.8,23.9,19.2,32.3,,,,0.495,0.694,0.46,0.452,0.43,0.384
31,0.561,0.246,34.3,20.8,23.9,19.2,32.3,,,,0.462,0.686,0.416,0.415,0.391,0.355
23,0.561,0.246,34.3,20.8,23.9,19.2,32.3,,,,0.48,0.699,0.485,0.43,0.368,0.387
25,0.561,0.246,34.3,20.8,23.9,19.2,32.3,,,,0.468,0.707,0.449,0.436,0.407,0.363
23,0.561,0.246,34.3,20.8,23.9,19.2,32.3,,,,0.474,0.724,0.444,0.433,0.431,0.376
27,0.561,0.246,34.3,20.8,23.9,19.2,32.3,,,,0.491,0.732,0.489,0.458,0.406,0.351
21,0.561,0.246,34.3,20.8,23.9,19.2,32.3,,,,0.466,0.716,0.507,0.42,0.404,0.359
27,0.561,0.246,34.3,20.8,23.9,19.2,32.3,,,,0.455,0.652,0.437,0.432,0.389,0.361
23,0.561,0.246,34.3,20.8,23.9,19.2,32.3,,,,0.47,0.71,0.398,0.434,0.424,0.372
24,0.561,0.246,34.3,20.8,23.9,19.2,32.3,,,,0.474,0.724,0.444,0.433,0.431,0.376
23,0.561,0.246,34.3,20.8,23.9,19.2,32.3,,,,0.474,0.667,0.418,0.456,0.425,0.378
24,0.561,0.246,34.3,20.8,23.9,19.2,32.3,,,,0.47,0.712,0.435,0.484,0.391,0.356
13,0.561,0.246,34.3,20.8,23.9,19.2,32.3,,,,0.496,0.688,0.482,0.495,0.411,0.365
24,0.561,0.246,34.3,20.8,23.9,19.2,32.3,,,,0.491,0.716,0.471,0.42,0.422,0.376
32,0.561,0.246,34.3,20.8,23.9,19.2,32.3,,,,0.491,0.716,0.471,0.42,0.422,0.376
31,0.561,0.246,34.3,20.8,23.9,19.2,32.3,,,,0.453,0.676,0.438,0.469,0.407,0.352
25,0.561,0.246,34.3,20.8,23.9,19.2,32.3,,,,0.453,0.676,0.438,0.469,0.407,0.352
13,0.561,0.246,34.3,20.8,23.9,19.2,32.3,,,,0.463,0.682,0.478,0.464,0.401,0.348
15,0.561,0.246,34.3,20.8,23.9,19.2,32.3,,,,0.473,0.682,0.45,0.425,0.431,0.37
19,0.561,0.246,34.3,20.8,23.9,19.2,32.3,,,,0.467,0.705,0.493,0.463,0.407,0.353
27,0.561,0.246,34.3,20.8,23.9,19.2,32.3,,,,0.47,0.712,0.435,0.484,0.391,0.356
19,0.561,0.246,34.3,20.8,23.9,19.2,32.3,,,,0.473,0.682,0.45,0.425,0.431,0.37
23,0.561,0.246,34.3,20.8,23.9,19.2,32.3,,,,0.49,0.716,0.477,0.453,0.481,0.37
33,0.561,0.246,34.3,20.8,23.9,19.2,32.3,,,,0.474,0.701,0.464,0.472,0.394,0.358
16,0.561,0.246,34.3,20.8,23.9,19.2,32.3,,,,0.496,0.753,0.452,0.464,0.454,0.362
24,0.561,0.246,34.3,20.8,23.9,19.2,32.3,,,,0.453,0.676,0.438,0.469,0.407,0.352
18,0.561,0.246,34.3,20.8,23.9,19.2,32.3,,,,0.462,0.686,0.416,0.415,0.391,0.355
30,0.561,0.246,34.3,20.8,23.9,19.2,32.3,,,,0.495,0.694,0.46,0.452,0.43,0.384
28,0.561,0.246,34.3,20.8,23.9,19.2,32.3,,,,0.487,0.685,0.467,0.441,0.423,0.373
32,0.561,0.246,34.3,20.8,23.9,19.2,32.3,,,,0.45,0.673,0.404,0.447,0.371,0.354
19,0.561,0.246,34.3,20.8,23.9,19.2,32.3,,,,0.467,0.705,0.493,0.463,0.407,0.353
18,0.561,0.246,34.3,20.8,23.9,19.2,32.3,,,,0.49,0.716,0.477,0.453,0.481,0.37
