final_PTS,TS%,FTr,USG%,PER,avg_PTS,FGA,MP,ORtg,eFG%_2,Pace,Opponent_FG%,Range_0-3_Made,Range_3-10_Made,Range_10-16_Made,Range_16-3P_Made,3P_Made
16,0.589,0.207,28.5,18.5,23.7,18.5,34.4,107.2,0.551,98.2,0.47,0.66,0.442,0.432,0.42,0.365
14,0.589,0.207,28.5,18.5,23.7,18.5,34.4,107.2,0.551,98.2,0.463,0.682,0.478,0.464,0.401,0.348
14,0.589,0.207,28.5,18.5,23.7,18.5,34.4,107.2,0.551,98.2,0.475,0.736,0.421,0.46,0.381,0.368
38,0.589,0.207,28.5,18.5,23.7,18.5,34.4,107.2,0.551,98.2,0.47,0.71,0.398,0.434,0.424,0.372
31,0.589,0.207,28.5,18.5,23.7,18.5,34.4,107.2,0.551,98.2,0.48,0.699,0.485,0.43,0.368,0.387
32,0.589,0.207,28.5,18.5,23.7,18.5,34.4,107.2,0.551,98.2,0.487,0.712,0.478,0.466,0.392,0.395
29,0.589,0.207,28.5,18.5,23.7,18.5,34.4,107.2,0.551,98.2,0.491,0.732,0.489,0.458,0.406,0.351
19,0.589,0.207,28.5,18.5,23.7,18.5,34.4,107.2,0.551,98.2,0.473,0.682,0.45,0.425,0.431,0.37
28,0.589,0.207,28.5,18.5,23.7,18.5,34.4,107.2,0.551,98.2,0.496,0.753,0.452,0.464,0.454,0.362
19,0.589,0.207,28.5,18.5,23.7,18.5,34.4,107.2,0.551,98.2,0.453,0.676,0.438,0.469,0.407,0.352
32,0.589,0.207,28.5,18.5,23.7,18.5,34.4,107.2,0.551,98.2,0.487,0.685,0.467,0.441,0.423,0.373
24,0.589,0.207,28.5,18.5,23.7,18.5,34.4,107.2,0.551,98.2,0.45,0.673,0.404,0.447,0.371,0.354
17,0.589,0.207,28.5,18.5,23.7,18.5,34.4,107.2,0.551,98.2,0.464,0.686,0.421,0.428,0.381,0.364
9,0.589,0.207,28.5,18.5,23.7,18.5,34.4,107.2,0.551,98.2,0.466,0.716,0.507,0.42,0.404,0.359
14,0.589,0.207,28.5,18.5,23.7,18.5,34.4,107.2,0.551,98.2,0.464,0.686,0.421,0.428,0.381,0.364
16,0.589,0.207,28.5,18.5,23.7,18.5,34.4,107.2,0.551,98.2,0.491,0.716,0.471,0.42,0.422,0.376
18,0.589,0.207,28.5,18.5,23.7,18.5,34.4,107.2,0.551,98.2,0.464,0.714,0.454,0.422,0.397,0.349
19,0.589,0.207,28.5,18.5,23.7,18.5,34.4,107.2,0.551,98.2,0.473,0.682,0.45,0.425,0.431,0.37
24,0.589,0.207,28.5,18.5,23.7,18.5,34.4,107.2,0.551,98.2,0.487,0.712,0.478,0.466,0.392,0.395
15,0.589,0.207,28.5,18.5,23.7,18.5,34.4,107.2,0.551,98.2,0.487,0.685,0.467,0.441,0.423,0.373
18,0.589,0.207,28.5,18.5,23.7,18.5,34.4,107.2,0.551,98.2,0.487,0.685,0.467,0.441,0.423,0.373
25,0.589,0.207,28.5,18.5,23.7,18.5,34.4,107.2,0.551,98.2,0.496,0.688,0.482,0.495,0.411,0.365
28,0.589,0.207,28.5,18.5,23.7,18.5,34.4,107.2,0.551,98.2,0.464,0.686,0.421,0.428,0.381,0.364
25,0.589,0.207,28.5,18.5,23.7,18.5,34.4,107.2,0.551,98.2,0.463,0.66,0.426,0.425,0.38,0.371
16,0.589,0.207,28.5,18.5,23.7,18.5,34.4,107.2,0.551,98.2,0.474,0.724,0.444,0.433,0.431,0.376
