final_PTS,TS%,FTr,USG%,PER,avg_PTS,FGA,MP,ORtg,eFG%_2,Pace,Opponent_FG%,Range_0-3_Made,Range_3-10_Made,Range_10-16_Made,Range_16-3P_Made,3P_Made
7,0.68,0.4,11.9,13.9,5.3,3.3,16.9,119.5,0.53,99.8,0.45,0.673,0.404,0.447,0.371,0.354
7,0.68,0.4,11.9,13.9,0.0,0.3,3.3,119.5,0.53,99.8,0.45,0.673,0.404,0.447,0.371,0.354
7,0.68,0.4,11.9,13.9,8.0,4.8,23.7,119.5,0.53,99.8,0.45,0.673,0.404,0.447,0.371,0.354
7,0.0,0.0,8.6,-1.6,5.3,3.3,16.9,119.5,0.53,99.8,0.45,0.673,0.404,0.447,0.371,0.354
7,0.0,0.0,8.6,-1.6,0.0,0.3,3.3,119.5,0.53,99.8,0.45,0.673,0.404,0.447,0.371,0.354
7,0.0,0.0,8.6,-1.6,8.0,4.8,23.7,119.5,0.53,99.8,0.45,0.673,0.404,0.447,0.371,0.354
7,0.7,0.414,12.2,14.9,5.3,3.3,16.9,119.5,0.53,99.8,0.45,0.673,0.404,0.447,0.371,0.354
7,0.7,0.414,12.2,14.9,0.0,0.3,3.3,119.5,0.53,99.8,0.45,0.673,0.404,0.447,0.371,0.354
7,0.7,0.414,12.2,14.9,8.0,4.8,23.7,119.5,0.53,99.8,0.45,0.673,0.404,0.447,0.371,0.354
6,0.68,0.4,11.9,13.9,5.3,3.3,16.9,119.5,0.53,99.8,0.462,0.686,0.416,0.415,0.391,0.355
6,0.68,0.4,11.9,13.9,0.0,0.3,3.3,119.5,0.53,99.8,0.462,0.686,0.416,0.415,0.391,0.355
6,0.68,0.4,11.9,13.9,8.0,4.8,23.7,119.5,0.53,99.8,0.462,0.686,0.416,0.415,0.391,0.355
6,0.0,0.0,8.6,-1.6,5.3,3.3,16.9,119.5,0.53,99.8,0.462,0.686,0.416,0.415,0.391,0.355
6,0.0,0.0,8.6,-1.6,0.0,0.3,3.3,119.5,0.53,99.8,0.462,0.686,0.416,0.415,0.391,0.355
6,0.0,0.0,8.6,-1.6,8.0,4.8,23.7,119.5,0.53,99.8,0.462,0.686,0.416,0.415,0.391,0.355
6,0.7,0.414,12.2,14.9,5.3,3.3,16.9,119.5,0.53,99.8,0.462,0.686,0.416,0.415,0.391,0.355
6,0.7,0.414,12.2,14.9,0.0,0.3,3.3,119.5,0.53,99.8,0.462,0.686,0.416,0.415,0.391,0.355
6,0.7,0.414,12.2,14.9,8.0,4.8,23.7,119.5,0.53,99.8,0.462,0.686,0.416,0.415,0.391,0.355
0,0.68,0.4,11.9,13.9,5.3,3.3,16.9,119.5,0.53,99.8,0.45,0.673,0.404,0.447,0.371,0.354
0,0.68,0.4,11.9,13.9,0.0,0.3,3.3,119.5,0.53,99.8,0.45,0.673,0.404,0.447,0.371,0.354
0,0.68,0.4,11.9,13.9,8.0,4.8,23.7,119.5,0.53,99.8,0.45,0.673,0.404,0.447,0.371,0.354
0,0.0,0.0,8.6,-1.6,5.3,3.3,16.9,119.5,0.53,99.8,0.45,0.673,0.404,0.447,0.371,0.354
0,0.0,0.0,8.6,-1.6,0.0,0.3,3.3,119.5,0.53,99.8,0.45,0.673,0.404,0.447,0.371,0.354
0,0.0,0.0,8.6,-1.6,8.0,4.8,23.7,119.5,0.53,99.8,0.45,0.673,0.404,0.447,0.371,0.354
0,0.7,0.414,12.2,14.9,5.3,3.3,16.9,119.5,0.53,99.8,0.45,0.673,0.404,0.447,0.371,0.354
0,0.7,0.414,12.2,14.9,0.0,0.3,3.3,119.5,0.53,99.8,0.45,0.673,0.404,0.447,0.371,0.354
0,0.7,0.414,12.2,14.9,8.0,4.8,23.7,119.5,0.53,99.8,0.45,0.673,0.404,0.447,0.371,0.354
7,0.68,0.4,11.9,13.9,5.3,3.3,16.9,119.5,0.53,99.8,0.468,0.707,0.449,0.436,0.407,0.363
7,0.68,0.4,11.9,13.9,0.0,0.3,3.3,119.5,0.53,99.8,0.468,0.707,0.449,0.436,0.407,0.363
7,0.68,0.4,11.9,13.9,8.0,4.8,23.7,119.5,0.53,99.8,0.468,0.707,0.449,0.436,0.407,0.363
7,0.0,0.0,8.6,-1.6,5.3,3.3,16.9,119.5,0.53,99.8,0.468,0.707,0.449,0.436,0.407,0.363
7,0.0,0.0,8.6,-1.6,0.0,0.3,3.3,119.5,0.53,99.8,0.468,0.707,0.449,0.436,0.407,0.363
7,0.0,0.0,8.6,-1.6,8.0,4.8,23.7,119.5,0.53,99.8,0.468,0.707,0.449,0.436,0.407,0.363
7,0.7,0.414,12.2,14.9,5.3,3.3,16.9,119.5,0.53,99.8,0.468,0.707,0.449,0.436,0.407,0.363
7,0.7,0.414,12.2,14.9,0.0,0.3,3.3,119.5,0.53,99.8,0.468,0.707,0.449,0.436,0.407,0.363
7,0.7,0.414,12.2,14.9,8.0,4.8,23.7,119.5,0.53,99.8,0.468,0.707,0.449,0.436,0.407,0.363
9,0.68,0.4,11.9,13.9,5.3,3.3,16.9,119.5,0.53,99.8,0.468,0.707,0.449,0.436,0.407,0.363
9,0.68,0.4,11.9,13.9,0.0,0.3,3.3,119.5,0.53,99.8,0.468,0.707,0.449,0.436,0.407,0.363
9,0.68,0.4,11.9,13.9,8.0,4.8,23.7,119.5,0.53,99.8,0.468,0.707,0.449,0.436,0.407,0.363
9,0.0,0.0,8.6,-1.6,5.3,3.3,16.9,119.5,0.53,99.8,0.468,0.707,0.449,0.436,0.407,0.363
9,0.0,0.0,8.6,-1.6,0.0,0.3,3.3,119.5,0.53,99.8,0.468,0.707,0.449,0.436,0.407,0.363
9,0.0,0.0,8.6,-1.6,8.0,4.8,23.7,119.5,0.53,99.8,0.468,0.707,0.449,0.436,0.407,0.363
9,0.7,0.414,12.2,14.9,5.3,3.3,16.9,119.5,0.53,99.8,0.468,0.707,0.449,0.436,0.407,0.363
