final_PTS,TS%,FTr,USG%,PER,avg_PTS,FGA,MP,ORtg,eFG%_2,Pace,Opponent_FG%,Range_0-3_Made,Range_3-10_Made,Range_10-16_Made,Range_16-3P_Made,3P_Made
23,0.607,0.182,22.7,16.3,18.2,13.9,33.3,110.5,0.562,102.7,0.496,0.688,0.482,0.495,0.411,0.365
19,0.607,0.182,22.7,16.3,18.2,13.9,33.3,110.5,0.562,102.7,0.473,0.682,0.45,0.425,0.431,0.37
27,0.607,0.182,22.7,16.3,18.2,13.9,33.3,110.5,0.562,102.7,0.463,0.66,0.426,0.425,0.38,0.371
13,0.607,0.182,22.7,16.3,18.2,13.9,33.3,110.5,0.562,102.7,0.49,0.716,0.477,0.453,0.481,0.37
31,0.607,0.182,22.7,16.3,18.2,13.9,33.3,110.5,0.562,102.7,0.496,0.688,0.482,0.495,0.411,0.365
12,0.607,0.182,22.7,16.3,18.2,13.9,33.3,110.5,0.562,102.7,0.453,0.676,0.438,0.469,0.407,0.352
20,0.607,0.182,22.7,16.3,18.2,13.9,33.3,110.5,0.562,102.7,0.468,0.712,0.406,0.411,0.404,0.354
29,0.607,0.182,22.7,16.3,18.2,13.9,33.3,110.5,0.562,102.7,0.468,0.712,0.406,0.411,0.404,0.354
20,0.607,0.182,22.7,16.3,18.2,13.9,33.3,110.5,0.562,102.7,0.47,0.71,0.398,0.434,0.424,0.372
25,0.607,0.182,22.7,16.3,18.2,13.9,33.3,110.5,0.562,102.7,0.455,0.652,0.437,0.432,0.389,0.361
27,0.607,0.182,22.7,16.3,18.2,13.9,33.3,110.5,0.562,102.7,0.467,0.705,0.493,0.463,0.407,0.353
26,0.607,0.182,22.7,16.3,18.2,13.9,33.3,110.5,0.562,102.7,0.473,0.682,0.45,0.425,0.431,0.37
28,0.607,0.182,22.7,16.3,18.2,13.9,33.3,110.5,0.562,102.7,0.467,0.705,0.493,0.463,0.407,0.353
30,0.607,0.182,22.7,16.3,18.2,13.9,33.3,110.5,0.562,102.7,0.453,0.676,0.438,0.469,0.407,0.352
22,0.607,0.182,22.7,16.3,18.2,13.9,33.3,110.5,0.562,102.7,0.45,0.673,0.404,0.447,0.371,0.354
25,0.607,0.182,22.7,16.3,18.2,13.9,33.3,110.5,0.562,102.7,0.47,0.71,0.398,0.434,0.424,0.372
