final_PTS,TS%,FTr,USG%,PER,avg_PTS,FGA,MP,ORtg,eFG%_2,Pace,Opponent_FG%,Range_0-3_Made,Range_3-10_Made,Range_10-16_Made,Range_16-3P_Made,3P_Made
3,0.583,0.141,17.4,11.6,6.7,5.4,15.7,117.6,0.548,100.1,0.463,0.682,0.478,0.464,0.401,0.348
3,0.583,0.141,17.4,11.6,2.9,1.7,6.1,117.6,0.548,100.1,0.463,0.682,0.478,0.464,0.401,0.348
3,0.583,0.141,17.4,11.6,8.8,7.4,20.8,117.6,0.548,100.1,0.463,0.682,0.478,0.464,0.401,0.348
3,0.675,0.577,16.0,17.3,6.7,5.4,15.7,117.6,0.548,100.1,0.463,0.682,0.478,0.464,0.401,0.348
3,0.675,0.577,16.0,17.3,2.9,1.7,6.1,117.6,0.548,100.1,0.463,0.682,0.478,0.464,0.401,0.348
3,0.675,0.577,16.0,17.3,8.8,7.4,20.8,117.6,0.548,100.1,0.463,0.682,0.478,0.464,0.401,0.348
3,0.57,0.087,17.7,10.7,6.7,5.4,15.7,117.6,0.548,100.1,0.463,0.682,0.478,0.464,0.401,0.348
3,0.57,0.087,17.7,10.7,2.9,1.7,6.1,117.6,0.548,100.1,0.463,0.682,0.478,0.464,0.401,0.348
3,0.57,0.087,17.7,10.7,8.8,7.4,20.8,117.6,0.548,100.1,0.463,0.682,0.478,0.464,0.401,0.348
0,0.583,0.141,17.4,11.6,6.7,5.4,15.7,117.6,0.548,100.1,0.462,0.686,0.416,0.415,0.391,0.355
0,0.583,0.141,17.4,11.6,2.9,1.7,6.1,117.6,0.548,100.1,0.462,0.686,0.416,0.415,0.391,0.355
0,0.583,0.141,17.4,11.6,8.8,7.4,20.8,117.6,0.548,100.1,0.462,0.686,0.416,0.415,0.391,0.355
0,0.675,0.577,16.0,17.3,6.7,5.4,15.7,117.6,0.548,100.1,0.462,0.686,0.416,0.415,0.391,0.355
0,0.675,0.577,16.0,17.3,2.9,1.7,6.1,117.6,0.548,100.1,0.462,0.686,0.416,0.415,0.391,0.355
0,0.675,0.577,16.0,17.3,8.8,7.4,20.8,117.6,0.548,100.1,0.462,0.686,0.416,0.415,0.391,0.355
0,0.57,0.087,17.7,10.7,6.7,5.4,15.7,117.6,0.548,100.1,0.462,0.686,0.416,0.415,0.391,0.355
0,0.57,0.087,17.7,10.7,2.9,1.7,6.1,117.6,0.548,100.1,0.462,0.686,0.416,0.415,0.391,0.355
0,0.57,0.087,17.7,10.7,8.8,7.4,20.8,117.6,0.548,100.1,0.462,0.686,0.416,0.415,0.391,0.355
15,0.583,0.141,17.4,11.6,6.7,5.4,15.7,117.6,0.548,100.1,0.462,0.686,0.416,0.415,0.391,0.355
15,0.583,0.141,17.4,11.6,2.9,1.7,6.1,117.6,0.548,100.1,0.462,0.686,0.416,0.415,0.391,0.355
15,0.583,0.141,17.4,11.6,8.8,7.4,20.8,117.6,0.548,100.1,0.462,0.686,0.416,0.415,0.391,0.355
15,0.675,0.577,16.0,17.3,6.7,5.4,15.7,117.6,0.548,100.1,0.462,0.686,0.416,0.415,0.391,0.355
15,0.675,0.577,16.0,17.3,2.9,1.7,6.1,117.6,0.548,100.1,0.462,0.686,0.416,0.415,0.391,0.355
15,0.675,0.577,16.0,17.3,8.8,7.4,20.8,117.6,0.548,100.1,0.462,0.686,0.416,0.415,0.391,0.355
15,0.57,0.087,17.7,10.7,6.7,5.4,15.7,117.6,0.548,100.1,0.462,0.686,0.416,0.415,0.391,0.355
15,0.57,0.087,17.7,10.7,2.9,1.7,6.1,117.6,0.548,100.1,0.462,0.686,0.416,0.415,0.391,0.355
15,0.57,0.087,17.7,10.7,8.8,7.4,20.8,117.6,0.548,100.1,0.462,0.686,0.416,0.415,0.391,0.355
0,0.583,0.141,17.4,11.6,6.7,5.4,15.7,117.6,0.548,100.1,0.453,0.676,0.438,0.469,0.407,0.352
0,0.583,0.141,17.4,11.6,2.9,1.7,6.1,117.6,0.548,100.1,0.453,0.676,0.438,0.469,0.407,0.352
0,0.583,0.141,17.4,11.6,8.8,7.4,20.8,117.6,0.548,100.1,0.453,0.676,0.438,0.469,0.407,0.352
0,0.675,0.577,16.0,17.3,6.7,5.4,15.7,117.6,0.548,100.1,0.453,0.676,0.438,0.469,0.407,0.352
0,0.675,0.577,16.0,17.3,2.9,1.7,6.1,117.6,0.548,100.1,0.453,0.676,0.438,0.469,0.407,0.352
0,0.675,0.577,16.0,17.3,8.8,7.4,20.8,117.6,0.548,100.1,0.453,0.676,0.438,0.469,0.407,0.352
0,0.57,0.087,17.7,10.7,6.7,5.4,15.7,117.6,0.548,100.1,0.453,0.676,0.438,0.469,0.407,0.352
0,0.57,0.087,17.7,10.7,2.9,1.7,6.1,117.6,0.548,100.1,0.453,0.676,0.438,0.469,0.407,0.352
0,0.57,0.087,17.7,10.7,8.8,7.4,20.8,117.6,0.548,100.1,0.453,0.676,0.438,0.469,0.407,0.352
3,0.583,0.141,17.4,11.6,6.7,5.4,15.7,117.6,0.548,100.1,0.47,0.712,0.435,0.484,0.391,0.356
3,0.583,0.141,17.4,11.6,2.9,1.7,6.1,117.6,0.548,100.1,0.47,0.712,0.435,0.484,0.391,0.356
3,0.583,0.141,17.4,11.6,8.8,7.4,20.8,117.6,0.548,100.1,0.47,0.712,0.435,0.484,0.391,0.356
3,0.675,0.577,16.0,17.3,6.7,5.4,15.7,117.6,0.548,100.1,0.47,0.712,0.435,0.484,0.391,0.356
3,0.675,0.577,16.0,17.3,2.9,1.7,6.1,117.6,0.548,100.1,0.47,0.712,0.435,0.484,0.391,0.356
3,0.675,0.577,16.0,17.3,8.8,7.4,20.8,117.6,0.548,100.1,0.47,0.712,0.435,0.484,0.391,0.356
3,0.57,0.087,17.7,10.7,6.7,5.4,15.7,117.6,0.548,100.1,0.47,0.712,0.435,0.484,0.391,0.356
3,0.57,0.087,17.7,10.7,2.9,1.7,6.1,117.6,0.548,100.1,0.47,0.712,0.435,0.484,0.391,0.356
3,0.57,0.087,17.7,10.7,8.8,7.4,20.8,117.6,0.548,100.1,0.47,0.712,0.435,0.484,0.391,0.356
6,0.583,0.141,17.4,11.6,6.7,5.4,15.7,117.6,0.548,100.1,0.466,0.716,0.507,0.42,0.404,0.359
6,0.583,0.141,17.4,11.6,2.9,1.7,6.1,117.6,0.548,100.1,0.466,0.716,0.507,0.42,0.404,0.359
6,0.583,0.141,17.4,11.6,8.8,7.4,20.8,117.6,0.548,100.1,0.466,0.716,0.507,0.42,0.404,0.359
6,0.675,0.577,16.0,17.3,6.7,5.4,15.7,117.6,0.548,100.1,0.466,0.716,0.507,0.42,0.404,0.359
6,0.675,0.577,16.0,17.3,2.9,1.7,6.1,117.6,0.548,100.1,0.466,0.716,0.507,0.42,0.404,0.359
6,0.675,0.577,16.0,17.3,8.8,7.4,20.8,117.6,0.548,100.1,0.466,0.716,0.507,0.42,0.404,0.359
6,0.57,0.087,17.7,10.7,6.7,5.4,15.7,117.6,0.548,100.1,0.466,0.716,0.507,0.42,0.404,0.359
6,0.57,0.087,17.7,10.7,2.9,1.7,6.1,117.6,0.548,100.1,0.466,0.716,0.507,0.42,0.404,0.359
6,0.57,0.087,17.7,10.7,8.8,7.4,20.8,117.6,0.548,100.1,0.466,0.716,0.507,0.42,0.404,0.359
2,0.583,0.141,17.4,11.6,6.7,5.4,15.7,117.6,0.548,100.1,0.49,0.716,0.477,0.453,0.481,0.37
2,0.583,0.141,17.4,11.6,2.9,1.7,6.1,117.6,0.548,100.1,0.49,0.716,0.477,0.453,0.481,0.37
2,0.583,0.141,17.4,11.6,8.8,7.4,20.8,117.6,0.548,100.1,0.49,0.716,0.477,0.453,0.481,0.37
2,0.675,0.577,16.0,17.3,6.7,5.4,15.7,117.6,0.548,100.1,0.49,0.716,0.477,0.453,0.481,0.37
2,0.675,0.577,16.0,17.3,2.9,1.7,6.1,117.6,0.548,100.1,0.49,0.716,0.477,0.453,0.481,0.37
2,0.675,0.577,16.0,17.3,8.8,7.4,20.8,117.6,0.548,100.1,0.49,0.716,0.477,0.453,0.481,0.37
2,0.57,0.087,17.7,10.7,6.7,5.4,15.7,117.6,0.548,100.1,0.49,0.716,0.477,0.453,0.481,0.37
2,0.57,0.087,17.7,10.7,2.9,1.7,6.1,117.6,0.548,100.1,0.49,0.716,0.477,0.453,0.481,0.37
2,0.57,0.087,17.7,10.7,8.8,7.4,20.8,117.6,0.548,100.1,0.49,0.716,0.477,0.453,0.481,0.37
0,0.583,0.141,17.4,11.6,6.7,5.4,15.7,117.6,0.548,100.1,0.47,0.66,0.442,0.432,0.42,0.365
0,0.583,0.141,17.4,11.6,2.9,1.7,6.1,117.6,0.548,100.1,0.47,0.66,0.442,0.432,0.42,0.365
