final_PTS,TS%,FTr,USG%,PER,avg_PTS,FGA,MP,ORtg,eFG%_2,Pace,Opponent_FG%,Range_0-3_Made,Range_3-10_Made,Range_10-16_Made,Range_16-3P_Made,3P_Made
0,0.562,0.412,10.7,9.9,4.4,3.3,19.8,,,,0.475,0.736,0.421,0.46,0.381,0.368
0,0.562,0.412,10.7,9.9,5.2,4.0,23.9,,,,0.475,0.736,0.421,0.46,0.381,0.368
0,0.562,0.412,10.7,9.9,1.8,1.2,7.3,,,,0.475,0.736,0.421,0.46,0.381,0.368
0,0.56,0.387,10.6,10.0,4.4,3.3,19.8,,,,0.475,0.736,0.421,0.46,0.381,0.368
0,0.56,0.387,10.6,10.0,5.2,4.0,23.9,,,,0.475,0.736,0.421,0.46,0.381,0.368
0,0.56,0.387,10.6,10.0,1.8,1.2,7.3,,,,0.475,0.736,0.421,0.46,0.381,0.368
0,0.58,0.667,11.6,8.9,4.4,3.3,19.8,,,,0.475,0.736,0.421,0.46,0.381,0.368
0,0.58,0.667,11.6,8.9,5.2,4.0,23.9,,,,0.475,0.736,0.421,0.46,0.381,0.368
0,0.58,0.667,11.6,8.9,1.8,1.2,7.3,,,,0.475,0.736,0.421,0.46,0.381,0.368
0,0.562,0.412,10.7,9.9,4.4,3.3,19.8,,,,0.491,0.732,0.489,0.458,0.406,0.351
0,0.562,0.412,10.7,9.9,5.2,4.0,23.9,,,,0.491,0.732,0.489,0.458,0.406,0.351
0,0.562,0.412,10.7,9.9,1.8,1.2,7.3,,,,0.491,0.732,0.489,0.458,0.406,0.351
0,0.56,0.387,10.6,10.0,4.4,3.3,19.8,,,,0.491,0.732,0.489,0.458,0.406,0.351
0,0.56,0.387,10.6,10.0,5.2,4.0,23.9,,,,0.491,0.732,0.489,0.458,0.406,0.351
0,0.56,0.387,10.6,10.0,1.8,1.2,7.3,,,,0.491,0.732,0.489,0.458,0.406,0.351
0,0.58,0.667,11.6,8.9,4.4,3.3,19.8,,,,0.491,0.732,0.489,0.458,0.406,0.351
0,0.58,0.667,11.6,8.9,5.2,4.0,23.9,,,,0.491,0.732,0.489,0.458,0.406,0.351
0,0.58,0.667,11.6,8.9,1.8,1.2,7.3,,,,0.491,0.732,0.489,0.458,0.406,0.351
11,0.562,0.412,10.7,9.9,4.4,3.3,19.8,,,,0.464,0.714,0.454,0.422,0.397,0.349
11,0.562,0.412,10.7,9.9,5.2,4.0,23.9,,,,0.464,0.714,0.454,0.422,0.397,0.349
11,0.562,0.412,10.7,9.9,1.8,1.2,7.3,,,,0.464,0.714,0.454,0.422,0.397,0.349
11,0.56,0.387,10.6,10.0,4.4,3.3,19.8,,,,0.464,0.714,0.454,0.422,0.397,0.349
11,0.56,0.387,10.6,10.0,5.2,4.0,23.9,,,,0.464,0.714,0.454,0.422,0.397,0.349
11,0.56,0.387,10.6,10.0,1.8,1.2,7.3,,,,0.464,0.714,0.454,0.422,0.397,0.349
11,0.58,0.667,11.6,8.9,4.4,3.3,19.8,,,,0.464,0.714,0.454,0.422,0.397,0.349
11,0.58,0.667,11.6,8.9,5.2,4.0,23.9,,,,0.464,0.714,0.454,0.422,0.397,0.349
11,0.58,0.667,11.6,8.9,1.8,1.2,7.3,,,,0.464,0.714,0.454,0.422,0.397,0.349
